id,name,race,sex,size,created_at,updated_at
1,Super Saiyan Goku,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
2,Super Saiyan Vegeta,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
3,Goku,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
4,Vegeta,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
5,Frieza (1st Form),0,0,2,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
6,Cell (1st Form),0,0,7,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
7,Gohan (Kid),0,0,1,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
8,Trunks (Teen),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
9,Krillin,0,0,2,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
10,Piccolo,0,0,6,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
11,Tien,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
12,Chiaotzu,0,0,1,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
13,Yamcha,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
14,Raditz,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
15,Nappa,0,0,7,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
16,Zarbon,0,0,7,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
17,Captain Ginyu,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
18,Android #19,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
19,Dr. Gero,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
20,Android #18,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
21,Android #17,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
22,Android #16,0,0,7,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
23,Master Roshi,0,0,2,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
24,Mercenary Tao,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
25,Fusion Machine Pilaf,0,0,8,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
26,Shen,0,0,2,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
27,Tambourine,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
28,Cymbale,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
29,Drum,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
30,Dodoria,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
31,Recoome,0,0,6,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
32,Guldo,0,0,1,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
33,Burter,0,0,8,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
34,Jeice,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
35,Yajirobe,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
36,Nail,0,0,6,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
37,Chi-Chi,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
38,Hercule,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
39,Videl,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
40,Cell Jr.,0,0,1,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
41,Spopovich,0,0,6,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
42,Yamu,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
43,Yakon,0,0,8,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
44,PuiPui,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
45,Appule,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
46,Cui,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
47,Babidi's Minion,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
48,Pintar,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
49,Jewel,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
50,Killa,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
51,Pirate Robot,0,0,8,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
52,Saibaiman,0,0,1,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
53,Frieza Soldier,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
54,Red Ribbon Army,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
55,Hercule,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
56,Piccolo,0,0,6,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
57,Goku (Kaioken),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
58,Frieza (1st Form) (Pod),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
59,Vegeta (Kid),0,0,1,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
60,Gohan (Kid),0,0,1,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
61,Vegeta (Evil),0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
62,Cyborg Tao,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
63,Gohan (Grandpa),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
64,King Vegeta,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
65,Master Shen,0,0,2,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
66,Super Saiyan 2 Goku,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
67,Bardock,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
68,Frieza (Final Form),0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
69,Super Saiyan Trunks (Adolescent),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
70,Fasha,0,0,3,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
71,Frieza (2nd Form),0,0,8,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
72,Frieza (3rd Form),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
73,Super Zarbon,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
74,Captain Ginyu (Goku),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
75,Gohan (Battle Suit),0,0,2,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
76,Krillin (Battle Suit),0,0,2,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
77,Tora,0,0,5,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
78,Borgos,0,0,6,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
79,Shugesh,0,0,6,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
80,Paikuhan,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
81,Super Saiyan Bardock,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
82,Trunks (Xeno),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
83,Chilled,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
113,キュウコンマン,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
116,RR Robot 1 Speed,0,0,9,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
120,RR Robot 2 Speed,0,0,9,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
124,Major Metallitron Speed,0,0,9,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
139,Frieza Soldier 1 Speed,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
144,Frieza Soldier 2 Speed,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
149,Frieza Soldier 3 Speed,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
157,Frieza Soldier 4 Speed,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
159,Frieza Soldier 5 Speed,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
164,Onio Speed,0,0,9,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
169,Brocco Speed,0,0,9,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
199,Super Saiyan Gohan,0,0,1,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
200,Trunks (Kid),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
202,Perfect Cell,0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
203,Super Saiyan Gohan (Youth),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
204,Cell (2nd Form),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
205,Cell (Perfect Form),0,0,4,2024-07-30 10:31:11.725832,2024-07-30 10:31:11.725832
206,Goku,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
207,Super Saiyan 2 Vegeta,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
208,Super Trunks,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
209,Super Saiyan Gohan (Future),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
210,Gohan (Teen),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
211,Trunks (Teen),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
212,Yamcha (Short Hair),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
