id,dot_character_lv_reward_set_id,dot_character_lv,item_id,item_type,quantity,card_exp_init
1,1,1,11,Point::Stone,1,0
2,1,1,1002640,Card,1,93879
3,1,2,11,Point::Stone,1,0
4,1,2,1002640,Card,1,93879
5,1,2,800,TrainingItem,2,0
6,1,2,801,TrainingItem,2,0
7,1,2,802,TrainingItem,2,0
8,1,2,803,TrainingItem,2,0
9,1,2,804,TrainingItem,2,0
10,1,3,11,Point::Stone,3,0
11,1,3,1002640,Card,2,93879
12,1,3,800,TrainingItem,2,0
13,1,3,801,TrainingItem,2,0
14,1,3,802,TrainingItem,2,0
15,1,3,803,TrainingItem,2,0
16,1,3,804,TrainingItem,2,0
17,1,3,900,TrainingItem,1,0
18,1,3,901,TrainingItem,1,0
19,1,3,902,TrainingItem,1,0
20,1,3,903,TrainingItem,1,0
21,1,3,904,TrainingItem,1,0
22,1,4,11,Point::Stone,3,0
23,1,4,1002640,Card,2,93879
24,1,4,1002630,Card,1,765122
25,1,4,800,TrainingItem,5,0
26,1,4,801,TrainingItem,5,0
27,1,4,802,TrainingItem,5,0
28,1,4,803,TrainingItem,5,0
29,1,4,804,TrainingItem,5,0
30,1,4,900,TrainingItem,2,0
31,1,4,901,TrainingItem,2,0
32,1,4,902,TrainingItem,2,0
33,1,4,903,TrainingItem,2,0
34,1,4,904,TrainingItem,2,0
35,1,5,11,Point::Stone,5,0
36,1,5,1,ActItem,1,0
37,1,5,1,EventkagiItem,2,0
38,1,5,2,EventkagiItem,2,0
39,1,5,3,EventkagiItem,2,0
40,1,5,1002640,Card,2,93879
41,1,5,1002630,Card,2,765122
42,1,5,1,PotentialItem,200,0
43,1,5,2,PotentialItem,200,0
44,1,5,3,PotentialItem,200,0
45,1,5,4,PotentialItem,200,0
46,1,5,5,PotentialItem,200,0
47,1,5,6,PotentialItem,100,0
48,1,5,7,PotentialItem,100,0
49,1,5,8,PotentialItem,100,0
50,1,5,9,PotentialItem,100,0
51,1,5,10,PotentialItem,100,0
52,1,5,800,TrainingItem,5,0
53,1,5,801,TrainingItem,5,0
54,1,5,802,TrainingItem,5,0
55,1,5,803,TrainingItem,5,0
56,1,5,804,TrainingItem,5,0
57,1,5,900,TrainingItem,2,0
58,1,5,901,TrainingItem,2,0
59,1,5,902,TrainingItem,2,0
60,1,5,903,TrainingItem,2,0
61,1,5,904,TrainingItem,2,0
62,1,5,1000,TrainingItem,1,0
63,1,5,1001,TrainingItem,1,0
64,1,5,1002,TrainingItem,1,0
65,1,5,1003,TrainingItem,1,0
66,1,5,1004,TrainingItem,1,0
67,1,6,11,Point::Stone,5,0
68,1,6,1,ActItem,3,0
69,1,6,1,EventkagiItem,2,0
70,1,6,2,EventkagiItem,2,0
71,1,6,3,EventkagiItem,2,0
72,1,6,1002640,Card,3,93879
73,1,6,1002630,Card,3,765122
74,1,6,1,PotentialItem,300,0
75,1,6,2,PotentialItem,300,0
76,1,6,3,PotentialItem,300,0
77,1,6,4,PotentialItem,300,0
78,1,6,5,PotentialItem,300,0
79,1,6,6,PotentialItem,150,0
80,1,6,7,PotentialItem,150,0
81,1,6,8,PotentialItem,150,0
82,1,6,9,PotentialItem,150,0
83,1,6,10,PotentialItem,150,0
84,1,6,800,TrainingItem,5,0
85,1,6,801,TrainingItem,5,0
86,1,6,802,TrainingItem,5,0
87,1,6,803,TrainingItem,5,0
88,1,6,804,TrainingItem,5,0
89,1,6,900,TrainingItem,2,0
90,1,6,901,TrainingItem,2,0
91,1,6,902,TrainingItem,2,0
92,1,6,903,TrainingItem,2,0
93,1,6,904,TrainingItem,2,0
94,1,6,1000,TrainingItem,1,0
95,1,6,1001,TrainingItem,1,0
96,1,6,1002,TrainingItem,1,0
97,1,6,1003,TrainingItem,1,0
98,1,6,1004,TrainingItem,1,0
99,1,7,11,Point::Stone,5,0
100,1,7,1013400,Card,5,0
101,1,7,1,ActItem,3,0
102,1,7,2,ActItem,1,0
103,1,7,1,EventkagiItem,2,0
104,1,7,2,EventkagiItem,2,0
105,1,7,3,EventkagiItem,2,0
106,1,7,1002640,Card,3,93879
107,1,7,1002630,Card,3,765122
108,1,7,1005480,Card,1,765122
109,1,7,1,PotentialItem,400,0
110,1,7,2,PotentialItem,400,0
111,1,7,3,PotentialItem,400,0
112,1,7,4,PotentialItem,400,0
113,1,7,5,PotentialItem,400,0
114,1,7,6,PotentialItem,250,0
115,1,7,7,PotentialItem,250,0
116,1,7,8,PotentialItem,250,0
117,1,7,9,PotentialItem,250,0
118,1,7,10,PotentialItem,250,0
119,1,7,11,PotentialItem,10,0
120,1,7,12,PotentialItem,10,0
121,1,7,13,PotentialItem,10,0
122,1,7,14,PotentialItem,10,0
123,1,7,15,PotentialItem,10,0
124,1,7,800,TrainingItem,5,0
125,1,7,801,TrainingItem,5,0
126,1,7,802,TrainingItem,5,0
127,1,7,803,TrainingItem,5,0
128,1,7,804,TrainingItem,5,0
129,1,7,900,TrainingItem,2,0
130,1,7,901,TrainingItem,2,0
131,1,7,902,TrainingItem,2,0
132,1,7,903,TrainingItem,2,0
133,1,7,904,TrainingItem,2,0
134,1,7,1000,TrainingItem,1,0
135,1,7,1001,TrainingItem,1,0
136,1,7,1002,TrainingItem,1,0
137,1,7,1003,TrainingItem,1,0
138,1,7,1004,TrainingItem,1,0
139,1,8,11,Point::Stone,10,0
140,1,8,1013400,Card,10,0
141,1,8,1,ActItem,3,0
142,1,8,2,ActItem,2,0
143,1,8,1,EventkagiItem,2,0
144,1,8,2,EventkagiItem,2,0
145,1,8,3,EventkagiItem,2,0
146,1,8,1002640,Card,3,93879
147,1,8,1002630,Card,3,765122
148,1,8,1005480,Card,3,765122
149,1,8,1,PotentialItem,600,0
150,1,8,2,PotentialItem,600,0
151,1,8,3,PotentialItem,600,0
152,1,8,4,PotentialItem,600,0
153,1,8,5,PotentialItem,600,0
154,1,8,6,PotentialItem,350,0
155,1,8,7,PotentialItem,350,0
156,1,8,8,PotentialItem,350,0
157,1,8,9,PotentialItem,350,0
158,1,8,10,PotentialItem,350,0
159,1,8,11,PotentialItem,20,0
160,1,8,12,PotentialItem,20,0
161,1,8,13,PotentialItem,20,0
162,1,8,14,PotentialItem,20,0
163,1,8,15,PotentialItem,20,0
164,1,8,800,TrainingItem,5,0
165,1,8,801,TrainingItem,5,0
166,1,8,802,TrainingItem,5,0
167,1,8,803,TrainingItem,5,0
168,1,8,804,TrainingItem,5,0
169,1,8,900,TrainingItem,2,0
170,1,8,901,TrainingItem,2,0
171,1,8,902,TrainingItem,2,0
172,1,8,903,TrainingItem,2,0
173,1,8,904,TrainingItem,2,0
174,1,8,1000,TrainingItem,2,0
175,1,8,1001,TrainingItem,2,0
176,1,8,1002,TrainingItem,2,0
177,1,8,1003,TrainingItem,2,0
178,1,8,1004,TrainingItem,2,0
179,1,9,11,Point::Stone,10,0
180,1,9,1013400,Card,15,0
181,1,9,1,ActItem,3,0
182,1,9,2,ActItem,2,0
183,1,9,1,EventkagiItem,3,0
184,1,9,2,EventkagiItem,3,0
185,1,9,3,EventkagiItem,3,0
186,1,9,1002640,Card,4,93879
187,1,9,1002630,Card,4,765122
188,1,9,1005480,Card,4,765122
189,1,9,1,PotentialItem,700,0
190,1,9,2,PotentialItem,700,0
191,1,9,3,PotentialItem,700,0
192,1,9,4,PotentialItem,700,0
193,1,9,5,PotentialItem,700,0
194,1,9,6,PotentialItem,400,0
195,1,9,7,PotentialItem,400,0
196,1,9,8,PotentialItem,400,0
197,1,9,9,PotentialItem,400,0
198,1,9,10,PotentialItem,400,0
199,1,9,11,PotentialItem,30,0
200,1,9,12,PotentialItem,30,0
201,1,9,13,PotentialItem,30,0
202,1,9,14,PotentialItem,30,0
203,1,9,15,PotentialItem,30,0
204,1,9,800,TrainingItem,5,0
205,1,9,801,TrainingItem,5,0
206,1,9,802,TrainingItem,5,0
207,1,9,803,TrainingItem,5,0
208,1,9,804,TrainingItem,5,0
209,1,9,900,TrainingItem,2,0
210,1,9,901,TrainingItem,2,0
211,1,9,902,TrainingItem,2,0
212,1,9,903,TrainingItem,2,0
213,1,9,904,TrainingItem,2,0
214,1,9,1000,TrainingItem,2,0
215,1,9,1001,TrainingItem,2,0
216,1,9,1002,TrainingItem,2,0
217,1,9,1003,TrainingItem,2,0
218,1,9,1004,TrainingItem,2,0
219,1,10,11,Point::Stone,10,0
220,1,10,1003970,Card,1,0
221,1,10,1013400,Card,15,0
222,1,10,1,ActItem,3,0
223,1,10,2,ActItem,2,0
224,1,10,1,EventkagiItem,3,0
225,1,10,2,EventkagiItem,3,0
226,1,10,3,EventkagiItem,3,0
227,1,10,5,EventkagiItem,3,0
228,1,10,1002640,Card,5,93879
229,1,10,1002630,Card,5,765122
230,1,10,1005480,Card,5,765122
231,1,10,1,PotentialItem,800,0
232,1,10,2,PotentialItem,800,0
233,1,10,3,PotentialItem,800,0
234,1,10,4,PotentialItem,800,0
235,1,10,5,PotentialItem,800,0
236,1,10,6,PotentialItem,500,0
237,1,10,7,PotentialItem,500,0
238,1,10,8,PotentialItem,500,0
239,1,10,9,PotentialItem,500,0
240,1,10,10,PotentialItem,500,0
241,1,10,11,PotentialItem,40,0
242,1,10,12,PotentialItem,40,0
243,1,10,13,PotentialItem,40,0
244,1,10,14,PotentialItem,40,0
245,1,10,15,PotentialItem,40,0
246,1,10,800,TrainingItem,5,0
247,1,10,801,TrainingItem,5,0
248,1,10,802,TrainingItem,5,0
249,1,10,803,TrainingItem,5,0
250,1,10,804,TrainingItem,5,0
251,1,10,900,TrainingItem,2,0
252,1,10,901,TrainingItem,2,0
253,1,10,902,TrainingItem,2,0
254,1,10,903,TrainingItem,2,0
255,1,10,904,TrainingItem,2,0
256,1,10,1000,TrainingItem,2,0
257,1,10,1001,TrainingItem,2,0
258,1,10,1002,TrainingItem,2,0
259,1,10,1003,TrainingItem,2,0
260,1,10,1004,TrainingItem,2,0
261,1,11,11,Point::Stone,10,0
262,1,11,1003970,Card,1,0
263,1,11,1013400,Card,15,0
264,1,11,1,ActItem,3,0
265,1,11,2,ActItem,2,0
266,1,11,3,ActItem,1,0
267,1,11,1,EventkagiItem,5,0
268,1,11,2,EventkagiItem,5,0
269,1,11,3,EventkagiItem,5,0
270,1,11,5,EventkagiItem,5,0
271,1,11,1002640,Card,5,93879
272,1,11,1002630,Card,5,765122
273,1,11,1005480,Card,5,765122
274,1,11,1,PotentialItem,800,0
275,1,11,2,PotentialItem,800,0
276,1,11,3,PotentialItem,800,0
277,1,11,4,PotentialItem,800,0
