id,enemy_round_skill_set_id,enemy_round_skill_id,created_at,updated_at
1,1,1,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
2,1,2,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
3,1,3,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
4,1,4,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
5,1,5,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
6,1,6,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
10,10,10,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
11,10,11,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
12,10,12,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
13,10,13,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
20,20,20,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
21,20,21,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
30,30,30,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
31,30,31,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
40,40,40,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
41,40,41,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
42,40,42,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
43,40,43,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
44,40,44,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
45,40,45,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
46,40,46,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
47,40,47,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
50,50,50,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
51,50,51,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
60,41,42,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
61,41,43,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
62,41,44,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
63,41,45,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
64,41,46,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
65,41,47,2024-07-16 08:42:37.624785,2024-07-16 08:42:37.624785
