id,name,description,exec_timing_type,calc_option,turn,probability,causality_conditions,icon_type,target_type,target_value1,target_value2,target_value3,sub_target_type_set_id,efficacy_type,eff_value1,eff_value2,eff_value3,is_eternal,created_at,updated_at
1,Damage Reduction,Reduces damage received,1,2,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,24,55,0,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
2,"Deactivate ""Damage Reduction""",Deactivates the effect that reduces damage received,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,1,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
3,Disable Super Attack Sealing,Nullifies Super Attack sealing effect,1,0,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,14,0,0,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
4,"Deactivate ""Disable Super Attack Sealing""",Deactivates the effect that nullfies Super Attack sealing,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,3,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
5,ATK & DEF Boost,Greatly increases ATK & DEF,1,2,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,23,130,300,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
6,"Deactivate ""ATK & DEF Boost""",Deactivates the effect that greatly increases ATK & DEF,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,5,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
10,Change Ki Spheres (Random),Randomly changes all Ki Spheres,1,0,1,100,"{""source"":""3076"",""compiled"":3076}",0,1,0,0,0,0,6,0,0,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
11,"Deactivate ""Change Ki Spheres (Random)""",Deactivates the effect that randomly changes Ki Spheres,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,1,0,0,0,0,22,18,10,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
12,ATK Boost,Greatly increases ATK,1,2,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,23,15,0,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
13,"Deactivate ""ATK Boost""",Deactivates the effect that boosts ATK,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,12,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
20,Disable ATK & DEF Reduction,Disables ATK & DEF Reduction,1,0,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,13,3,0,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
