id,name,description,exec_timing_type,turn,is_once,probability,causality_conditions,icon_type,target_type,target_value1,target_value2,target_value3,sub_target_type_set_id,efficacy_type,eff_value1,eff_value2,eff_value3,efficacy_values,calc_option,created_at,updated_at
1,Rampage,Greatly increases ATK & DEF,0,0,0,0,,1,0,0,0,0,0,1,290.0,900.0,100.0,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
2,Regeneration,Recovers HP,0,0,0,0,,2,0,0,0,0,0,2,184.0,4.0,100.0,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
3,Penetration,Increases damage dealt to enemies,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
4,Turn Into Candy!,Changes Ki Spheres into sweet treats,1,0,0,80,,0,1,0,0,0,0,4,63.0,448.0,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
5,Recover,Recover HP,0,0,0,0,,2,0,0,0,0,0,2,100.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
6,Boss,Increases damage dealt to enemies,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
7,Super Saiyan,Increases damage dealt to enemies,0,0,0,0,,0,0,0,0,0,0,3,140.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
8,Space Distortion,Randomly changes all Ki Spheres,1,0,0,80,,0,1,0,0,0,0,6,,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
9,Coercion,Lock character switching,1,0,0,80,,0,11,55,30,15,0,5,,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
10,Coercion,Lock character switching,1,0,0,90,,0,11,30,45,25,0,5,,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
11,Ultimate Awakening,Greatly reduces damage received,0,0,0,0,,1,0,0,0,0,0,7,75.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
12,True Power,Greatly increases ATK,0,0,0,0,,1,0,0,0,0,0,1,220.0,100.0,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
13,Energy Eruption,Randomly changes all Ki Spheres,1,0,0,35,,0,1,0,0,0,0,6,,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
100,Godly Grandeur,Greatly reduces damage received,0,0,0,0,,1,0,0,0,0,0,7,70.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
110,Godly Grandeur,Reduces damage received,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
120,Penetration,Increases damage dealt,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
200,Barrier,Greatly reduces damage received,0,0,0,0,,1,0,0,0,0,0,7,70.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
300,Rampage,Greatly increases ATK & DEF,0,0,0,0,,1,0,0,0,0,0,1,300.0,40000.0,100.0,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
400,Damage Reduction,Reduces damage received by 100%,0,0,0,0,,1,0,0,0,0,0,7,100.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
500,Penetration,Increases damage dealt to enemies,0,0,0,0,,0,0,0,0,0,0,3,330.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
510,Damage Reduction,Greatly reduces damage received,0,0,0,0,,1,0,0,0,0,0,7,80.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
520,Damage Reduction,Greatly reduces damage received,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
530,Damage Reduction,Reduces damage received,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
600,Damage Reduction,Greatly reduces damage received,0,0,0,0,,1,0,0,0,0,0,7,80.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
610,Damage Reduction,Greatly reduces damage received,0,0,0,0,,1,0,0,0,0,0,7,75.0,,,{},0,2024-07-16 08:42:38.025669,2024-07-16 08:42:38.025669
