id,equipment_skill_limitation_set_id,type,conditions
1,1,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":1}"
2,2,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":2}"
3,3,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":4}"
4,4,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":8}"
5,5,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":16}"
6,6,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":31}"
7,7,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":4096}"
8,8,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":8192}"
9,9,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":16384}"
10,10,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":32768}"
11,11,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":65536}"
12,12,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":126976}"
13,13,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":131072}"
14,14,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":262144}"
15,15,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":524288}"
16,16,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":1048576}"
17,17,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":2097152}"
18,18,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"":4063232}"
19,19,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"":[38]}"
20,20,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"":[39]}"
21,21,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"":[40]}"
22,22,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[27]}"
23,23,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019161,1019170,1019171]}"
24,24,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019191,1019200,1019201]}"
25,25,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019081,1019090,1019091]}"
26,26,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019231,1019240,1019241]}"
27,27,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019211,1019220,1019221]}"
28,28,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[1]}"
29,29,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[2]}"
30,30,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[4]}"
31,31,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[5]}"
32,32,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[7]}"
33,33,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[8]}"
34,34,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[9]}"
35,35,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[10]}"
