id,category_type,invalid_genkai_gimmick_sub_category_ids,priority,created_at,updated_at
1,1,[1],100,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
2,1,[2],90,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
3,1,[3],80,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
4,2,[],70,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
5,2,[5],60,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
6,2,[],51,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
7,2,[7],50,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
8,2,[8],40,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
9,2,[],31,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
10,2,[10],30,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
11,2,[11],20,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
12,3,[],100,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
13,3,[13],90,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
14,4,[],100,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
15,4,[15],90,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
16,999,[],0,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
17,2,[],20,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
18,999,[18],10,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
19,2,[19],55,2024-07-08 11:03:23.995103,2024-07-08 11:03:23.995103
