id,num,title,created_at,updated_at
1,90,Characters,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
2,80,Quests,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
3,70,Battles,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
4,60,Items,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
5,50,Friends,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
6,40,Mission,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
7,30,Baba’s Shop,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
8,20,Hidden Potential Activation,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
9,10,Other,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
10,15,Extreme Z-Battle,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
11,18,Portal of Memories,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
12,19,Skill Orbs,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
13,14,My Profile,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
14,13,Burst Mode,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
15,12,Music Collection,2024-07-16 08:42:44.523286,2024-07-16 08:42:44.523286
