id,link_skill_lv_id,link_check_type,efficacy_type,target_type,sub_target_type_set_id,calc_option,turn,lnk_value1,lnk_value2,lnk_value3,eff_value1,eff_value2,eff_value3,created_at,updated_at
10101,101,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10201,102,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10202,102,0,3,1,0,2,1,0,0,0,1.0,1.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10301,103,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10302,103,0,3,1,0,2,1,0,0,0,2.0,2.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10401,104,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10402,104,0,3,1,0,2,1,0,0,0,3.0,3.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10501,105,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10502,105,0,3,1,0,2,1,0,0,0,5.0,5.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10601,106,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10602,106,0,3,1,0,2,1,0,0,0,6.0,6.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10701,107,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10702,107,0,3,1,0,2,1,0,0,0,7.0,7.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10801,108,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10802,108,0,3,1,0,2,1,0,0,0,8.0,8.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10901,109,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
10902,109,0,3,1,0,2,1,0,0,0,9.0,9.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
11001,110,0,5,1,0,0,1,0,0,0,2.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
11002,110,0,3,1,0,2,1,0,0,0,10.0,10.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20101,201,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20201,202,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20202,202,0,1,1,0,2,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20301,203,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20302,203,0,1,1,0,2,1,0,0,0,2.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20401,204,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20402,204,0,1,1,0,2,1,0,0,0,3.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20501,205,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20502,205,0,1,1,0,2,1,0,0,0,5.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20601,206,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20602,206,0,1,1,0,2,1,0,0,0,6.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20701,207,0,5,1,0,0,1,0,0,0,1.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
20702,207,0,1,1,0,2,1,0,0,0,7.0,0.0,0.0,2024-07-08 11:03:30.997766,2024-07-08 11:03:30.997766
