id,link_skill_id,skill_lv,description
101,1,1,Ki +1
102,1,2,Ki +1 and ATK & DEF +1%
103,1,3,Ki +1 and ATK & DEF +2%
104,1,4,Ki +1 and ATK & DEF +3%
105,1,5,Ki +1 and ATK & DEF +5%
106,1,6,Ki +1 and ATK & DEF +6%
107,1,7,Ki +1 and ATK & DEF +7%
108,1,8,Ki +1 and ATK & DEF +8%
109,1,9,Ki +1 and ATK & DEF +9%
110,1,10,Ki +2 and ATK & DEF +10%
201,2,1,Ki +1
202,2,2,Ki +1 and ATK +1%
203,2,3,Ki +1 and ATK +2%
204,2,4,Ki +1 and ATK +3%
205,2,5,Ki +1 and ATK +5%
206,2,6,Ki +1 and ATK +6%
207,2,7,Ki +1 and ATK +7%
208,2,8,Ki +1 and ATK +8%
209,2,9,Ki +1 and ATK +9%
210,2,10,Ki +2 and ATK +10%
301,3,1,DEF +20%
302,3,2,DEF +21%
303,3,3,DEF +22%
304,3,4,DEF +23%
305,3,5,DEF +25%
306,3,6,DEF +26%
307,3,7,DEF +27%
308,3,8,DEF +28%
309,3,9,DEF +29%
310,3,10,DEF +30%
401,4,1,ATK +10%
402,4,2,ATK +10.5%
403,4,3,ATK +11%
404,4,4,ATK +11.5%
405,4,5,ATK +12.5%
406,4,6,ATK +13%
407,4,7,ATK +13.5%
408,4,8,ATK +14%
409,4,9,ATK +14.5%
410,4,10,ATK +15%
501,5,1,ATK +15%
502,5,2,ATK +15.5%
503,5,3,ATK +16%
504,5,4,ATK +16.5%
505,5,5,ATK +17.5%
506,5,6,ATK +18%
507,5,7,ATK +18.5%
508,5,8,ATK +19%
509,5,9,ATK +19.5%
510,5,10,ATK +20%
601,6,1,Ki +1
602,6,2,Ki +1 and ATK & DEF +1%
603,6,3,Ki +1 and ATK & DEF +2%
604,6,4,Ki +1 and ATK & DEF +3%
605,6,5,Ki +1 and ATK & DEF +5%
606,6,6,Ki +1 and ATK & DEF +6%
607,6,7,Ki +1 and ATK & DEF +7%
608,6,8,Ki +1 and ATK & DEF +8%
609,6,9,Ki +1 and ATK & DEF +9%
610,6,10,Ki +2 and ATK & DEF +10%
701,7,1,ATK +20%
702,7,2,ATK +20% and DEF +1%
703,7,3,ATK +20% and DEF +2%
704,7,4,ATK +20% and DEF +3%
705,7,5,ATK +20% and DEF +5%
706,7,6,ATK +20% and DEF +6%
707,7,7,ATK +20% and DEF +7%
708,7,8,ATK +20% and DEF +8%
709,7,9,ATK +20% and DEF +9%
710,7,10,ATK +20% and DEF +10%
801,8,1,ATK & DEF +10%
802,8,2,ATK & DEF +10.5%
803,8,3,ATK & DEF +11%
804,8,4,ATK & DEF +11.5%
805,8,5,ATK & DEF +12.5%
806,8,6,ATK & DEF +13%
807,8,7,ATK & DEF +13.5%
808,8,8,ATK & DEF +14%
809,8,9,ATK & DEF +14.5%
810,8,10,ATK & DEF +15%
901,9,1,All enemies' DEF -5% and Ki +1
902,9,2,All enemies' DEF -5.5% and Ki +1
903,9,3,All enemies' DEF -6% and Ki +1
904,9,4,All enemies' DEF -6.5% and Ki +1
905,9,5,All enemies' DEF -7.5% and Ki +1
906,9,6,All enemies' DEF -8% and Ki +1
907,9,7,All enemies' DEF -8.5% and Ki +1
908,9,8,All enemies' DEF -9% and Ki +1
909,9,9,All enemies' DEF -9.5% and Ki +1
910,9,10,All enemies' DEF -10% and Ki +1
1001,10,1,Ki +1
1002,10,2,Ki +1 and DEF +2%
1003,10,3,Ki +1 and DEF +4%
1004,10,4,Ki +1 and DEF +6%
1005,10,5,Ki +1 and DEF +10%
1006,10,6,Ki +1 and DEF +12%
1007,10,7,Ki +1 and DEF +14%
1008,10,8,Ki +1 and DEF +16%
1009,10,9,Ki +1 and DEF +18%
1010,10,10,Ki +2 and DEF +20%
1101,11,1,Ki +1
1102,11,2,All enemies' DEF -2% and Ki +1
1103,11,3,All enemies' DEF -4% and Ki +1
1104,11,4,All enemies' DEF -6% and Ki +1
1105,11,5,All enemies' DEF -10% and Ki +1
1106,11,6,All enemies' DEF -12% and Ki +1
1107,11,7,All enemies' DEF -14% and Ki +1
1108,11,8,All enemies' DEF -16% and Ki +1
1109,11,9,All enemies' DEF -18% and Ki +1
1110,11,10,All enemies' DEF -20% and Ki +2
1201,12,1,Ki +1 when HP is 30% or less
1202,12,2,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +1% when HP is 35% or less"
1203,12,3,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +2% when HP is 40% or less"
