id,comment
10,B-rank AGL.
11,B-rank TEQ.
12,B-rank INT.
13,B-rank STR.
14,B-rank PHY.
20,A-rank AGL.
21,A-rank TEQ.
22,A-rank INT. This serves as the base for all others.
23,A-rank STR.
24,A-rank PHY.
30,S-rank AGL.
31,S-rank TEQ.
32,S-rank INT.
33,S-rank STR.
34,S-rank PHY.
120,A-rank AGL. For characters with special settings.
121,A-rank TEQ. For characters with special settings.
122,A-rank INT. For characters with special settings.
123,A-rank STR. For characters with special settings.
124,A-rank PHY. For characters with special settings.
201,孫悟空Jr専用
202,ブルマ(少女期)専用
203,孫悟飯(幼年期)専用
204,バータ専用
205,グルド専用
206,ギニュー専用
207,ジース専用
208,リクーム専用
209,ピッコロ専用
210,トランクス(幼年期)&孫悟天(幼年期)&マーロン専用
211,ギル専用
212,ベジータJr.専用
213,孫悟空(DOKKAN武闘伝)専用
214,ベジータ(DOKKAN武闘伝)専用
215,フリーザ(第二形態)専用
216,ベジータ専用
217,孫悟空専用
218,ブロリー(幼年期)専用
219,ベジータ(幼年期)専用
220,トテッポ専用
221,トーマ専用
222,セリパ専用
223,バーダック専用
224,パンブーキン専用
225,ブルマ(少女期)専用
