id,type,currency_id,additional_value,created_at,updated_at
1,PotentialEvent::Hp,,90,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
2,PotentialEvent::Atk,,100,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
3,PotentialEvent::Defense,,100,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
4,PotentialEvent::Hp,,20,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
5,PotentialEvent::Atk,,10,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
6,PotentialEvent::Defense,,20,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
7,PotentialEvent::Skill,4.0,1,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
8,PotentialEvent::Hp,,30,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
9,PotentialEvent::Atk,,15,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
10,PotentialEvent::Defense,,30,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
11,PotentialEvent::Hp,,50,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
12,PotentialEvent::Atk,,25,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
13,PotentialEvent::Defense,,50,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
14,PotentialEvent::Atk,,35,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
15,PotentialEvent::Skill,3.0,5,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
16,PotentialEvent::Skill,5.0,1,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
17,PotentialEvent::Skill,6.0,1,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
18,PotentialEvent::Skill,7.0,1,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
19,PotentialEvent::Hp,,200,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
20,PotentialEvent::Select,1.0,0,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
21,PotentialEvent::Skill,1.0,3,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
22,PotentialEvent::Skill,2.0,3,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
23,PotentialEvent::Select,2.0,0,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
24,PotentialEvent::Skill,3.0,3,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
25,PotentialEvent::Select,3.0,0,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
26,PotentialEvent::Hp,,70,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
27,PotentialEvent::Defense,,70,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
28,PotentialEvent::Atk,,50,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
29,PotentialEvent::Select,4.0,0,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
30,PotentialEvent::Skill,4.0,5,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
31,PotentialEvent::Skill,6.0,5,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
32,PotentialEvent::Hp,,100,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
33,PotentialEvent::Defense,,200,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
34,PotentialEvent::Select,5.0,0,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
