id,condition_set_id,condition_id,created_at,updated_at
1,1,1,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
2,1,2,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
3,1,3,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
4,2,4,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
5,3,5,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
6,4,5,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
7,4,6,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
8,5,5,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
9,5,2,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
10,5,3,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
11,6,7,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
12,6,8,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
13,6,9,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
14,7,1,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
15,7,10,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
16,7,11,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
17,8,12,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
18,8,10,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
19,8,9,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
20,9,13,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
21,9,5,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
22,9,6,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
23,10,13,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
24,10,5,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
25,10,2,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
26,11,14,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
27,11,5,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
28,11,2,2024-06-18 10:28:01.844604,2024-06-18 10:28:01.844604
