id,quest_id,type,card_category_id,quest_category_bonus_rarity_table_id,created_at,updated_at
24,131001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,3,7,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
25,132001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,4,8,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
26,334001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,1,9,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
27,334002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,1,9,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
28,334003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,1,9,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
29,334004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,1,9,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
30,335001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
31,335002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
32,335003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
33,335004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
34,335005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
35,335006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
36,335007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
37,335008,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
38,335009,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
39,335010,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
40,335011,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
41,335012,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
42,336001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,11,11,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
43,336002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,11,11,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
44,336003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,11,11,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
45,336004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,11,11,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
46,160001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,4,12,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
47,160001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,12,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
48,160002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,4,12,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
49,160002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,12,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
50,160003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,4,12,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
51,160003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,12,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
52,341001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
53,341002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
54,341003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
55,341004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
56,341005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
57,341006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
58,341007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
59,344001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
60,344002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
61,344003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
62,344004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
63,344005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
64,344006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
65,344007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
66,344008,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
67,344009,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
68,602001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,15,15,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
69,602002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,15,15,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
70,602003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,15,15,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
71,602004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,15,15,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
72,343001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
73,343002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
74,343003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
75,343004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
76,343005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
77,343006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
78,162001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
79,162002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
80,162003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
81,162004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
82,162005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
83,162006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
84,162007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
85,162008,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
86,162009,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
87,347001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
88,347002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
89,347003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
90,347004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
91,347005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
92,347006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
93,347007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
94,347008,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
95,347009,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
96,347010,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
97,348001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,8,19,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
98,348002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,8,19,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
99,348003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,8,19,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
100,348004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,8,19,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
101,328001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
102,328002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
103,328003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
104,328004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
105,328005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
106,328006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
107,328007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
108,333001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,7,21,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
109,333002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,7,21,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
110,333003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,7,21,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
111,333004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,7,21,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
112,333005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,7,21,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
113,349001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,22,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
114,349002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,22,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
115,349003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,22,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
116,349004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,22,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
117,349005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,22,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
118,352001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,23,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
119,352002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,23,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
120,352003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,23,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
121,352004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,23,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
122,352005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,23,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
123,352006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,23,2024-06-26 10:47:54.143946,2024-06-26 10:47:54.143946
124,160004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,4,12,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
125,160004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,12,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
126,307001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,24,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
127,307002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,24,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
128,307003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,24,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
129,307004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,24,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
130,307005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,24,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
131,307006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,24,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
132,307007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,24,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
133,307008,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,24,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
134,307009,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,24,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
135,307010,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,24,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
136,137001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,1,25,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
137,355001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
138,355002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
139,355003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
140,355004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
141,355005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
142,603001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,27,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
143,603002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,27,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
144,603003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,27,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
145,603001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,27,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
146,603002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,27,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
147,603003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,27,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
148,355006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
149,355007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
150,355008,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
151,355009,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
152,355010,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
153,355011,QuestCategoryBonus::SugorokuStart::AdditionalDrop,29,26,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
154,353001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,28,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
155,353002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,28,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
156,353003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,28,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
157,353004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,28,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
158,353005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,28,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
159,357001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,2,29,2024-06-26 10:47:54.152670,2024-06-26 10:47:54.152670
