id,area_id,name,prev_quest_id,any_clear_bonus_stones,all_clear_bonus_stones,visit_count_max,interval_reset_visited_days,can_ignore_difficulty_order,limitation_announcement_master_id,boostable,start_at,enable_sugoroku_auto,enable_battle_auto,created_at,updated_at
1,10001,To the Tournament!,,,,,,0,,0,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
1000,1,Dimensional Distortion,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
1001,1,After the Tournament...,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
1002,1,Pursuing Mercenary Tao,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
1003,1,Unrivaled Assassin,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
1004,1,Reinvestigation,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
1005,1,Invasion of the Warrior Race,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
2001,2,Premonition of Doom,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
2002,2,Ghost Town Investigation,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
2003,2,Mysterious Ki,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
2004,2,New Enemy,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
2005,2,Malicious Android: Cell,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
3001,3,Squad Leader,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
3002,3,World's Greatest Teacher,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
3003,3,Telekinetic Threat,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
3004,3,Clever Krillin,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
3005,3,Turtle School Trial Lesson,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
3006,3,Revenge of Crane School,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
3007,3,Crane School Pride,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
3008,3,Fierce Fight for Honor,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
4001,4,Alien Warrior Encounter 1,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
4002,4,Alien Warrior Encounter 2,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
4003,4,Alien Warrior Encounter 3,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
4004,4,Pursuer Who Summons Death,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
4005,4,Alien Warrior Encounter 4,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
4006,4,Alien Warrior Encounter 5,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
4007,4,The Beautiful Warrior Zarbon,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
4008,4,Brutal Counterattack,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
5001,5,Pint-Sized Super Warrior,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
5002,5,Intensive Training,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
5003,5,Piccolo's Terms,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
5004,5,Before the Storm,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
5005,5,Psychokinesis,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
5006,5,Orange-Haired Hazard,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
5007,5,Blue Hurricane,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
5008,5,Red Magma,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
5009,5,Purple Comet,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
5010,5,The Mighty Ginyu Force,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
6001,6,Android Appearance,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
6002,6,Android #18's Games Part 1,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
6003,6,Android #18's Games Part 2,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
6004,6,Android #18's Games Part 3,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
6005,6,Android #18's Super Power,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
6006,6,Enter Android #17!,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
6007,6,Unending Energy of Terror,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
6008,6,Nightmare Team Assault,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
6009,6,Cell Approaches,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
6010,6,Cell's Ambition,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
7001,7,Find Goku! Part 1,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
7002,7,Find Goku! Part 2,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
7003,7,Find Goku! Part 3,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
7004,7,Find Goku! Part 4,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
7005,7,Enter Goku!,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
7006,7,Saiyan Attack,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
7007,7,Let the Games Begin,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
7008,7,Elite Warrior,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
7009,7,Saiyan Tagteam,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
7010,7,Saiyan's Pride,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
8001,8,Offense and Defense Part 1,,1.0,,,,1,,1,2015-09-27 08:30:00,1,1,2024-06-26 10:47:54.380671,2024-06-26 10:47:54.380671
