id,enemy_skill_id,card_category_id,created_at,updated_at
1,3000,1,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
2,4210,13,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
3,4220,13,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
4,4230,13,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
5,4240,13,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
6,4250,13,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
7,4260,13,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
8,4600,2,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
9,4610,2,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
10,4630,2,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
11,4640,2,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
12,7000,25,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
13,7010,5,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
14,7020,31,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
15,7030,30,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
16,7040,17,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
17,8700,29,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
18,8710,16,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
19,8720,26,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
20,8730,10,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
21,8740,1,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
22,9630,24,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
23,12200,6,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
24,12210,7,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
25,12220,24,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
26,12230,23,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
27,12240,44,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
28,16850,17,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
29,22710,16,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
30,22710,29,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
31,22730,16,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
32,22730,29,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
33,22750,16,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
34,22750,29,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
35,22770,16,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
36,22770,29,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
37,22790,16,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
38,22790,29,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
39,21880,32,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
40,21880,52,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
41,26100,32,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
42,28850,31,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
43,28860,31,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
44,29100,72,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
45,29110,25,2024-07-30 10:27:54.099481,2024-07-30 10:27:54.099481
