id,enemy_skill_id,passive_skill_set_id
100,1,348
101,1,349
102,1,350
103,1,351
104,1,719
105,1,720
106,1,721
107,1,1171
108,1,1172
109,1,1173
110,1,1487
111,1,1488
112,1,1489
113,1,1490
114,1,1491
115,1,3497
200,2,368
201,2,369
202,2,370
203,2,371
204,2,763
205,2,859
206,2,858
207,2,988
208,2,1652
209,2,1653
210,2,1654
211,2,1655
212,2,1656
213,2,1657
214,2,1974
215,2,1975
216,2,2519
217,2,4076
1100,11,204
1101,11,231
1102,11,255
1103,11,280
1104,11,284
1105,11,406
1106,11,407
1107,11,408
1108,11,409
1109,11,414
1110,11,520
1111,11,521
1112,11,525
1113,11,559
1114,11,652
1115,11,653
1116,11,654
1117,11,655
1118,11,656
1119,11,801
1120,11,823
1121,11,862
1122,11,863
1123,11,864
1124,11,865
1125,11,868
1126,11,981
1127,11,982
1128,11,1205
1129,11,1295
1130,11,1296
1131,11,1297
1132,11,1299
1133,11,1300
1134,11,1304
1135,11,1305
1136,11,1310
1137,11,1409
1138,11,1601
1139,11,2104
1140,11,2105
1141,11,2106
1142,11,2107
1143,11,2108
1144,11,2081
1145,11,2189
1146,11,2226
1148,11,2180
1149,11,2181
1150,11,2182
1151,11,2186
1152,11,2187
1153,11,2257
1154,11,2696
1155,11,2697
1156,11,2722
1157,11,3347
1158,11,3349
1159,11,3350
1160,11,3436
1161,11,3437
1162,11,3438
1163,11,3873
1164,11,3874
1165,11,4018
1166,11,4037
1167,11,4131
1168,11,4132
1169,11,4135
1170,11,4136
1171,11,4112
1172,11,4114
1173,11,4143
1174,11,4144
1175,11,4145
1176,11,4157
10000,100,183
10001,100,184
10002,100,200
10003,100,248
10004,100,268
10005,100,298
10006,100,292
10007,100,394
10008,100,395
10009,100,427
10010,100,575
10011,100,187
10012,100,301
10013,100,451
10014,100,574
10015,100,614
10016,100,615
10017,100,623
10018,100,637
10019,100,638
10020,100,768
10021,100,769
10022,100,770
10023,100,881
10024,100,882
10025,100,883
10026,100,884
10027,100,1130
10028,100,1131
10029,100,1152
10030,100,1939
10031,100,1942
10032,100,1943
10033,100,2065
10034,100,2066
10035,100,2069
10036,100,2070
10037,100,2311
10038,100,2321
10039,100,2322
10040,100,2866
10041,100,2867
10042,100,2868
10043,100,2892
10044,100,2893
10045,100,2894
10046,100,3224
10047,100,3366
10048,100,3367
10049,100,3368
10050,100,3369
10051,100,3370
10052,100,3371
10053,100,3393
10054,100,3394
10055,100,3399
10056,100,3400
10057,100,3401
11000,110,183
11001,110,184
11002,110,200
11003,110,248
11004,110,268
11005,110,298
11006,110,292
11007,110,394
11008,110,395
11009,110,427
11010,110,575
11011,110,187
11012,110,301
11013,110,451
11014,110,574
11015,110,614
11016,110,615
11017,110,623
11018,110,637
11019,110,638
11020,110,768
11021,110,769
11022,110,770
11023,110,881
11024,110,882
11025,110,883
11026,110,884
11027,110,1130
11028,110,1131
11029,110,1152
11030,110,1939
11031,110,1942
11032,110,1943
11033,110,2065
11034,110,2066
11035,110,2069
11036,110,2070
11037,110,2311
11038,110,2321
11039,110,2322
11040,110,2866
11041,110,2867
11042,110,2868
11043,110,2892
11044,110,2893
11045,110,2894
11046,110,3224
11047,110,3366
11048,110,3367
11049,110,3368
11050,110,3369
11051,110,3370
11052,110,3371
11053,110,3393
11054,110,3394
11055,110,3399
11056,110,3400
11057,110,3401
12000,120,183
12001,120,184
12002,120,200
12003,120,248
12004,120,268
12005,120,298
12006,120,292
12007,120,394
12008,120,395
12009,120,427
12010,120,575
12011,120,187
12012,120,301
12013,120,451
12014,120,574
12015,120,614
12016,120,615
12017,120,623
12018,120,637
12019,120,638
12020,120,768
12021,120,769
12022,120,770
12023,120,881
12024,120,882
12025,120,883
12026,120,884
12027,120,1130
12028,120,1131
12029,120,1152
12030,120,1939
12031,120,1942
12032,120,1943
12033,120,2065
12034,120,2066
12035,120,2069
12036,120,2070
12037,120,2311
12038,120,2321
12039,120,2322
12040,120,2866
12041,120,2867
12042,120,2868
12043,120,2892
12044,120,2893
12045,120,2894
12046,120,3224
12047,120,3366
12048,120,3367
12049,120,3368
12050,120,3369
12051,120,3370
12052,120,3371
12053,120,3393
12054,120,3394
12055,120,3399
12056,120,3400
12057,120,3401
30000,300,348
30001,300,349
30002,300,350
30003,300,351
30004,300,719
30005,300,720
30006,300,721
30007,300,1171
30008,300,1172
30009,300,1173
30010,300,1487
30011,300,1488
30012,300,1489
30013,300,1490
30014,300,1491
30015,300,3497
50000,500,10
50001,500,148
50002,500,255
50003,500,386
50004,500,256
50005,500,407
50006,500,419
50007,500,450
50008,500,559
50009,500,616
50010,500,68
50011,500,707
50012,500,708
50013,500,724
50014,500,709
50015,500,823
50016,500,868
50017,500,951
50018,500,981
50019,500,1205
50020,500,1253
50021,500,1255
50022,500,1260
50023,500,1257
50024,500,1259
50025,500,1261
50026,500,1262
50027,500,1295
50028,500,1296
50029,500,1297
50030,500,1322
50031,500,1323
50032,500,1594
50033,500,1595
50034,500,1596
50035,500,1928
50036,500,2108
50037,500,2081
50038,500,2546
50039,500,2547
50040,500,2722
50041,500,2831
50042,500,2958
50043,500,2959
50044,500,2968
50045,500,3225
50046,500,3347
50047,500,3436
50048,500,3437
50049,500,3438
50050,500,3454
50051,500,3455
50052,500,3553
50053,500,3554
50054,500,3555
50055,500,3873
50056,500,3874
50057,500,4018
50058,500,4145
51000,510,10
51001,510,148
51002,510,255
51003,510,386
51004,510,256
51005,510,407
51006,510,419
51007,510,450
51008,510,559
51009,510,616
51010,510,68
51011,510,707
51012,510,708
51013,510,724
51014,510,709
51015,510,823
51016,510,868
51017,510,951
51018,510,981
51019,510,1205
51020,510,1253
51021,510,1255
51022,510,1260
51023,510,1257
51024,510,1259
51025,510,1261
51026,510,1262
51027,510,1295
51028,510,1296
51029,510,1297
51030,510,1322
51031,510,1323
51032,510,1594
51033,510,1595
51034,510,1596
51035,510,1928
51036,510,2108
51037,510,2081
51038,510,2546
51039,510,2547
51040,510,2722
51041,510,2831
51042,510,2958
51043,510,2959
51044,510,2968
51045,510,3225
51046,510,3347
51047,510,3436
51048,510,3437
51049,510,3438
51050,510,3454
51051,510,3455
51052,510,3553
51053,510,3554
51054,510,3555
51055,510,3873
51056,510,3874
51057,510,4018
51058,510,4145
52000,520,10
52001,520,148
52002,520,255
52003,520,386
52004,520,256
52005,520,407
52006,520,419
52007,520,450
52008,520,559
52009,520,616
52010,520,68
52011,520,707
52012,520,708
52013,520,724
52014,520,709
52015,520,823
52016,520,868
52017,520,951
52018,520,981
52019,520,1205
52020,520,1253
52021,520,1255
52022,520,1260
52023,520,1257
52024,520,1259
52025,520,1261
52026,520,1262
52027,520,1295
52028,520,1296
52029,520,1297
52030,520,1322
52031,520,1323
52032,520,1594
52033,520,1595
52034,520,1596
52035,520,1928
52036,520,2108
52037,520,2081
52038,520,2546
52039,520,2547
52040,520,2722
52041,520,2831
52042,520,2958
52043,520,2959
52044,520,2968
52045,520,3225
52046,520,3347
52047,520,3436
52048,520,3437
52049,520,3438
52050,520,3454
52051,520,3455
52052,520,3553
52053,520,3554
52054,520,3555
52055,520,3873
52056,520,3874
52057,520,4018
52058,520,4145
53000,530,10
53001,530,148
53002,530,255
53003,530,386
53004,530,256
53005,530,407
53006,530,419
53007,530,450
53008,530,559
53009,530,616
53010,530,68
53011,530,707
53012,530,708
53013,530,724
53014,530,709
53015,530,823
53016,530,868
53017,530,951
53018,530,981
53019,530,1205
53020,530,1253
53021,530,1255
53022,530,1260
53023,530,1257
53024,530,1259
53025,530,1261
53026,530,1262
53027,530,1295
53028,530,1296
53029,530,1297
53030,530,1322
53031,530,1323
53032,530,1594
53033,530,1595
53034,530,1596
53035,530,1928
53036,530,2108
53037,530,2081
53038,530,2546
53039,530,2547
53040,530,2722
53041,530,2831
53042,530,2958
53043,530,2959
53044,530,2968
53045,530,3225
53046,530,3347
53047,530,3436
53048,530,3437
53049,530,3438
53050,530,3454
53051,530,3455
53052,530,3553
53053,530,3554
53054,530,3555
53055,530,3873
53056,530,3874
53057,530,4018
53058,530,4145
90000,900,698
90001,900,699
90002,900,700
90003,900,727
90004,900,728
90005,900,731
90006,900,732
90007,900,918
90008,900,919
90009,900,920
90010,900,1075
90011,900,1076
90012,900,1080
90013,900,1081
90014,900,1082
90015,900,1353
90016,900,1354
90017,900,1355
90018,900,1356
90019,900,1480
90020,900,760
90021,900,761
90022,900,762
90023,900,1510
90024,900,1511
90025,900,1512
90026,900,1513
90027,900,1514
90028,900,1504
90029,900,2003
90030,900,2040
90031,900,2041
90032,900,2042
90033,900,2043
90034,900,2012
90035,900,2645
90036,900,2883
90037,900,2899
90038,900,2900
90039,900,2908
90040,900,2906
90041,900,2909
90042,900,2910
90043,900,2911
90044,900,3527
90045,900,3528
90046,900,3529
90047,900,3530
90048,900,3533
90049,900,3534
90050,900,3560
90051,900,3561
90052,900,3562
90053,900,3854
90054,900,3855
90055,900,3856
90056,900,3857
90057,900,3996
90058,900,3997
90059,900,3998
90060,900,4163
91000,910,698
91001,910,699
91002,910,700
91003,910,727
91004,910,728
91005,910,731
91006,910,732
91007,910,918
91008,910,919
91009,910,920
91010,910,1075
91011,910,1076
91012,910,1080
91013,910,1081
91014,910,1082
91015,910,1353
91016,910,1354
91017,910,1355
91018,910,1356
91019,910,1480
91020,910,760
91021,910,761
91022,910,762
91023,910,1510
91024,910,1511
91025,910,1512
91026,910,1513
91027,910,1514
91028,910,1504
91029,910,2003
91030,910,2040
91031,910,2041
91032,910,2042
91033,910,2043
91034,910,2012
91035,910,2645
91036,910,2883
91037,910,2899
91038,910,2900
91039,910,2908
91040,910,2906
91041,910,2909
91042,910,2910
91043,910,2911
91044,910,3527
91045,910,3528
91046,910,3529
91047,910,3530
91048,910,3533
91049,910,3534
91050,910,3560
91051,910,3561
91052,910,3562
91053,910,3854
91054,910,3855
91055,910,3856
91056,910,3857
91057,910,3996
91058,910,3997
91059,910,3998
91060,910,4163
92000,920,698
92001,920,699
92002,920,700
92003,920,727
92004,920,728
92005,920,731
92006,920,732
92007,920,918
92008,920,919
92009,920,920
92010,920,1075
92011,920,1076
92012,920,1080
92013,920,1081
92014,920,1082
92015,920,1353
92016,920,1354
92017,920,1355
92018,920,1356
92019,920,1480
92020,920,760
92021,920,761
92022,920,762
92023,920,1510
92024,920,1511
92025,920,1512
92026,920,1513
92027,920,1514
92028,920,1504
92029,920,2003
92030,920,2040
92031,920,2041
92032,920,2042
92033,920,2043
92034,920,2012
92035,920,2645
92036,920,2883
92037,920,2899
92038,920,2900
92039,920,2908
92040,920,2906
92041,920,2909
92042,920,2910
92043,920,2911
92044,920,3527
92045,920,3528
92046,920,3529
92047,920,3530
92048,920,3533
92049,920,3534
92050,920,3560
92051,920,3561
92052,920,3562
92053,920,3854
92054,920,3855
92055,920,3856
92056,920,3857
92057,920,3996
92058,920,3997
92059,920,3998
92060,920,4163
100000,1000,725
100001,1000,726
100002,1000,729
100003,1000,730
100004,1000,733
100005,1000,1073
100006,1000,1074
100007,1000,1077
100008,1000,1078
100009,1000,1079
100010,1000,1038
100011,1000,1039
100012,1000,1040
100013,1000,1376
100014,1000,1377
100015,1000,1378
100016,1000,1515
100017,1000,2018
100018,1000,2019
100019,1000,2020
100020,1000,2021
100021,1000,2022
100022,1000,2028
100023,1000,2029
100024,1000,2011
100025,1000,2644
100029,1000,2937
100030,1000,2907
100031,1000,2905
100032,1000,3374
100033,1000,3375
100034,1000,3526
100035,1000,3531
100036,1000,3532
100037,1000,3559
100038,1000,3567
100039,1000,3571
100040,1000,3572
100041,1000,3573
100042,1000,3574
100043,1000,3582
100044,1000,3570
100045,1000,3568
100046,1000,3569
100048,1000,4149
100049,1000,4150
101000,1010,725
101001,1010,726
101002,1010,729
101003,1010,730
101004,1010,733
101005,1010,1073
101006,1010,1074
101007,1010,1077
101008,1010,1078
101009,1010,1079
101010,1010,1038
101011,1010,1039
101012,1010,1040
101013,1010,1376
101014,1010,1377
101015,1010,1378
101016,1010,1515
101017,1010,2018
101018,1010,2019
101019,1010,2020
101020,1010,2021
101021,1010,2022
101022,1010,2028
101023,1010,2029
101024,1010,2011
101025,1010,2644
101029,1010,2937
101030,1010,2907
101031,1010,2905
101032,1010,3374
101033,1010,3375
101034,1010,3526
101035,1010,3531
101036,1010,3532
101037,1010,3559
101038,1010,3567
101039,1010,3571
101040,1010,3572
101041,1010,3573
101042,1010,3574
101043,1010,3582
101044,1010,3570
101045,1010,3568
101046,1010,3569
101048,1010,4149
101049,1010,4150
102000,1020,725
102001,1020,726
102002,1020,729
102003,1020,730
102004,1020,733
102005,1020,1073
102006,1020,1074
102007,1020,1077
102008,1020,1078
102009,1020,1079
102010,1020,1038
102011,1020,1039
102012,1020,1040
102013,1020,1376
102014,1020,1377
102015,1020,1378
102016,1020,1515
102017,1020,2018
102018,1020,2019
102019,1020,2020
102020,1020,2021
102021,1020,2022
102022,1020,2028
102023,1020,2029
102024,1020,2011
102025,1020,2644
102029,1020,2937
102030,1020,2907
102031,1020,2905
102032,1020,3374
102033,1020,3375
102034,1020,3526
102035,1020,3531
102036,1020,3532
102037,1020,3559
102038,1020,3567
102039,1020,3571
102040,1020,3572
102041,1020,3573
102042,1020,3574
102043,1020,3582
102044,1020,3570
102045,1020,3568
102046,1020,3569
102048,1020,4149
102049,1020,4150
103000,1030,725
103001,1030,726
103002,1030,729
103003,1030,730
103004,1030,733
103005,1030,1073
103006,1030,1074
103007,1030,1077
103008,1030,1078
103009,1030,1079
103010,1030,1038
103011,1030,1039
103012,1030,1040
103013,1030,1376
103014,1030,1377
103015,1030,1378
103016,1030,1515
103017,1030,2018
103018,1030,2019
103019,1030,2020
103020,1030,2021
103021,1030,2022
103022,1030,2028
103023,1030,2029
103024,1030,2011
103029,1030,2937
103030,1030,2907
103031,1030,2905
103032,1030,3374
103033,1030,3375
103034,1030,3526
103035,1030,3531
103036,1030,3532
103037,1030,3559
103038,1030,3567
103039,1030,3571
103040,1030,3572
103041,1030,3573
103042,1030,3574
103043,1030,3582
103044,1030,3570
103045,1030,3568
103046,1030,3569
103048,1030,4149
103049,1030,4150
110000,1100,368
110001,1100,369
110002,1100,370
110003,1100,371
110004,1100,763
110005,1100,859
110006,1100,858
110007,1100,988
110008,1100,1652
110009,1100,1653
110010,1100,1654
110011,1100,1655
110012,1100,1656
110013,1100,1657
110014,1100,1974
110015,1100,1975
110016,1100,2519
110017,1100,4076
111000,1110,368
111001,1110,369
111002,1110,370
111003,1110,371
111004,1110,763
111005,1110,859
111006,1110,858
111007,1110,988
111008,1110,1652
111009,1110,1653
111010,1110,1654
111011,1110,1655
111012,1110,1656
111013,1110,1657
111014,1110,1974
111015,1110,1975
111016,1110,2519
111017,1110,4076
150000,1500,182
150001,1500,324
150002,1500,454
150003,1500,602
150004,1500,702
150006,1500,776
150007,1500,871
150008,1500,1206
150009,1500,1316
150010,1500,1317
150011,1500,1387
150012,1500,1470
150013,1500,1471
150014,1500,2329
150015,1500,3002
150016,1500,3003
150017,1500,3017
150018,1500,3330
150019,1500,3331
150020,1500,3459
150021,1500,3896
152000,1520,182
152001,1520,324
152002,1520,454
152003,1520,602
152004,1520,702
152005,1520,776
152007,1520,871
152008,1520,1206
152009,1520,1316
152010,1520,1317
152011,1520,1387
152012,1520,1470
152013,1520,1471
152014,1520,2329
152015,1520,3002
152016,1520,3003
152017,1520,3017
152018,1520,3330
152019,1520,3331
152020,1520,3459
152021,1520,3896
190000,1900,57
190001,1900,65
190002,1900,267
190003,1900,299
190004,1900,302
190005,1900,338
190006,1900,345
