id,kind,description,conditions
1,1,Amount of Zeni obtained increases by 1%,"{""benefit_permil"":10}"
2,0,Drop rates of Training Items increase by 1%,"{""item_type"":""TrainingItem"",""benefit_permil"":10}"
3,0,Drop rates of Support Items increase by 1%,"{""item_type"":""SupportItem"",""benefit_permil"":10}"
4,0,Drop rates of Potential Orbs increase by 1%,"{""item_type"":""PotentialItem"",""benefit_permil"":10}"
5,0,Drop rates of characters increase by 1%,"{""item_type"":""Card"",""benefit_permil"":10}"
6,0,Drop rates of Treasure Items increase by 1%,"{""item_type"":""TreasureItem"",""benefit_permil"":10}"
7,0,Drop rates of Awakening Medals increase by 1%,"{""item_type"":""AwakeningItem"",""benefit_permil"":10}"
8,1,Amount of Zeni obtained increases by 2%,"{""benefit_permil"":20}"
9,0,Drop rates of Training Items increase by 2%,"{""item_type"":""TrainingItem"",""benefit_permil"":20}"
10,0,Drop rates of Support Items increase by 2%,"{""item_type"":""SupportItem"",""benefit_permil"":20}"
11,0,Drop rates of Potential Orbs increase by 2%,"{""item_type"":""PotentialItem"",""benefit_permil"":20}"
12,0,Drop rates of characters increase by 2%,"{""item_type"":""Card"",""benefit_permil"":20}"
13,0,Drop rates of Treasure Items increase by 2%,"{""item_type"":""TreasureItem"",""benefit_permil"":20}"
14,0,Drop rates of Awakening Medals increase by 2%,"{""item_type"":""AwakeningItem"",""benefit_permil"":20}"
15,1,Amount of Zeni obtained increases by 3%,"{""benefit_permil"":30}"
16,0,Drop rates of Training Items increase by 3%,"{""item_type"":""TrainingItem"",""benefit_permil"":30}"
17,0,Drop rates of Support Items increase by 3%,"{""item_type"":""SupportItem"",""benefit_permil"":30}"
18,0,Drop rates of Potential Orbs increase by 3%,"{""item_type"":""PotentialItem"",""benefit_permil"":30}"
19,0,Drop rates of characters increase by 3%,"{""item_type"":""Card"",""benefit_permil"":30}"
20,0,Drop rates of Treasure Items increase by 3%,"{""item_type"":""TreasureItem"",""benefit_permil"":30}"
21,0,Drop rates of Awakening Medals increase by 3%,"{""item_type"":""AwakeningItem"",""benefit_permil"":30}"
22,1,Amount of Zeni obtained increases by 4%,"{""benefit_permil"":40}"
23,0,Drop rates of Training Items increase by 4%,"{""item_type"":""TrainingItem"",""benefit_permil"":40}"
24,0,Drop rates of Support Items increase by 4%,"{""item_type"":""SupportItem"",""benefit_permil"":40}"
25,0,Drop rates of Potential Orbs increase by 4%,"{""item_type"":""PotentialItem"",""benefit_permil"":40}"
26,0,Drop rates of characters increase by 4%,"{""item_type"":""Card"",""benefit_permil"":40}"
27,0,Drop rates of Treasure Items increase by 4%,"{""item_type"":""TreasureItem"",""benefit_permil"":40}"
28,0,Drop rates of Awakening Medals increase by 4%,"{""item_type"":""AwakeningItem"",""benefit_permil"":40}"
29,1,Amount of Zeni obtained increases by 5%,"{""benefit_permil"":50}"
30,0,Drop rates of Training Items increase by 5%,"{""item_type"":""TrainingItem"",""benefit_permil"":50}"
31,0,Drop rates of Support Items increase by 5%,"{""item_type"":""SupportItem"",""benefit_permil"":50}"
32,0,Drop rates of Potential Orbs increase by 5%,"{""item_type"":""PotentialItem"",""benefit_permil"":50}"
33,0,Drop rates of characters increase by 5%,"{""item_type"":""Card"",""benefit_permil"":50}"
34,0,Drop rates of Treasure Items increase by 5%,"{""item_type"":""TreasureItem"",""benefit_permil"":50}"
35,0,Drop rates of Awakening Medals increase by 5%,"{""item_type"":""AwakeningItem"",""benefit_permil"":50}"
36,1,Amount of Zeni obtained increases by 6%,"{""benefit_permil"":60}"
37,0,Drop rates of Training Items increase by 6%,"{""item_type"":""TrainingItem"",""benefit_permil"":60}"
38,0,Drop rates of Support Items increase by 6%,"{""item_type"":""SupportItem"",""benefit_permil"":60}"
39,0,Drop rates of Potential Orbs increase by 6%,"{""item_type"":""PotentialItem"",""benefit_permil"":60}"
40,0,Drop rates of characters increase by 6%,"{""item_type"":""Card"",""benefit_permil"":60}"
41,0,Drop rates of Treasure Items increase by 6%,"{""item_type"":""TreasureItem"",""benefit_permil"":60}"
42,0,Drop rates of Awakening Medals increase by 6%,"{""item_type"":""AwakeningItem"",""benefit_permil"":60}"
43,1,Amount of Zeni obtained increases by 7%,"{""benefit_permil"":70}"
44,0,Drop rates of Training Items increase by 7%,"{""item_type"":""TrainingItem"",""benefit_permil"":70}"
45,0,Drop rates of Support Items increase by 7%,"{""item_type"":""SupportItem"",""benefit_permil"":70}"
46,0,Drop rates of Potential Orbs increase by 7%,"{""item_type"":""PotentialItem"",""benefit_permil"":70}"
47,0,Drop rates of characters increase by 7%,"{""item_type"":""Card"",""benefit_permil"":70}"
48,0,Drop rates of Treasure Items increase by 7%,"{""item_type"":""TreasureItem"",""benefit_permil"":70}"
49,0,Drop rates of Awakening Medals increase by 7%,"{""item_type"":""AwakeningItem"",""benefit_permil"":70}"
50,1,Amount of Zeni obtained increases by 8%,"{""benefit_permil"":80}"
51,0,Drop rates of Training Items increase by 8%,"{""item_type"":""TrainingItem"",""benefit_permil"":80}"
52,0,Drop rates of Support Items increase by 8%,"{""item_type"":""SupportItem"",""benefit_permil"":80}"
53,0,Drop rates of Potential Orbs increase by 8%,"{""item_type"":""PotentialItem"",""benefit_permil"":80}"
54,0,Drop rates of characters increase by 8%,"{""item_type"":""Card"",""benefit_permil"":80}"
55,0,Drop rates of Treasure Items increase by 8%,"{""item_type"":""TreasureItem"",""benefit_permil"":80}"
56,0,Drop rates of Awakening Medals increase by 8%,"{""item_type"":""AwakeningItem"",""benefit_permil"":80}"
57,1,Amount of Zeni obtained increases by 9%,"{""benefit_permil"":90}"
58,0,Drop rates of Training Items increase by 9%,"{""item_type"":""TrainingItem"",""benefit_permil"":90}"
59,0,Drop rates of Support Items increase by 9%,"{""item_type"":""SupportItem"",""benefit_permil"":90}"
60,0,Drop rates of Potential Orbs increase by 9%,"{""item_type"":""PotentialItem"",""benefit_permil"":90}"
61,0,Drop rates of characters increase by 9%,"{""item_type"":""Card"",""benefit_permil"":90}"
62,0,Drop rates of Treasure Items increase by 9%,"{""item_type"":""TreasureItem"",""benefit_permil"":90}"
63,0,Drop rates of Awakening Medals increase by 9%,"{""item_type"":""AwakeningItem"",""benefit_permil"":90}"
64,1,Amount of Zeni obtained increases by 10%,"{""benefit_permil"":100}"
65,0,Drop rates of Training Items increase by 10%,"{""item_type"":""TrainingItem"",""benefit_permil"":100}"
66,0,Drop rates of Support Items increase by 10%,"{""item_type"":""SupportItem"",""benefit_permil"":100}"
67,0,Drop rates of Potential Orbs increase by 10%,"{""item_type"":""PotentialItem"",""benefit_permil"":100}"
68,0,Drop rates of characters increase by 10%,"{""item_type"":""Card"",""benefit_permil"":100}"
69,0,Drop rates of Treasure Items increase by 10%,"{""item_type"":""TreasureItem"",""benefit_permil"":100}"
70,0,Drop rates of Awakening Medals increase by 10%,"{""item_type"":""AwakeningItem"",""benefit_permil"":100}"
71,4,Prices in Trade Points 1% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":10}"
72,4,Prices in Trade Points 2% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":20}"
73,4,Prices in Trade Points 3% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":30}"
74,4,Prices in Trade Points 4% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":40}"
75,4,Prices in Trade Points 5% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":50}"
76,4,Prices in Zeni 1% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":10}"
77,4,Prices in Zeni 2% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":20}"
78,4,Prices in Zeni 3% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":30}"
