id,sd_map_id,position_x,position_y,symbol_item_type,symbol_item_id,background_image_id
1,1,-7,7,TrainingItem,100,2
2,1,7,7,Point::Zeni,13,4
3,1,-7,-7,AwakeningItem,1,5
4,1,7,-7,PotentialItem,1,3
5,2,-7,7,TrainingItem,100,2
6,2,7,7,Point::Zeni,13,4
7,2,-7,-7,AwakeningItem,1,5
8,2,7,-7,PotentialItem,1,3
9,3,-7,7,TrainingItem,100,2
10,3,7,7,Point::Zeni,13,4
11,3,-7,-7,AwakeningItem,1,5
12,3,7,-7,PotentialItem,1,3
13,4,-7,7,TrainingItem,100,2
14,4,7,7,Point::Zeni,13,4
15,4,-7,-7,AwakeningItem,1,5
16,4,7,-7,PotentialItem,1,3
17,5,-7,7,TrainingItem,100,2
18,5,7,7,Point::Zeni,13,4
19,5,-7,-7,AwakeningItem,1,5
20,5,7,-7,PotentialItem,1,3
21,6,-7,7,TrainingItem,100,2
22,6,7,7,Point::Zeni,13,4
23,6,-7,-7,AwakeningItem,1,5
24,6,7,-7,PotentialItem,1,3
25,7,-7,7,TrainingItem,100,2
26,7,7,7,Point::Zeni,13,4
27,7,-7,-7,AwakeningItem,1,5
28,7,7,-7,PotentialItem,1,3
29,8,-7,7,TrainingItem,100,2
30,8,7,7,Point::Zeni,13,4
31,8,-7,-7,AwakeningItem,1,5
32,8,7,-7,PotentialItem,1,3
33,8,0,0,SD::Pack,100,1
34,9,-7,7,TrainingItem,100,2
35,9,7,7,Point::Zeni,13,4
36,9,-7,-7,AwakeningItem,1,5
37,9,7,-7,PotentialItem,1,3
38,9,0,0,SD::Pack,100,1
39,10,-7,7,TrainingItem,100,2
40,10,7,7,Point::Zeni,13,4
41,10,-7,-7,AwakeningItem,1,5
42,10,7,-7,PotentialItem,1,3
43,10,0,0,SD::Pack,201,1
44,11,-7,7,TrainingItem,100,2
45,11,7,7,Point::Zeni,13,4
46,11,-7,-7,AwakeningItem,1,5
47,11,7,-7,PotentialItem,1,3
48,11,0,0,SD::Pack,201,1
49,12,-7,7,TrainingItem,100,2
50,12,7,7,Point::Zeni,13,4
51,12,-7,-7,AwakeningItem,1,5
52,12,7,-7,PotentialItem,1,3
53,12,0,0,SD::Pack,301,1
54,13,-7,7,TrainingItem,100,2
55,13,7,7,Point::Zeni,13,4
56,13,-7,-7,AwakeningItem,1,5
57,13,7,-7,PotentialItem,1,3
58,13,0,0,SD::Pack,301,1
59,14,-7,7,TrainingItem,100,2
60,14,7,7,Point::Zeni,13,4
61,14,-7,-7,AwakeningItem,1,5
62,14,7,-7,PotentialItem,1,3
63,14,0,0,SD::Pack,401,1
64,15,-7,7,TrainingItem,100,2
65,15,7,7,Point::Zeni,13,4
66,15,-7,-7,AwakeningItem,1,5
67,15,7,-7,PotentialItem,1,3
68,15,0,0,SD::Pack,401,1
69,16,-7,7,TrainingItem,100,2
70,16,7,7,Point::Zeni,13,4
71,16,-7,-7,AwakeningItem,1,5
72,16,7,-7,PotentialItem,1,3
73,16,0,0,SD::Pack,501,1
74,17,-7,7,TrainingItem,100,2
75,17,7,7,Point::Zeni,13,4
76,17,-7,-7,AwakeningItem,1,5
77,17,7,-7,PotentialItem,1,3
78,17,0,0,SD::Pack,501,1
79,18,-7,7,TrainingItem,100,2
80,18,7,7,Point::Zeni,13,4
81,18,-7,-7,AwakeningItem,1,5
82,18,7,-7,PotentialItem,1,3
83,18,0,0,SD::Pack,601,1
84,19,-7,7,TrainingItem,100,2
85,19,7,7,Point::Zeni,13,4
86,19,-7,-7,AwakeningItem,1,5
87,19,7,-7,PotentialItem,1,3
88,19,0,0,SD::Pack,601,1
89,20,-7,7,TrainingItem,100,2
90,20,7,7,Point::Zeni,13,4
91,20,-7,-7,AwakeningItem,1,5
92,20,7,-7,PotentialItem,1,3
93,20,0,0,SD::Pack,701,1
94,21,-7,7,TrainingItem,100,2
95,21,7,7,Point::Zeni,13,4
96,21,-7,-7,AwakeningItem,1,5
97,21,7,-7,PotentialItem,1,3
98,21,0,0,SD::Pack,701,1
99,22,-7,7,TrainingItem,100,2
100,22,7,7,Point::Zeni,13,4
101,22,-7,-7,AwakeningItem,1,5
102,22,7,-7,PotentialItem,1,3
103,22,0,0,SD::Pack,801,1
104,23,-7,7,TrainingItem,100,2
105,23,7,7,Point::Zeni,13,4
106,23,-7,-7,AwakeningItem,1,5
107,23,7,-7,PotentialItem,1,3
108,23,0,0,SD::Pack,801,1
109,24,-7,7,TrainingItem,100,2
110,24,7,7,Point::Zeni,13,4
111,24,-7,-7,AwakeningItem,1,5
112,24,7,-7,PotentialItem,1,3
113,24,0,0,SD::Pack,901,1
114,25,-7,7,TrainingItem,100,2
115,25,7,7,Point::Zeni,13,4
116,25,-7,-7,AwakeningItem,1,5
117,25,7,-7,PotentialItem,1,3
118,25,0,0,SD::Pack,901,1
119,26,-7,7,TrainingItem,100,2
120,26,7,7,Point::Zeni,13,4
121,26,-7,-7,AwakeningItem,1,5
122,26,7,-7,PotentialItem,1,3
123,26,0,0,SD::Pack,1001,1
124,27,-7,7,TrainingItem,100,2
125,27,7,7,Point::Zeni,13,4
126,27,-7,-7,AwakeningItem,1,5
127,27,7,-7,PotentialItem,1,3
128,27,0,0,SD::Pack,1001,1
129,28,-7,7,TrainingItem,100,2
130,28,7,7,Point::Zeni,13,4
131,28,-7,-7,AwakeningItem,1,5
132,28,7,-7,PotentialItem,1,3
133,28,0,0,SD::Pack,1101,1
134,29,-7,7,TrainingItem,100,2
135,29,7,7,Point::Zeni,13,4
136,29,-7,-7,AwakeningItem,1,5
