id,name,description,created_at,updated_at
100,Sticker Card Pack Series 1,Contains a Series 1 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
200,Sticker Card Pack Series 1 & 2,Contains a Series 1 or Series 2 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
201,Sticker Card Pack Series 2,Contains a Series 2 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
300,Sticker Card Pack Series 2 & 3,Contains a Series 2 or Series 3 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
301,Sticker Card Pack Series 3,Contains a Series 3 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
400,Sticker Card Pack Series 3 & 4,Contains a Series 3 or Series 4 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
401,Sticker Card Pack Series 4,Contains a Series 4 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
500,Sticker Card Pack Series 4 & 5,Contains a Series 4 or Series 5 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
501,Sticker Card Pack Series 5,Contains a Series 5 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
600,Sticker Card Pack Series 5 & 6,Contains a Series 5 or Series 6 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
601,Sticker Card Pack Series 6,Contains a Series 6 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
700,Sticker Card Pack Series 6 & 7,Contains a Series 6 or Series 7 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
701,Sticker Card Pack Series 7,Contains a Series 7 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
800,Sticker Card Pack Series 7 & 8,Contains a Series 7 or Series 8 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
801,Sticker Card Pack Series 8,Contains a Series 8 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
900,Sticker Card Pack Series 8 & 9,Contains a Series 8 or Series 9 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
901,Sticker Card Pack Series 9,Contains a Series 9 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1000,Sticker Card Pack Series 9 & 10,Contains a Series 9 or Series 10 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1001,Sticker Card Pack Series 10,Contains a Series 10 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1100,Sticker Card Pack Series 10 & 11,Contains a Series 10 or Series 11 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1101,Sticker Card Pack Series 11,Contains a Series 11 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1200,Sticker Card Pack Series 11 & 12,Contains a Series 11 or Series 12 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1201,Sticker Card Pack Series 12,Contains a Series 12 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1300,Sticker Card Pack Series 12 & 13,Contains a Series 12 or Series 13 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1301,Sticker Card Pack Series 13,Contains a Series 13 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1400,Sticker Card Pack Series 13 & 14,Contains a Series 13 or Series 14 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1401,Sticker Card Pack Series 14,Contains a Series 14 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1500,Sticker Card Pack Series 14 & 15,Contains a Series 14 or Series 15 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1501,Sticker Card Pack Series 15,Contains a Series 15 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
1600,Sticker Card Pack Series 15 & 16,Contains a Series 15 or Series 16 Sticker Card.,2024-06-05 09:22:50.285171,2024-06-05 09:22:50.285171
