id,causality_type,cau_val1,cau_val2,cau_val3,created_at,updated_at
4,5,2,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
5,5,3,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
6,2,59,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
9,16,2,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
10,55,0,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
11,55,1,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
12,0,0,0,9,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
13,25,0,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
14,7,0,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
15,2,30,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
16,14,0,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
17,2,20,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
18,15,3,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
19,3,100,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
20,3,160,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
21,1,50,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
22,15,2,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
23,2,10,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
24,24,0,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
25,19,0,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
26,19,1,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
27,2,50,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
28,3,80,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
29,30,0,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
31,3,200,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
32,31,0,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
33,19,2,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
34,3,70,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
35,3,120,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
36,20,100,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
37,2,25,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
38,1,100,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
39,14,1,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
40,4,99,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
41,8,0,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
42,2,80,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
43,2,99,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
44,3,130,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
45,3,140,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
46,3,400,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
47,3,300,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
48,3,240,0,0,2024-07-30 10:30:26.764649,2024-07-30 10:30:26.764649
