id,sound_effect_set_id,sound_effect_id,start_offset_millisecond,created_at,updated_at
1,1,1018,1000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
2,1,1035,2000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
3,1,1035,3000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
4,1,1018,4000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
5,1,1035,5000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
6,1,1036,6000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
7,1,1036,6000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
8,1,1026,7000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
9,2,0,0,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
10,3,1018,1000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
11,3,1035,2000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
12,3,1035,3000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
13,3,1036,4000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
14,3,1035,5000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
15,3,1036,5500,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
16,3,1018,6000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
17,3,40,7000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
18,4,0,0,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
19,5,1035,500,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
20,5,9,2000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
21,5,3,3500,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
22,5,1018,4100,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
23,5,8,5000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
24,5,13,6800,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
25,6,1018,500,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
26,6,1041,2000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
27,6,19,3000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
28,6,20,3800,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
29,6,1060,5000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
30,7,9,200,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
31,8,1018,250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
32,8,1030,1250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
33,8,1035,2000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
34,8,15,3200,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
35,8,3,4800,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
36,9,1018,250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
37,9,1015,1100,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
38,9,1064,1400,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
39,9,31,1900,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
40,9,1070,3300,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
41,9,9,4200,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
42,9,8,5300,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
43,9,1068,6900,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
