id,special_set_id,type,efficacy_type,target_type,calc_option,turn,prob,causality_conditions,eff_value1,eff_value2,eff_value3
5,5,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
7,7,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0
11,11,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
12,12,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
17,17,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
21,21,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
31,31,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0
64,64,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
68,68,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
72,72,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
73,73,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
74,74,Special::ExtraEfficacySpecial,9,3,0,2,25,,0,0,0
75,75,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
88,88,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
91,91,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
96,96,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
99,99,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
100,100,Special::NormalEfficacySpecial,1,3,3,3,100,,20,0,0
103,103,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
104,104,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
106,106,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
108,108,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
109,109,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
111,111,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
112,112,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
114,114,Special::NormalEfficacySpecial,1,1,2,99,100,,67,0,0
118,118,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
119,119,Special::ExtraEfficacySpecial,9,3,0,2,70,,0,0,0
120,120,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
128,128,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
130,130,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
131,131,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
132,132,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
133,133,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
136,136,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
138,138,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
142,142,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
143,143,Special::ExtraEfficacySpecial,9,3,0,2,15,,0,0,0
148,148,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0
149,149,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
150,150,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
162,162,Special::NormalEfficacySpecial,1,3,3,3,100,,25,0,0
163,163,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
166,166,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
167,167,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
168,168,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
169,169,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
171,171,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
172,172,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
175,175,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
178,178,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
183,183,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
187,187,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
189,189,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
192,192,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
193,193,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
194,194,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
195,195,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0
199,199,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
201,201,Special::ExtraEfficacySpecial,9,3,0,2,70,,0,0,0
202,202,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0
204,204,Special::ExtraEfficacySpecial,9,3,0,2,25,,0,0,0
205,205,Special::NormalEfficacySpecial,1,2,2,1,100,,15,0,0
209,209,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
217,217,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
225,225,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
227,227,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
228,228,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
240,240,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
241,241,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
244,244,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
246,246,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
251,251,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
252,252,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
258,258,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
259,259,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
262,262,Special::NormalEfficacySpecial,1,2,2,1,100,,15,0,0
264,264,Special::ExtraEfficacySpecial,9,3,0,2,25,,0,0,0
265,265,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
266,266,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
268,268,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
269,269,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
272,272,Special::NormalEfficacySpecial,2,3,3,3,100,,30,0,0
273,273,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
275,275,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
276,276,Special::NormalEfficacySpecial,1,3,3,3,100,,30,0,0
278,278,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
279,279,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
280,280,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
281,281,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
282,282,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
284,284,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
285,285,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
286,286,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
288,288,Special::NormalEfficacySpecial,1,1,2,99,100,,67,0,0
301,301,Special::ExtraEfficacySpecial,9,3,0,2,15,,0,0,0
303,303,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
