id,standby_skill_set_id,finish_skill_set_id,created_at,updated_at
1,1,1,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
2,1,2,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
3,2,1,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
4,2,2,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
5,3,3,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
6,3,4,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
7,4,3,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
8,4,4,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
9,5,5,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
10,6,5,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
11,7,6,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
12,8,6,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
13,9,7,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
14,9,8,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
15,10,7,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
16,10,9,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
17,11,10,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
18,12,10,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
19,13,1,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
20,13,2,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
21,14,1,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
22,14,2,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
23,15,11,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
24,15,12,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
25,16,11,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
26,16,12,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
27,17,13,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
28,18,14,2024-07-30 10:30:30.785610,2024-07-30 10:30:30.785610
