id,bg_anime,chara_anime,bgm_id,start_at,end_at,created_at,updated_at
1,ef_006,ef_005,,2016-07-01 00:00:00,2016-07-31 16:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
2,ef_008,ef_007,,2015-07-01 00:00:00,2015-07-31 16:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
3,ef_010,ef_009,,2016-10-25 08:00:00,2016-11-01 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
4,ef_011,ef_009,,2016-10-20 06:30:00,2016-11-24 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
5,ef_012,ef_009,,2016-11-17 08:00:00,2016-12-05 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
6,ef_013,ef_009,,2016-12-05 08:00:00,2016-12-13 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
7,ef_017,ef_016,,2017-04-01 08:00:00,2016-04-02 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
8,ef_011,ef_009,,2017-05-08 06:00:00,2017-05-15 05:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
9,ef_012,ef_009,,2017-05-15 06:00:00,2017-05-24 05:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
10,ef_013,ef_009,,2017-05-24 06:00:00,2017-05-31 05:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
11,ef_004,Ef_002,,2017-05-31 06:00:00,2017-07-07 18:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
12,ef_019,ef_018,,2017-07-07 19:00:00,2017-07-28 13:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
13,ef_021,ef_020,,2017-08-04 06:00:00,2017-11-06 05:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
14,ef_023,ef_022,,2017-11-06 06:00:00,2018-04-01 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
15,ef_026,ef_027,,2018-04-01 08:00:00,2018-04-02 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
16,ef_023,ef_022,,2018-04-02 08:00:00,2018-07-06 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
17,ef_025,ef_024,,2018-07-07 00:00:00,2018-08-28 04:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
18,ef_031,ef_030,,2018-08-28 05:00:00,2018-09-13 04:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
19,ef_033,ef_032,,2018-09-13 05:00:00,2018-10-04 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
20,ef_025,ef_024,,2018-10-04 08:00:00,2018-11-11 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
21,ef_029,ef_028,,2018-11-12 00:00:00,2019-01-31 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
22,ef_035,ef_034,,2019-02-01 00:00:00,2019-04-01 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
23,ef_029,ef_028,,2019-10-03 08:00:00,2020-03-31 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
24,ef_039,ef_038,83.0,2019-04-01 08:00:00,2019-04-02 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
25,ef_035,ef_034,,2019-04-02 08:00:00,2019-05-07 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
26,ef_041,ef_040,,2019-05-08 00:00:00,2019-07-06 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
27,ef_037,ef_036,,2019-07-07 00:00:00,2019-08-12 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
28,ef_041,ef_040,,2019-08-13 00:00:00,2019-08-27 04:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
29,ef_043,ef_042,,2019-08-27 05:00:00,2019-09-13 04:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
30,ef_045,ef_044,,2019-09-13 05:00:00,2019-10-03 07:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
31,ef_049,ef_048,,2020-04-01 00:00:00,2020-04-01 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
32,ef_029,ef_028,,2020-04-02 00:00:00,2020-07-06 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
33,ef_047,ef_046,,2020-10-05 05:00:00,2020-12-03 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
34,ef_053,ef_052,,2020-08-28 05:00:00,2020-09-15 04:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
35,ef_055,ef_054,,2020-09-15 05:00:00,2020-10-05 04:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
36,ef_051,ef_050,,2020-12-04 00:00:00,2021-03-31 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
37,ef_059,ef_058,138.0,2021-04-01 00:00:00,2021-04-01 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
38,ef_051,ef_050,,2021-04-02 00:00:00,2021-07-06 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
39,ef_057,ef_056,,2021-07-07 00:00:00,2021-08-26 05:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
40,ef_063,ef_062,,2021-08-26 06:00:00,2021-11-04 06:29:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
41,ef_061,ef_060,,2021-11-04 06:30:00,2022-01-16 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
