id,battle_param_value,name,created_at,updated_at
1,1,Transformation,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
2,2,Special Fusion,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
3,3,Fusion,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
4,4,Assimilation,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
5,5,Absorption,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
6,6,Possession,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
7,7,Awakening,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
8,8,Boost,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
9,9,Evolution,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
10,10,Mutation,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
11,11,Exchange,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
12,12,Rejuvenation,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
13,13,Deactivation,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
14,14,Giant Ape Transformation,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
15,15,Phantom Majin's Seal Is Broken,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
16,16,Giant Form Transformation,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
17,17,Core's Appearance,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
18,18,Rage,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
19,19,Revival,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
20,20,Outfit Change,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
21,21,Body Change,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
22,22,Morale Boost,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
23,23,Standby Skill Activation,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
24,24,Finish Effect Activation,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
25,25,Omnipresence,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
26,26,the Character Awakes,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
27,27,Cloning,2024-07-30 10:29:41.622863,2024-07-30 10:29:41.622863
