id,phase_id,is_resume_point,number,created_at,updated_at
1,1,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
2,1,1,2,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
1000,1000,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
1010,1010,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
1020,1020,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
2000,2000,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
2010,2010,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
3000,3000,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
4000,4000,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
5000,5000,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
6000,6000,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
6010,6010,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
7000,7000,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
7010,7010,0,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
7020,7020,0,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
8000,8000,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
9000,9000,1,1,2024-07-30 10:30:18.423106,2024-07-30 10:30:18.423106
