id,z_battle_stage_id,level,act,eventkagi_num,z_battle_normal_reward_table_group_id,main_reward_id,created_at,updated_at
2,1,5,3,1,1,1,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
3,1,10,5,2,2,2,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
4,1,15,5,2,3,3,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
5,1,20,7,3,4,4,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
6,1,25,10,3,5,5,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
7,1,30,15,3,6,6,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
9,2,5,3,1,8,8,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
10,2,10,5,2,9,9,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
11,2,15,5,2,10,10,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
12,2,20,7,3,11,11,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
13,2,25,10,3,12,12,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
14,2,30,15,3,13,13,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
16,3,5,3,1,14,14,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
17,3,10,5,2,15,15,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
18,3,15,5,2,16,16,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
19,3,20,7,3,17,17,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
20,3,25,10,3,18,18,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
21,3,30,15,3,19,19,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
22,4,5,3,1,20,20,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
23,4,10,5,2,21,21,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
24,4,15,5,2,22,22,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
25,4,20,7,3,23,23,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
26,4,25,10,3,24,24,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
27,4,30,15,3,25,25,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
34,5,5,3,1,32,44,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
35,5,10,5,2,33,47,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
36,5,15,5,2,34,50,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
37,5,20,7,3,35,53,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
38,5,25,10,3,36,56,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
39,5,30,15,3,37,59,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
40,6,5,3,1,38,62,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
41,6,10,5,2,39,63,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
42,6,15,5,2,40,64,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
43,6,20,7,3,41,65,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
44,6,25,10,3,42,66,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
45,6,30,15,3,43,67,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
46,7,5,3,1,44,80,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
47,7,10,5,2,45,81,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
48,7,15,5,2,46,82,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
49,7,20,7,3,47,83,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
50,7,25,10,3,48,84,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
51,7,30,15,3,49,85,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
52,9,5,3,1,50,86,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
53,9,10,5,2,51,87,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
54,9,15,5,2,52,88,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
55,9,20,7,3,53,89,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
56,9,25,10,3,54,90,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
57,9,30,15,3,55,91,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
58,10,101,5,0,56,92,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
59,10,200,5,0,56,92,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
60,10,300,5,0,56,92,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
61,10,400,5,0,56,92,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
62,10,500,5,0,56,92,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
63,10,600,5,0,56,92,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
64,10,700,5,0,56,92,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
65,10,800,5,0,56,92,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
66,10,900,5,0,56,92,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
68,11,5,3,1,57,97,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
69,11,10,5,2,58,98,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
70,11,15,5,2,59,99,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
71,11,20,7,3,60,100,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
72,11,25,10,3,61,101,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
73,11,30,15,3,62,102,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
74,12,5,3,1,63,103,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
75,12,10,5,2,64,104,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
76,12,15,5,2,65,105,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
77,12,20,7,3,66,106,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
78,12,25,10,3,67,107,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
79,12,30,15,3,68,108,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
80,13,5,3,1,69,109,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
81,13,10,5,2,70,110,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
82,13,15,5,2,71,111,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
83,13,20,7,3,72,112,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
84,13,25,10,3,73,113,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
85,13,30,15,3,74,114,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
86,14,5,3,1,75,115,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
87,14,10,5,2,76,116,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
88,14,15,5,2,77,117,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
89,14,20,7,3,78,118,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
90,14,25,10,3,79,119,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
91,14,30,15,3,80,120,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
92,15,5,3,1,81,121,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
93,15,10,5,2,82,124,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
94,15,15,5,2,83,127,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
95,15,20,7,3,84,130,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
96,15,25,10,3,85,133,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
97,15,30,15,3,86,136,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
98,16,5,3,1,87,139,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
99,16,10,5,2,88,140,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
100,16,15,5,2,89,141,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
101,16,20,7,3,90,142,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
102,16,25,10,3,91,143,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
103,16,30,15,3,92,144,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
104,17,5,3,1,93,145,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
105,17,10,5,2,94,146,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
106,17,15,5,2,95,147,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
107,17,20,7,3,96,148,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
108,17,25,10,3,97,149,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
109,17,30,15,3,98,150,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
110,18,5,3,1,99,151,2024-06-26 10:52:42.706748,2024-06-26 10:52:42.706748
111,18,10,5,2,100,152,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
112,18,15,5,2,101,153,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
113,18,20,7,3,102,154,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
114,18,25,10,3,103,155,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
115,18,30,15,3,104,156,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
116,19,101,5,0,105,157,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
117,19,200,5,0,105,157,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
118,19,300,5,0,105,157,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
119,19,400,5,0,105,157,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
120,19,500,5,0,105,157,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
121,19,600,5,0,105,157,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
122,19,700,5,0,105,157,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
123,19,800,5,0,105,157,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
124,19,900,5,0,105,157,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
125,21,5,3,1,106,162,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
126,21,10,5,2,107,164,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
127,21,15,5,2,108,166,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
128,21,20,7,3,109,168,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
129,21,25,10,3,110,170,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
130,21,30,15,3,111,172,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
131,20,5,3,1,112,174,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
132,20,10,5,2,113,175,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
133,20,15,5,2,114,176,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
134,20,20,7,3,115,177,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
135,20,25,10,3,116,178,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
136,20,30,15,3,117,179,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
137,22,5,3,1,118,180,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
138,22,10,5,2,119,181,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
139,22,15,5,2,120,182,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
140,22,20,7,3,121,183,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
141,22,25,10,3,122,184,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
142,22,30,15,3,123,185,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
143,23,5,3,1,124,186,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
144,23,10,5,2,125,187,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
145,23,15,5,2,126,188,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
146,23,20,7,3,127,189,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
147,23,25,10,3,128,190,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
148,23,30,15,3,129,191,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
149,24,5,3,1,130,192,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
150,24,10,5,2,131,193,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
151,24,15,5,2,132,194,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
152,24,20,7,3,133,195,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
153,24,25,10,3,134,196,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
154,24,30,15,3,135,197,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
155,25,5,3,1,136,198,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
156,25,10,5,2,137,199,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
157,25,15,5,2,138,200,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
158,25,20,7,3,139,201,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
159,25,25,10,3,140,202,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
160,25,30,15,3,141,203,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
161,26,5,3,1,142,204,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
162,26,10,5,2,143,205,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
163,26,15,5,2,144,206,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
164,26,20,7,3,145,207,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
165,26,25,10,3,146,208,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
166,26,30,15,3,147,209,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
167,27,5,3,1,148,215,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
168,27,10,5,2,149,222,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
169,27,15,5,2,150,229,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
170,27,20,7,3,151,236,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
171,27,25,10,3,152,243,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
172,27,30,15,3,153,250,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
173,28,5,3,1,154,252,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
174,28,10,5,2,155,253,2024-06-26 10:52:42.721125,2024-06-26 10:52:42.721125
