id,escalation_type,level,enemy_skill_id,created_at,updated_at
1,7,1,1000001,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
2,7,3,1000002,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
3,7,5,1000003,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
4,7,10,1000004,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
5,7,15,1000005,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
6,7,20,1000006,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
7,7,25,1000007,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
8,7,30,1000008,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
9,7,4,1000009,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
10,7,8,1000010,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
11,7,13,1000011,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
12,7,20,1000012,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
13,7,1,1000013,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
14,7,15,1000014,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
15,7,25,1000015,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
16,7,1,1000016,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
17,7,10,1000017,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
18,7,15,1000018,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
19,7,20,1000019,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
20,7,30,1000020,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
21,7,3,1000021,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
22,7,15,1000022,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
23,7,5,1000023,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
24,7,20,1000024,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
25,14,1,1000002,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
26,14,3,1000003,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
27,14,5,1000004,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
28,14,10,1000005,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
29,14,15,1000006,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
30,14,20,1000007,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
31,14,25,1000025,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
32,14,30,1000008,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
33,14,4,1000026,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
34,14,8,1000027,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
35,14,13,1000028,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
36,14,20,1000029,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
37,14,1,1000030,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
38,14,15,1000031,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
39,14,25,1000032,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
40,14,1,1000033,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
41,14,10,1000034,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
42,14,15,1000035,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
43,14,20,1000036,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
44,14,30,1000037,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
45,14,3,1000021,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
46,14,15,1000022,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
47,14,5,1000023,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
48,14,20,1000024,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
49,21,1,1000038,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
50,21,6,1000039,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
51,21,11,1000040,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
52,21,16,1000001,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
53,21,21,1000002,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
54,21,31,1000003,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
55,21,40,1000004,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
56,21,50,1000005,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
57,21,60,1000006,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
58,21,70,1000007,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
59,21,77,1000025,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
60,21,8,1000041,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
61,21,23,1000042,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
62,21,45,1000043,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
63,21,60,1000044,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
64,21,1,1000045,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
65,21,11,1000046,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
66,21,21,1000047,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
67,21,31,1000048,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
68,21,50,1000049,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
69,21,1,1000050,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
70,21,6,1000051,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
71,21,16,1000052,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
72,21,21,1000053,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
73,21,31,1000054,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
74,21,40,1000055,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
75,21,50,1000056,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
76,21,78,1000057,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
77,21,13,1000021,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
78,21,25,1000022,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
79,21,7,1000023,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
80,21,18,1000024,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
81,28,1,1000001,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
82,28,3,1000002,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
83,28,5,1000003,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
84,28,10,1000004,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
85,28,15,1000005,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
86,28,20,1000006,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
87,28,25,1000007,2024-06-18 10:28:41.599841,2024-06-18 10:28:41.599841
