id,escalation_type,level,escalation_value
1,1,1,100
2,1,7,200
3,1,15,333
4,1,18,400
5,1,28,467
6,1,30,500
7,1,31,503
8,2,1,100
9,2,28,158
10,2,30,166
11,2,31,168
12,3,1,100
13,3,28,4000
14,3,30,4000
15,3,31,4133
16,4,1,100
17,4,17,100
18,4,18,110
19,4,25,110
20,4,26,130
21,4,30,130
23,2,2,100
24,3,3,100
25,8,1,100
26,8,7,200
27,8,15,333
28,8,18,400
29,8,28,467
30,8,30,493
31,8,31,497
32,9,1,100
33,9,2,100
34,9,28,156
35,9,30,163
36,9,31,165
37,10,1,100
38,10,3,100
39,10,28,1600
40,10,30,1600
41,10,31,1640
42,11,1,100
43,11,17,100
44,11,18,110
45,11,25,110
46,11,26,125
47,11,30,125
48,15,1,100
49,15,5,129
50,15,6,171
51,15,10,200
52,15,11,214
53,15,15,243
54,15,16,286
55,15,20,314
56,15,21,357
57,15,30,429
58,15,33,571
59,15,40,786
60,15,77,1029
61,15,78,1036
62,16,1,100
63,16,5,104
64,16,6,108
65,16,10,116
66,16,11,120
67,16,15,128
68,16,16,136
69,16,20,144
70,16,21,148
71,16,30,160
72,16,77,248
73,16,78,251
74,17,1,100
75,17,5,160
76,17,6,200
77,17,10,280
78,17,11,320
79,17,15,360
80,17,16,480
81,17,20,560
82,17,21,600
83,17,30,800
84,17,77,2200
85,17,78,2320
86,18,1,100
87,18,16,110
88,18,45,120
89,18,15,100
90,18,44,110
91,18,77,120
92,22,1,100
93,22,7,196
94,22,15,327
95,22,18,392
96,22,28,464
97,22,30,493
98,22,31,497
99,23,1,100
100,23,2,100
101,23,28,132
102,23,30,137
103,23,31,139
104,24,1,100
105,24,3,100
106,24,28,566
107,24,30,566
108,24,31,604
109,25,1,100
110,25,17,100
111,25,18,115
112,25,25,115
113,25,26,125
114,25,30,125
146,36,1,100
147,36,5,200
148,36,6,233
149,36,10,300
150,36,11,333
151,36,15,353
152,36,16,367
153,36,20,387
154,36,21,400
155,36,25,420
156,36,26,433
157,36,30,490
158,36,31,493
159,37,1,100
160,37,2,100
161,37,30,151
162,37,31,153
163,38,1,100
164,38,3,100
165,38,30,700
166,38,31,740
167,39,1,100
168,39,5,100
169,39,6,105
170,39,10,105
171,39,11,115
172,39,15,115
173,39,16,120
174,39,20,120
175,39,21,130
176,39,30,130
177,43,1,100
178,43,7,188
179,43,15,306
180,43,18,365
181,43,28,426
182,43,30,453
183,43,31,456
184,44,1,100
185,44,2,100
186,44,28,154
187,44,30,160
188,44,31,162
189,45,1,100
190,45,3,100
191,45,28,1250
192,45,30,1250
193,45,31,1300
194,46,1,100
195,46,17,100
196,46,18,115
197,46,25,115
198,46,26,125
199,46,30,125
200,50,1,100
201,50,7,183
202,50,15,294
203,50,18,350
204,50,28,389
205,50,30,421
206,50,31,424
207,51,1,100
208,51,2,100
209,51,28,156
210,51,30,164
211,51,31,166
212,52,1,100
213,52,3,100
214,52,28,1444
215,52,30,1444
216,52,31,1489
217,53,1,100
218,53,17,100
219,53,18,115
220,53,25,115
221,53,26,125
222,53,30,125
223,57,1,100
224,57,20,367
225,57,21,433
226,57,30,600
227,57,31,603
228,58,1,100
229,58,20,135
230,58,21,176
231,58,30,203
232,58,31,205
233,59,1,100
234,59,20,3000
235,59,21,6000
236,59,30,8100
237,59,31,8300
238,60,1,100
239,60,15,110
240,60,21,125
241,64,1,100
242,64,7,225
243,64,15,292
244,64,18,375
245,64,30,433
246,64,31,442
247,65,1,100
248,65,2,100
249,65,30,137
250,65,31,140
251,66,1,100
252,66,3,100
253,66,30,1000
254,66,31,1100
255,67,1,100
256,67,17,100
257,67,18,110
258,67,25,110
259,67,26,120
260,67,30,120
261,60,14,100
262,60,20,110
263,60,30,125
310,78,1,100
311,78,10,129
312,78,11,157
313,78,20,186
314,78,21,214
315,78,30,243
316,78,31,286
317,78,40,357
318,78,41,429
319,78,50,571
320,78,100,643
321,78,999,786
322,79,1,100
323,79,10,116
324,79,11,120
325,79,20,136
326,79,21,140
327,79,30,156
328,79,31,160
329,79,40,176
330,79,41,180
331,79,50,200
332,79,100,232
333,79,999,264
334,80,1,100
335,80,10,100
336,80,11,200
337,80,20,400
338,80,21,600
339,80,30,800
340,80,31,1000
341,80,40,1200
342,80,41,1400
343,80,50,1600
344,80,100,1800
345,80,999,2200
346,81,1,100
347,81,10,100
348,81,11,105
349,81,20,105
350,81,21,110
351,81,30,110
352,81,31,115
353,81,40,115
354,81,41,120
355,81,999,120
356,85,1,100
357,85,7,179
358,85,15,284
359,85,18,337
360,85,28,384
361,85,30,408
362,85,31,411
363,86,1,100
364,86,2,100
365,86,28,156
366,86,30,163
367,86,31,165
368,87,1,100
369,87,3,100
370,87,28,1222
371,87,30,1222
372,87,31,1267
373,88,1,100
374,88,17,100
375,88,18,115
376,88,25,115
377,88,26,125
378,88,30,125
379,92,1,100
