id,z_battle_stage_id,level,z_battle_first_reward_set_id,main_reward_id
1,1,1,1,2
2,1,2,2,6
3,1,3,3,9
4,1,4,4,12
5,1,5,5,16
6,1,6,6,18
7,1,7,7,22
8,1,8,8,25
9,1,9,9,28
10,1,10,10,34
11,1,11,11,36
12,1,12,12,40
13,1,13,13,43
14,1,14,14,46
15,1,15,15,50
16,1,16,16,53
17,1,17,17,56
18,1,18,18,59
19,1,19,19,62
20,1,20,20,68
21,1,21,21,70
22,1,22,22,74
23,1,23,23,77
24,1,24,24,80
25,1,25,25,84
26,1,26,26,86
27,1,27,27,90
28,1,28,28,93
29,1,29,29,96
30,1,30,30,102
31,1,31,31,103
32,2,1,32,105
33,2,2,33,109
34,2,3,34,112
35,2,4,35,115
36,2,5,36,119
37,2,6,37,121
38,2,7,38,125
39,2,8,39,128
40,2,9,40,131
41,2,10,41,137
42,2,11,42,139
43,2,12,43,143
44,2,13,44,146
45,2,14,45,149
46,2,15,46,153
47,2,16,47,156
48,2,17,48,159
49,2,18,49,162
50,2,19,50,165
51,2,20,51,171
52,2,21,52,173
53,2,22,53,177
54,2,23,54,180
55,2,24,55,183
56,2,25,56,187
57,2,26,57,189
58,2,27,58,193
59,2,28,59,196
60,2,29,60,199
61,2,30,61,205
62,2,31,62,206
63,3,1,63,207
64,3,2,64,210
65,3,3,65,212
66,3,4,66,214
67,3,5,67,217
68,3,6,68,219
69,3,7,69,221
70,3,8,70,223
71,3,9,71,225
72,3,10,72,228
73,3,11,73,229
74,3,12,74,232
75,3,13,75,234
76,3,14,76,236
77,3,15,77,239
78,3,16,78,241
79,3,17,79,243
80,3,18,80,245
81,3,19,81,247
82,3,20,82,250
83,3,21,83,251
84,3,22,84,254
85,3,23,85,256
86,3,24,86,258
87,3,25,87,261
88,3,26,88,262
89,3,27,89,265
90,3,28,90,267
91,3,29,91,269
92,3,30,92,272
93,3,31,93,273
94,3,32,94,274
95,3,33,95,275
96,3,34,96,276
97,3,35,97,277
98,3,36,98,278
99,3,37,99,279
100,3,38,100,280
101,3,39,101,281
102,3,40,102,283
103,3,41,103,284
104,3,42,104,285
105,3,43,105,286
106,3,44,106,287
107,3,45,107,288
108,3,46,108,289
109,3,47,109,290
110,3,48,110,291
111,3,49,111,292
112,3,50,112,294
113,3,51,113,295
114,3,52,114,296
115,3,53,115,297
116,3,54,116,298
117,3,55,117,299
118,3,56,118,300
119,3,57,119,301
120,3,58,120,302
121,3,59,121,303
122,3,60,122,305
123,3,61,123,306
124,3,62,124,307
125,3,63,125,308
126,3,64,126,309
127,3,65,127,310
128,3,66,128,311
129,3,67,129,312
130,3,68,130,313
131,3,69,131,314
132,3,70,132,316
133,3,71,133,317
134,3,72,134,318
135,3,73,135,319
136,3,74,136,320
137,3,75,137,321
138,3,76,138,322
139,3,77,139,352
140,3,78,140,353
141,4,1,141,355
142,4,2,142,359
143,4,3,143,362
144,4,4,144,365
145,4,5,145,369
146,4,6,146,371
147,4,7,147,375
148,4,8,148,378
149,4,9,149,381
150,4,10,150,387
151,4,11,151,389
152,4,12,152,393
153,4,13,153,396
154,4,14,154,399
155,4,15,155,403
156,4,16,156,406
157,4,17,157,409
158,4,18,158,412
159,4,19,159,415
160,4,20,160,421
161,4,21,161,423
162,4,22,162,427
163,4,23,163,430
164,4,24,164,433
165,4,25,165,437
166,4,26,166,439
167,4,27,167,443
168,4,28,168,446
169,4,29,169,449
170,4,30,170,455
171,4,31,171,456
203,5,1,203,623
204,5,2,204,629
205,5,3,205,634
206,5,4,206,639
207,5,5,207,645
208,5,6,208,650
209,5,7,209,655
210,5,8,210,660
211,5,9,211,665
212,5,10,212,673
213,5,11,213,676
214,5,12,214,683
215,5,13,215,688
216,5,14,216,693
217,5,15,217,699
218,5,16,218,704
219,5,17,219,709
220,5,18,220,714
221,5,19,221,719
222,5,20,222,727
223,5,21,223,729
224,5,22,224,737
225,5,23,225,742
226,5,24,226,747
227,5,25,227,753
228,5,26,228,755
229,5,27,229,763
230,5,28,230,768
231,5,29,231,773
232,5,30,232,781
233,5,31,233,782
234,6,1,234,784
235,6,2,235,788
236,6,3,236,791
237,6,4,237,794
238,6,5,238,798
239,6,6,239,800
240,6,7,240,804
241,6,8,241,807
242,6,9,242,810
243,6,10,243,816
244,6,11,244,818
245,6,12,245,822
246,6,13,246,825
247,6,14,247,828
248,6,15,248,832
249,6,16,249,835
250,6,17,250,838
251,6,18,251,841
252,6,19,252,844
253,6,20,253,850
254,6,21,254,852
255,6,22,255,856
256,6,23,256,859
257,6,24,257,862
258,6,25,258,866
259,6,26,259,868
260,6,27,260,872
261,6,28,261,875
262,6,29,262,878
263,6,30,263,884
264,6,31,264,885
265,7,1,265,887
266,7,2,266,891
267,7,3,267,894
268,7,4,268,897
269,7,5,269,901
270,7,6,270,903
271,7,7,271,907
272,7,8,272,910
273,7,9,273,913
274,7,10,274,919
275,7,11,275,921
276,7,12,276,925
277,7,13,277,928
278,7,14,278,931
279,7,15,279,935
280,7,16,280,938
281,7,17,281,941
282,7,18,282,944
283,7,19,283,947
284,7,20,284,953
285,7,21,285,955
286,7,22,286,959
287,7,23,287,962
288,7,24,288,965
289,7,25,289,969
290,7,26,290,971
291,7,27,291,975
292,7,28,292,978
293,7,29,293,981
294,7,30,294,987
295,7,31,295,988
296,8,1,296,990
297,8,31,297,1005
298,9,1,298,1007
299,9,2,299,1011
300,9,3,300,1014
301,9,4,301,1017
302,9,5,302,1021
303,9,6,303,1023
304,9,7,304,1027
305,9,8,305,1030
306,9,9,306,1033
307,9,10,307,1037
308,9,11,308,1039
309,9,12,309,1043
310,9,13,310,1046
311,9,14,311,1049
312,9,15,312,1053
313,9,16,313,1056
314,9,17,314,1059
315,9,18,315,1062
316,9,19,316,1065
317,9,20,317,1069
318,9,21,318,1071
319,9,22,319,1075
320,9,23,320,1078
321,9,24,321,1081
322,9,25,322,1085
323,9,26,323,1087
324,9,27,324,1091
325,9,28,325,1094
326,9,29,326,1097
327,9,30,327,1101
328,9,31,328,1106
