id,z_battle_normal_reward_table_group_id,created_at,updated_at
1,1,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
2,2,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
3,3,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
4,4,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
5,5,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
6,6,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
8,8,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
9,9,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
10,10,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
11,11,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
12,12,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
13,13,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
14,14,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
15,15,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
16,16,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
17,17,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
18,18,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
19,19,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
20,20,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
21,21,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
22,22,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
23,23,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
24,24,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
25,25,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
32,32,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
33,33,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
34,34,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
35,35,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
36,36,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
37,37,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
38,38,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
39,39,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
40,40,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
41,41,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
42,42,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
43,43,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
44,32,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
45,32,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
46,33,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
47,33,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
48,34,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
49,34,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
50,35,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
51,35,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
52,36,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
53,36,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
54,37,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
55,37,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
56,44,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
57,45,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
58,46,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
59,47,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
60,48,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
61,49,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
62,50,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
63,51,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
64,52,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
65,53,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
66,54,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
67,55,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
68,56,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
69,56,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
70,56,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
71,56,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
72,56,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
73,57,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
74,58,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
75,59,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
76,60,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
77,61,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
78,62,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
79,63,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
80,64,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
81,65,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
82,66,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
83,67,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
84,68,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
85,69,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
86,70,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
87,71,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
88,72,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
89,73,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
90,74,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
91,75,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
92,76,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
93,77,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
94,78,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
95,79,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
96,80,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
97,81,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
98,81,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
99,81,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
100,82,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
101,82,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
102,82,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
103,83,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
104,83,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
105,83,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
106,84,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
107,84,2024-07-16 08:41:59.575343,2024-07-16 08:41:59.575343
108,84,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
109,85,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
110,85,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
111,85,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
112,86,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
113,86,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
114,86,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
115,87,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
116,88,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
117,89,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
118,90,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
119,91,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
120,92,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
121,93,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
122,94,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
123,95,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
124,96,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
125,97,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
126,98,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
127,99,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
128,100,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
129,101,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
130,102,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
131,103,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
132,104,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
133,105,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
134,105,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
135,105,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
136,105,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
137,105,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
138,106,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
139,106,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
140,107,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
141,107,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
142,108,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
143,108,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
144,109,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
145,109,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
146,110,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
147,110,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
148,111,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
149,111,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
150,112,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
151,113,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
152,114,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
153,115,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
154,116,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
155,117,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
156,118,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
157,119,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
158,120,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
159,121,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
160,122,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
161,123,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
162,124,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
163,125,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
164,126,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
165,127,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
166,128,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
167,129,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
168,130,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
169,131,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
170,132,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
171,133,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
172,134,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
173,135,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
174,136,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
175,137,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
176,138,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
177,139,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
178,140,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
179,141,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
180,142,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
181,143,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
182,144,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
183,145,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
184,146,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
185,147,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
186,148,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
187,148,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
188,148,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
189,148,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
190,148,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
191,148,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
192,148,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
193,149,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
194,149,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
195,149,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
196,149,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
197,149,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
198,149,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
199,149,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
200,150,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
201,150,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
202,150,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
203,150,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
204,150,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
205,150,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
206,150,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
207,151,2024-07-16 08:41:59.580323,2024-07-16 08:41:59.580323
208,151,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
209,151,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
210,151,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
211,151,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
212,151,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
213,151,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
214,152,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
215,152,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
216,152,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
217,152,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
218,152,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
219,152,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
220,152,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
221,153,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
222,153,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
223,153,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
224,153,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
225,153,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
226,153,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
227,153,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
228,154,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
229,155,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
230,156,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
231,157,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
232,158,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
233,159,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
234,160,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
235,161,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
236,162,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
237,163,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
238,164,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
239,165,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
240,166,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
241,166,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
242,166,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
243,166,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
244,166,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
245,167,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
246,168,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
247,169,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
248,170,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
249,171,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
250,172,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
251,173,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
252,174,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
253,175,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
254,176,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
255,177,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
256,178,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
263,185,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
264,186,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
265,187,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
266,188,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
267,189,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
268,190,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
269,191,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
270,192,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
271,193,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
272,194,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
273,195,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
274,196,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
275,197,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
276,197,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
277,198,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
278,198,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
279,199,2024-07-16 08:41:59.585599,2024-07-16 08:41:59.585599
