id,active_skill_set_id,target_type,sub_target_type_set_id,calc_option,efficacy_type,eff_val1,eff_val2,eff_val3,efficacy_values,thumb_effect_id,effect_se_id,created_at,updated_at
12,13,2,0,2,1,33,0,0,{},5011.0,44.0,2024-07-30 02:05:01,2024-07-30 02:05:01
13,18,1,0,0,5,24,0,0,{},5014.0,44.0,2024-07-30 02:05:01,2024-07-30 02:05:01
14,18,1,0,2,1,48,0,0,{},5011.0,44.0,2024-07-30 02:05:01,2024-07-30 02:05:01
15,19,1,0,0,103,4017100,1,1558,{},1945.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
16,20,1,0,0,103,4017101,1,1559,{},1945.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
17,21,1,0,0,103,4017140,1,1562,{},1944.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
18,22,1,0,0,103,4017141,1,1563,{},1944.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
19,23,1,0,0,79,4017200,619,620,{},1948.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
20,24,1,0,0,79,4017201,619,620,{},1948.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
21,25,3,0,3,1,30,0,0,{},5012.0,45.0,2024-07-30 02:05:01,2024-07-30 02:05:01
22,26,3,0,3,2,80,0,0,{},5012.0,45.0,2024-07-30 02:05:01,2024-07-30 02:05:01
23,27,1,0,0,103,4017640,1,1568,{},3090.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
24,28,1,0,0,103,4017641,1,1569,{},3090.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
25,29,1,0,0,103,4017500,1,1572,{},3079.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
26,30,1,0,0,103,4017501,1,1573,{},3079.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
27,31,1,0,0,103,4017670,1,1574,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
28,32,1,0,0,103,4017671,1,1575,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
29,33,1,0,0,103,4017750,1,1576,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
30,34,1,0,0,103,4017751,1,1577,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
31,35,1,0,0,103,4018040,1,1580,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
32,36,1,0,0,103,4018041,1,1581,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
33,37,1,0,0,103,4018200,1,1584,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
34,38,1,0,0,103,4018201,1,1585,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
35,39,2,0,2,1,30,0,0,{},5011.0,44.0,2024-07-30 02:05:01,2024-07-30 02:05:01
36,42,1,0,2,90,100,0,0,{},5011.0,44.0,2024-07-30 02:05:01,2024-07-30 02:05:01
37,42,1,0,3,2,50,0,0,{},5012.0,45.0,2024-07-30 02:05:01,2024-07-30 02:05:01
38,42,3,0,2,9,0,0,0,{},5015.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
39,43,2,0,0,22,0,0,0,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
40,43,2,0,2,1,22,0,0,{},5011.0,44.0,2024-07-30 02:05:01,2024-07-30 02:05:01
41,44,1,0,0,79,4018890,625,626,{},3108.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
42,45,1,0,0,79,4018891,625,626,{},3108.0,,2024-07-30 02:05:01,2024-07-30 02:05:01
43,46,1,0,0,103,4019150,1,1598,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
44,47,1,0,0,103,4019151,1,1599,{},,,2024-07-30 02:05:01,2024-07-30 02:05:01
45,48,1,0,2,1,50,0,0,{},5011.0,44.0,2024-07-30 02:05:01,2024-07-30 02:05:01
