id,area_id,type,conditions,comment
1,140,AreaCondition::Potential,"{""is_releaseable"": true}",月曜：潜在能力イベ
2,141,AreaCondition::Potential,"{""is_releaseable"": true}",火曜：潜在能力イベ
3,142,AreaCondition::Potential,"{""is_releaseable"": true}",水曜：潜在能力イベ
4,143,AreaCondition::Potential,"{""is_releaseable"": true}",木曜：潜在能力イベ
5,144,AreaCondition::Potential,"{""is_releaseable"": true}",金曜：潜在能力イベ
6,146,AreaCondition::Potential,"{""is_releaseable"": true}",全曜日：潜在能力イベ
7,149,AreaCondition::Potential,"{""is_releaseable"": true}",全曜日：潜在能力イベ
8,225,AreaCondition::Potential,"{""is_releaseable"": true}",月曜：潜在能力イベ
9,226,AreaCondition::Potential,"{""is_releaseable"": true}",火曜：潜在能力イベ
10,227,AreaCondition::Potential,"{""is_releaseable"": true}",水曜：潜在能力イベ
11,228,AreaCondition::Potential,"{""is_releaseable"": true}",木曜：潜在能力イベ
12,229,AreaCondition::Potential,"{""is_releaseable"": true}",金曜：潜在能力イベ
13,231,AreaCondition::Potential,"{""is_releaseable"": true}",全曜日：潜在能力イベ
