id,budokai_box_ranking_reward_range_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
18,9,1009210,Card,2,0,【大魔王を継ぐ者】ピッコロ × 2,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
19,9,40001,AwakeningItem,40,0,【覚醒メダル】達人の証 × 40,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
20,9,2,SpecialItem,3,0,【金】少年編ガシャチケット ×3,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
21,9,11,Point::Stone,1,0, 龍石1個,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
22,9,1002630,Card,1,765122,【100万ゼニー】サタン像(金) × 1 など,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
23,9,6,SupportItem,5,0, 仙豆 × 5,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
24,10,1009210,Card,1,0,【大魔王を継ぐ者】ピッコロ × 1,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
25,10,40001,AwakeningItem,40,0,【覚醒メダル】達人の証 × 40,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
26,10,2,SpecialItem,2,0,【金】少年編ガシャチケット ×2,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
27,10,11,Point::Stone,1,0, 龍石1個,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
28,10,1002630,Card,1,765122,【100万ゼニー】サタン像(金) × 1 など,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
29,10,6,SupportItem,5,0, 仙豆 × 5,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
30,11,1009210,Card,1,0,【大魔王を継ぐ者】ピッコロ × 1,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
31,11,40001,AwakeningItem,30,0,【覚醒メダル】達人の証 × 30,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
32,11,2,SpecialItem,1,0,【金】少年編ガシャチケット ×1,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
33,11,11,Point::Stone,1,0, 龍石1個,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
34,11,1002630,Card,1,765122,【100万ゼニー】サタン像(金) × 1 など,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
35,11,6,SupportItem,3,0, 仙豆 × 3,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
36,12,1009210,Card,1,0,【大魔王を継ぐ者】ピッコロ × 1,ローカルランキング11-20位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
37,12,40001,AwakeningItem,20,0,【覚醒メダル】達人の証 × 20,ローカルランキング11-20位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
38,12,1,SpecialItem,2,0,【銀】少年編ガシャチケット ×2,ローカルランキング11-20位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
39,12,6,SupportItem,1,0, 仙豆 × 1,ローカルランキング11-20位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
40,12,1002640,Card,1,93879,【50万ゼニー】サタン像(銀) × 1,ローカルランキング11-20位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
41,13,1009210,Card,1,0,【大魔王を継ぐ者】ピッコロ × 1,ローカルランキング21-50位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
42,13,40001,AwakeningItem,10,0,【覚醒メダル】達人の証 × 10,ローカルランキング21-50位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
43,13,1,SpecialItem,1,0,【銀】少年編ガシャチケット ×1,ローカルランキング21-50位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
44,13,1002650,Card,1,11333,【25万ゼニー】サタン像 (銅) × 1,ローカルランキング21-50位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
45,14,1009210,Card,1,0,【大魔王を継ぐ者】ピッコロ × 1,ローカルランキング51-100位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
46,14,40001,AwakeningItem,5,0,【覚醒メダル】達人の証 × 5,ローカルランキング51-100位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
47,14,1,SpecialItem,1,0,【銀】少年編ガシャチケット ×1,ローカルランキング51-100位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
48,15,1009210,Card,2,0,【大魔王を継ぐ者】ピッコロ × 2,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
49,15,40001,AwakeningItem,40,0,【覚醒メダル】達人の証 × 40,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
50,15,2,SpecialItem,3,0,【金】少年編ガシャチケット ×3,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
51,15,11,Point::Stone,1,0, 龍石1個,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
52,15,1002630,Card,1,765122,【100万ゼニー】サタン像(金) × 1 など,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
53,15,6,SupportItem,5,0, 仙豆 × 5,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
54,16,1009210,Card,1,0,【大魔王を継ぐ者】ピッコロ × 1,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
55,16,40001,AwakeningItem,40,0,【覚醒メダル】達人の証 × 40,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
56,16,2,SpecialItem,2,0,【金】少年編ガシャチケット ×2,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
57,16,11,Point::Stone,1,0, 龍石1個,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
58,16,1002630,Card,1,765122,【100万ゼニー】サタン像(金) × 1 など,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
59,16,6,SupportItem,5,0, 仙豆 × 5,ローカルランキング2-3位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
60,17,1009210,Card,1,0,【大魔王を継ぐ者】ピッコロ × 1,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
61,17,40001,AwakeningItem,30,0,【覚醒メダル】達人の証 × 30,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
62,17,2,SpecialItem,1,0,【金】少年編ガシャチケット ×1,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
63,17,11,Point::Stone,1,0, 龍石1個,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
64,17,1002630,Card,1,765122,【100万ゼニー】サタン像(金) × 1 など,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
65,17,6,SupportItem,3,0, 仙豆 × 3,ローカルランキング4-10位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
66,18,1009210,Card,1,0,【大魔王を継ぐ者】ピッコロ × 1,ローカルランキング11-20位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
67,18,40001,AwakeningItem,20,0,【覚醒メダル】達人の証 × 20,ローカルランキング11-20位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
68,18,1,SpecialItem,2,0,【銀】少年編ガシャチケット ×2,ローカルランキング11-20位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
69,18,6,SupportItem,1,0, 仙豆 × 1,ローカルランキング11-20位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
70,18,1002640,Card,1,93879,【50万ゼニー】サタン像(銀) × 1,ローカルランキング11-20位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
71,19,1009210,Card,1,0,【大魔王を継ぐ者】ピッコロ × 1,ローカルランキング21-50位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
72,19,40001,AwakeningItem,10,0,【覚醒メダル】達人の証 × 10,ローカルランキング21-50位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
73,19,1,SpecialItem,1,0,【銀】少年編ガシャチケット ×1,ローカルランキング21-50位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
74,19,1002650,Card,1,11333,【25万ゼニー】サタン像 (銅) × 1,ローカルランキング21-50位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
75,20,1009210,Card,1,0,【大魔王を継ぐ者】ピッコロ × 1,ローカルランキング51-100位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
76,20,40001,AwakeningItem,5,0,【覚醒メダル】達人の証 × 5,ローカルランキング51-100位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
77,20,1,SpecialItem,1,0,【銀】少年編ガシャチケット ×1,ローカルランキング51-100位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
1701,171001,1009210,Card,2,0,【大魔王を継ぐ者】ピッコロ × 2,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
1702,171001,40001,AwakeningItem,80,0,【覚醒メダル】達人の証 × 80,ローカルランキング1位の報酬です,2024-03-22 02:20:06,2024-03-22 02:20:06
