id,budokai_id,name,league
1,1,Bリーグ,0
2,1,Aリーグ,1
3,1,Sリーグ,2
4,1,Gリーグ,3
5,2,Bリーグ,0
6,2,Aリーグ,1
7,2,Sリーグ,2
8,2,Gリーグ,3
9,3,Bリーグ,0
10,3,Aリーグ,1
11,3,Sリーグ,2
12,3,Gリーグ,3
13,4,Bリーグ,0
14,4,Aリーグ,1
15,4,Sリーグ,2
16,4,Gリーグ,3
17,5,Bリーグ,0
18,5,Aリーグ,1
19,5,Sリーグ,2
20,5,Gリーグ,3
21,6,Bリーグ,0
22,6,Aリーグ,1
23,6,Sリーグ,2
24,6,Gリーグ,3
25,7,Bリーグ,0
26,7,Aリーグ,1
27,7,Sリーグ,2
28,7,Gリーグ,3
29,8,Bリーグ,0
30,8,Aリーグ,1
31,8,Sリーグ,2
32,8,Gリーグ,3
33,9,Bリーグ,0
34,9,Aリーグ,1
35,9,Sリーグ,2
36,9,Gリーグ,3
37,10,Bリーグ,0
38,10,Aリーグ,1
39,10,Sリーグ,2
40,10,Gリーグ,3
41,11,Bリーグ,0
42,11,Aリーグ,1
43,11,Sリーグ,2
44,11,Gリーグ,3
45,12,Bリーグ,0
46,12,Aリーグ,1
47,12,Sリーグ,2
48,12,Gリーグ,3
49,13,Bリーグ,0
50,13,Aリーグ,1
51,13,Sリーグ,2
52,13,Gリーグ,3
53,14,Bリーグ,0
54,14,Aリーグ,1
55,14,Sリーグ,2
56,14,Gリーグ,3
57,15,Bリーグ,0
58,15,Aリーグ,1
59,15,Sリーグ,2
60,15,Gリーグ,3
61,16,Bリーグ,0
62,16,Aリーグ,1
63,16,Sリーグ,2
64,16,Gリーグ,3
170,17,Bリーグ,0
171,17,Aリーグ,1
172,17,Sリーグ,2
173,17,Gリーグ,3
180,18,Bリーグ,0
181,18,Aリーグ,1
182,18,Sリーグ,2
183,18,Gリーグ,3
190,19,Bリーグ,0
191,19,Aリーグ,1
192,19,Sリーグ,2
193,19,Gリーグ,3
200,20,Bリーグ,0
201,20,Aリーグ,1
202,20,Sリーグ,2
203,20,Gリーグ,3
210,21,Bリーグ,0
211,21,Aリーグ,1
212,21,Sリーグ,2
213,21,Gリーグ,3
220,22,Bリーグ,0
221,22,Aリーグ,1
222,22,Sリーグ,2
223,22,Gリーグ,3
230,23,Bリーグ,0
231,23,Aリーグ,1
232,23,Sリーグ,2
233,23,Gリーグ,3
240,24,Bリーグ,0
241,24,Aリーグ,1
242,24,Sリーグ,2
243,24,Gリーグ,3
250,25,Bリーグ,0
251,25,Aリーグ,1
252,25,Sリーグ,2
253,25,Gリーグ,3
260,26,Bリーグ,0
261,26,Aリーグ,1
262,26,Sリーグ,2
263,26,Gリーグ,3
270,27,Bリーグ,0
271,27,Aリーグ,1
272,27,Sリーグ,2
273,27,Gリーグ,3
280,28,Bリーグ,0
281,28,Aリーグ,1
282,28,Sリーグ,2
283,28,Gリーグ,3
290,29,Bリーグ,0
291,29,Aリーグ,1
292,29,Sリーグ,2
293,29,Gリーグ,3
300,30,Bリーグ,0
301,30,Aリーグ,1
302,30,Sリーグ,2
303,30,Gリーグ,3
310,31,Bリーグ,0
311,31,Aリーグ,1
312,31,Sリーグ,2
313,31,Gリーグ,3
320,32,Bリーグ,0
321,32,Aリーグ,1
322,32,Sリーグ,2
323,32,Gリーグ,3
330,33,Bリーグ,0
331,33,Aリーグ,1
332,33,Sリーグ,2
333,33,Gリーグ,3
340,34,Bリーグ,0
341,34,Aリーグ,1
342,34,Sリーグ,2
343,34,Gリーグ,3
350,35,Bリーグ,0
351,35,Aリーグ,1
352,35,Sリーグ,2
353,35,Gリーグ,3
360,36,Bリーグ,0
361,36,Aリーグ,1
362,36,Sリーグ,2
363,36,Gリーグ,3
370,37,Bリーグ,0
371,37,Aリーグ,1
372,37,Sリーグ,2
373,37,Gリーグ,3
380,38,Bリーグ,0
381,38,Aリーグ,1
382,38,Sリーグ,2
383,38,Gリーグ,3
390,39,Bリーグ,0
391,39,Aリーグ,1
392,39,Sリーグ,2
393,39,Gリーグ,3
400,40,Bリーグ,0
401,40,Aリーグ,1
402,40,Sリーグ,2
403,40,Gリーグ,3
410,41,Bリーグ,0
411,41,Aリーグ,1
412,41,Sリーグ,2
413,41,Gリーグ,3
420,42,Bリーグ,0
421,42,Aリーグ,1
422,42,Sリーグ,2
423,42,Gリーグ,3
430,43,Bリーグ,0
431,43,Aリーグ,1
432,43,Sリーグ,2
433,43,Gリーグ,3
440,44,Bリーグ,0
441,44,Aリーグ,1
442,44,Sリーグ,2
443,44,Gリーグ,3
450,45,Bリーグ,0
451,45,Aリーグ,1
452,45,Sリーグ,2
453,45,Gリーグ,3
460,46,Bリーグ,0
461,46,Aリーグ,1
462,46,Sリーグ,2
463,46,Gリーグ,3
470,47,Bリーグ,0
471,47,Aリーグ,1
472,47,Sリーグ,2
473,47,Gリーグ,3
480,48,Bリーグ,0
481,48,Aリーグ,1
482,48,Sリーグ,2
483,48,Gリーグ,3
490,49,Bリーグ,0
491,49,Aリーグ,1
492,49,Sリーグ,2
493,49,Gリーグ,3
500,50,Bリーグ,0
501,50,Aリーグ,1
502,50,Sリーグ,2
503,50,Gリーグ,3
510,51,Bリーグ,0
511,51,Aリーグ,1
512,51,Sリーグ,2
513,51,Gリーグ,3
520,52,Bリーグ,0
521,52,Aリーグ,1
522,52,Sリーグ,2
523,52,Gリーグ,3
530,53,Bリーグ,0
531,53,Aリーグ,1
532,53,Sリーグ,2
533,53,Gリーグ,3
10220,1022,Bリーグ,0
10221,1022,Aリーグ,1
10222,1022,Sリーグ,2
10223,1022,Gリーグ,3
