id,budokai_motivation_id,type,description,conditions
150,224,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
151,225,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,2連覇達成で解放,"{""continuous_title_num"": 2}"
152,226,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,3連覇達成で解放,"{""continuous_title_num"": 3}"
153,227,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,4連覇達成で解放,"{""continuous_title_num"": 4}"
154,228,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,5連覇達成で解放,"{""continuous_title_num"": 5}"
155,229,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,6連覇達成で解放,"{""continuous_title_num"": 6}"
156,230,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,7連覇達成で解放,"{""continuous_title_num"": 7}"
157,234,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
158,235,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,2連覇達成で解放,"{""continuous_title_num"": 2}"
159,236,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,3連覇達成で解放,"{""continuous_title_num"": 3}"
160,237,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,4連覇達成で解放,"{""continuous_title_num"": 4}"
161,238,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,5連覇達成で解放,"{""continuous_title_num"": 5}"
162,239,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,6連覇達成で解放,"{""continuous_title_num"": 6}"
163,240,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,7連覇達成で解放,"{""continuous_title_num"": 7}"
1704,1704,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
1705,1705,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,2連覇達成で解放,"{""continuous_title_num"": 2}"
1706,1706,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,3連覇達成で解放,"{""continuous_title_num"": 3}"
1707,1707,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,4連覇達成で解放,"{""continuous_title_num"": 4}"
1708,1708,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,5連覇達成で解放,"{""continuous_title_num"": 5}"
1709,1709,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,6連覇達成で解放,"{""continuous_title_num"": 6}"
1710,1710,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,7連覇達成で解放,"{""continuous_title_num"": 7}"
1804,1804,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
1805,1805,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,2連覇達成で解放,"{""continuous_title_num"": 2}"
1806,1806,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,3連覇達成で解放,"{""continuous_title_num"": 3}"
1807,1807,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,4連覇達成で解放,"{""continuous_title_num"": 4}"
1808,1808,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,5連覇達成で解放,"{""continuous_title_num"": 5}"
1809,1809,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,6連覇達成で解放,"{""continuous_title_num"": 6}"
1810,1810,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,7連覇達成で解放,"{""continuous_title_num"": 7}"
1904,1904,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
1905,1905,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,2連覇達成で解放,"{""continuous_title_num"": 2}"
1906,1906,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,3連覇達成で解放,"{""continuous_title_num"": 3}"
1907,1907,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,4連覇達成で解放,"{""continuous_title_num"": 4}"
1908,1908,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,5連覇達成で解放,"{""continuous_title_num"": 5}"
1909,1909,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,6連覇達成で解放,"{""continuous_title_num"": 6}"
1910,1910,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,7連覇達成で解放,"{""continuous_title_num"": 7}"
2004,2004,BudokaiMotivationUnlockCondition::TitleCondition,1回優勝で解放,"{""title_num"": 1}"
2005,2005,BudokaiMotivationUnlockCondition::TitleCondition,2回優勝で解放,"{""title_num"": 2}"
2006,2006,BudokaiMotivationUnlockCondition::TitleCondition,3回優勝で解放,"{""title_num"": 3}"
2007,2007,BudokaiMotivationUnlockCondition::TitleCondition,4回優勝で解放,"{""title_num"": 4}"
2008,2008,BudokaiMotivationUnlockCondition::TitleCondition,5回優勝で解放,"{""title_num"": 5}"
2009,2009,BudokaiMotivationUnlockCondition::TitleCondition,6回優勝で解放,"{""title_num"": 6}"
