id,budokai_id,order,ranking
1,1,1,1〜100位
2,1,2,101〜1000位
3,1,3,1001〜2500位
4,1,4,2501〜5000位
5,1,5,5001〜10000位
6,1,6,10001〜20000位
7,1,7,20001〜30000位
8,1,8,30001〜40000位
9,1,9,40001〜50000位
10,1,10,50001〜75000位
11,1,11,75001〜100000位
12,1,12,3桁のゾロ目順位
13,1,13,4桁のゾロ目順位
14,1,14,5桁のゾロ目順位
15,2,1,1〜100位
16,2,2,101〜1000位
17,2,3,1001〜2500位
18,2,4,2501〜5000位
19,2,5,5001〜10000位
20,2,6,10001〜20000位
21,2,7,20001〜30000位
22,2,8,30001〜50000位
23,2,9,50001〜100000位
24,2,10,100001〜200000位
25,2,11,3桁のゾロ目順位
26,2,12,4桁のゾロ目順位
27,2,13,5桁のゾロ目順位
28,3,1,1〜100位
29,3,2,101〜1000位
30,3,3,1001〜2500位
31,3,4,2501〜5000位
32,3,5,5001〜10000位
33,3,6,10001〜20000位
34,3,7,20001〜30000位
35,3,8,30001〜50000位
36,3,9,50001〜75000位
37,3,10,75001〜100000位
38,3,11,100001〜200000位
39,3,12,3桁のゾロ目順位
40,3,13,4桁のゾロ目順位
41,3,14,5桁のゾロ目順位
42,4,1,1位
43,4,2,2位
44,4,3,3位
45,4,4,4〜10位
46,4,5,11〜100位
47,4,6,101〜1000位
48,4,7,1001〜2500位
49,4,8,2501〜5000位
50,4,9,5001〜10000位
51,4,10,10001〜20000位
52,4,11,20001〜30000位
53,4,12,30001〜50000位
54,4,13,50001〜75000位
55,4,14,75001〜100000位
56,4,15,100001〜200000位
57,4,16,3桁のゾロ目順位
58,4,17,4桁のゾロ目順位
59,4,18,5桁のゾロ目順位
60,5,1,1位
61,5,2,2位
62,5,3,3位
63,5,4,4〜10位
64,5,5,11〜100位
65,5,6,101〜1000位
66,5,7,1001〜2500位
67,5,8,2501〜5000位
68,5,9,5001〜10000位
69,5,10,10001〜20000位
70,5,11,20001〜30000位
71,5,12,30001〜50000位
72,5,13,50001〜75000位
73,5,14,75001〜100000位
74,5,15,100001〜200000位
75,5,16,3桁のゾロ目順位
76,5,17,4桁のゾロ目順位
77,5,18,5桁のゾロ目順位
78,6,1,1位
79,6,2,2位
80,6,3,3位
81,6,4,4〜10位
82,6,5,11〜100位
83,6,6,101〜1000位
84,6,7,1001〜2500位
85,6,8,2501〜5000位
86,6,9,5001〜10000位
87,6,10,10001〜20000位
88,6,11,20001〜30000位
89,6,12,30001〜50000位
90,6,13,50001〜75000位
91,6,14,75001〜100000位
92,6,15,100001〜200000位
93,6,16,3桁のゾロ目順位
94,6,17,4桁のゾロ目順位
95,6,18,5桁のゾロ目順位
96,7,1,1位
97,7,2,2位
98,7,3,3位
99,7,4,4〜10位
100,7,5,11〜100位
