id,num,awakening_item_id,quantity,card_awakening_set_id
1,1,1,50,1
2,2,8,20,1
3,3,13,10,1
4,4,14,3,1
5,5,20,1,1
6,1,1,50,2
7,2,4,20,2
8,3,11,10,2
9,4,18,3,2
10,5,19,1,2
11,1,1,50,3
12,2,6,20,3
13,3,12,10,3
14,4,16,3,3
15,5,20,1,3
16,1,1,50,4
17,2,7,20,4
18,3,10,10,4
19,4,17,3,4
20,5,19,1,4
21,1,1,20,5
22,2,6,10,5
23,3,12,5,5
24,4,16,1,5
25,1,2,20,6
26,2,4,10,6
27,3,11,5,6
28,4,18,1,6
29,1,3,20,7
30,2,6,10,7
31,3,12,5,7
32,4,16,1,7
33,1,3,20,8
34,2,8,10,8
35,3,13,5,8
36,4,14,1,8
37,1,1,20,9
38,2,4,10,9
39,3,11,5,9
40,4,18,1,9
41,1,1,20,10
42,2,8,10,10
43,3,13,5,10
44,4,14,1,10
45,1,3,20,11
46,2,5,10,11
47,3,9,5,11
48,4,15,1,11
49,1,2,20,12
50,2,5,10,12
51,3,9,5,12
52,4,15,1,12
53,1,1,20,13
54,2,7,10,13
55,3,10,5,13
56,4,17,1,13
57,1,2,20,14
58,2,7,10,14
59,3,10,5,14
60,4,17,1,14
61,1,3,10,15
62,2,1,10,15
63,3,5,5,15
64,1,1,10,16
65,2,2,10,16
66,3,8,5,16
67,1,2,10,17
68,2,3,10,17
69,3,7,5,17
70,1,2,10,18
71,2,3,10,18
72,3,4,5,18
73,1,3,10,19
74,2,1,10,19
75,3,8,5,19
76,1,1,10,20
77,2,2,10,20
78,3,7,5,20
79,1,3,10,21
80,2,1,10,21
81,3,6,5,21
82,1,1,10,22
83,2,2,10,22
84,3,4,5,22
85,1,2,10,23
86,2,3,10,23
87,3,5,5,23
88,1,1,10,24
89,2,2,10,24
90,3,6,5,24
91,1,3,3,25
92,2,1,3,25
93,1,1,3,26
94,2,2,3,26
95,1,2,3,27
96,2,3,3,27
97,1,18,1,28
98,1,2,50,29
99,2,7,20,29
100,3,10,10,29
101,4,17,3,29
102,5,19,1,29
103,1,2,50,30
104,2,8,20,30
105,3,13,10,30
106,4,14,3,30
107,5,20,1,30
108,1,2,50,31
109,2,5,20,31
110,3,9,10,31
111,4,15,3,31
112,5,19,1,31
113,1,2,20,32
114,2,6,10,32
115,3,12,5,32
116,4,16,1,32
117,1,3,50,33
118,2,4,20,33
119,3,11,10,33
120,4,18,3,33
121,5,20,1,33
122,1,2,20,34
123,2,8,10,34
124,3,13,5,34
125,4,14,1,34
126,1,3,50,35
127,2,6,20,35
128,3,12,10,35
129,4,16,3,35
130,5,19,1,35
131,1,3033,1,36
132,2,3032,1,36
133,3,3031,1,36
134,4,3034,1,36
135,5,3035,1,36
136,1,2,20,37
137,2,3,10,37
138,3,5,5,37
139,4,9,1,37
140,1,3,50,38
141,2,5,20,38
142,3,9,10,38
143,4,15,3,38
144,5,20,1,38
145,1,1,50,39
146,2,6,20,39
147,3,12,10,39
148,4,16,3,39
149,5,19,1,39
150,1,3047,20,40
151,2,3042,10,40
152,3,3041,5,40
153,4,3046,5,40
154,5,3043,1,40
155,1,3042,10,41
156,2,3041,5,41
157,3,3044,5,41
158,4,3045,5,41
159,5,3043,3,41
160,1,2,10,42
161,2,3,10,42
162,3,6,5,42
163,1,1,50,43
164,2,8,20,43
165,3,13,10,43
166,4,14,3,43
167,5,19,1,43
168,1,1,10,44
169,2,3,10,44
170,3,4,5,44
171,1,2,10,45
172,2,3,10,45
173,3,8,5,45
174,1,2,50,46
175,2,6,20,46
176,3,12,10,46
177,4,16,3,46
178,5,20,1,46
179,1,2,50,47
180,2,4,20,47
181,3,11,10,47
182,4,18,3,47
183,5,19,1,47
184,1,3048,25,48
185,2,3049,7,48
186,3,3050,7,48
187,4,3051,7,48
188,5,3052,3,48
189,1,3049,25,49
190,2,3048,7,49
191,3,3050,7,49
192,4,3051,7,49
193,5,3052,3,49
194,1,3050,25,50
