id,card_id,finish_skill_set_id,created_at,updated_at
1,4026400,1,2024-07-17 02:05:45,2024-07-17 02:05:45
2,4026401,1,2024-07-17 02:05:45,2024-07-17 02:05:45
3,4026400,2,2024-07-17 02:05:45,2024-07-17 02:05:45
4,4026401,2,2024-07-17 02:05:45,2024-07-17 02:05:45
5,4025740,3,2024-07-17 02:05:45,2024-07-17 02:05:45
6,4025741,3,2024-07-17 02:05:45,2024-07-17 02:05:45
7,4025740,4,2024-07-17 02:05:45,2024-07-17 02:05:45
8,4025741,4,2024-07-17 02:05:45,2024-07-17 02:05:45
9,4025780,5,2024-07-17 02:05:45,2024-07-17 02:05:45
10,4025781,5,2024-07-17 02:05:45,2024-07-17 02:05:45
11,4026540,6,2024-07-17 02:05:45,2024-07-17 02:05:45
12,4026541,6,2024-07-17 02:05:45,2024-07-17 02:05:45
13,4026910,7,2024-07-17 02:05:45,2024-07-17 02:05:45
14,4026911,7,2024-07-17 02:05:45,2024-07-17 02:05:45
15,4026910,8,2024-07-17 02:05:45,2024-07-17 02:05:45
16,4026911,9,2024-07-17 02:05:45,2024-07-17 02:05:45
17,4027300,10,2024-07-17 02:05:45,2024-07-17 02:05:45
18,4027301,10,2024-07-17 02:05:45,2024-07-17 02:05:45
19,9526400,1,2024-07-17 02:05:45,2024-07-17 02:05:45
20,9526401,1,2024-07-17 02:05:45,2024-07-17 02:05:45
21,9526400,2,2024-07-17 02:05:45,2024-07-17 02:05:45
22,9526401,2,2024-07-17 02:05:45,2024-07-17 02:05:45
23,4027630,11,2024-07-17 02:05:45,2024-07-17 02:05:45
24,4027631,11,2024-07-17 02:05:45,2024-07-17 02:05:45
25,4027630,12,2024-07-17 02:05:45,2024-07-17 02:05:45
26,4027631,12,2024-07-17 02:05:45,2024-07-17 02:05:45
27,4028380,13,2024-07-17 02:05:45,2024-07-17 02:05:45
28,4028381,14,2024-07-17 02:05:45,2024-07-17 02:05:45
29,4029100,15,2024-07-17 02:05:45,2024-07-17 02:05:45
30,4029101,15,2024-07-17 02:05:45,2024-07-17 02:05:45
31,4029100,16,2024-07-17 02:05:45,2024-07-17 02:05:45
32,4029101,17,2024-07-17 02:05:45,2024-07-17 02:05:45
