id,card_id,category,filename,created_at,updated_at
1,1000450,10002,ak1000,2024-07-30 02:05:12,2024-07-30 02:05:12
2,1000450,10002,ak1001,2024-07-30 02:05:12,2024-07-30 02:05:12
3,1000450,10004,bk1000,2024-07-30 02:05:12,2024-07-30 02:05:12
4,1000450,10004,bk1001,2024-07-30 02:05:12,2024-07-30 02:05:12
5,1000500,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
6,1000500,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
7,1000560,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
8,1000560,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
9,1000580,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
10,1000580,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
11,1000590,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
12,1000590,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
13,1000610,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
14,1000610,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
15,1000620,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
16,1000620,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
17,1000630,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
18,1000630,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
19,1000640,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
20,1000640,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
21,1000650,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
22,1000650,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
23,1000670,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
24,1000670,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
25,1000680,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
26,1000680,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
27,1000690,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
28,1000690,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
29,1000740,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
30,1000740,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
31,1000750,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
32,1000750,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
33,1000760,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
34,1000760,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
35,1000770,10002,ak1000,2024-07-30 02:05:12,2024-07-30 02:05:12
36,1000770,10002,ak1001,2024-07-30 02:05:12,2024-07-30 02:05:12
37,1000770,10004,bk1000,2024-07-30 02:05:12,2024-07-30 02:05:12
38,1000770,10004,bk1001,2024-07-30 02:05:12,2024-07-30 02:05:12
39,1000800,10002,ak1000,2024-07-30 02:05:12,2024-07-30 02:05:12
40,1000800,10002,ak1001,2024-07-30 02:05:12,2024-07-30 02:05:12
41,1000800,10004,bk1000,2024-07-30 02:05:12,2024-07-30 02:05:12
42,1000800,10004,bk1001,2024-07-30 02:05:12,2024-07-30 02:05:12
43,1000820,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
44,1000820,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
45,1001040,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
46,1001040,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
47,1001280,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
48,1001280,20004,,2024-07-30 02:05:12,2024-07-30 02:05:12
49,1001340,20002,,2024-07-30 02:05:12,2024-07-30 02:05:12
