id,name,description,rarity,priority
1,スペシャルステッカー,"スペシャルステッカーを使用することで、
専用エフェクトを追加することができる。",5,9999
2,スペシャルステッカー(全ての願いの集約 孫悟空(GT)),"スペシャルステッカーを使用することで、
「全ての願いの集約 孫悟空(GT)」
に専用エフェクトを追加することができる。",5,1
3,スペシャルステッカー(神の戦闘力の解放 超サイヤ人ゴッドSSベジータ),"スペシャルステッカーを使用することで、
「神の戦闘力の解放 超サイヤ人ゴッドSSベジータ」
に専用エフェクトを追加することができる。",5,1
4,スペシャルステッカー(成長の期待 孫悟飯(幼年期)),"スペシャルステッカーを使用することで、
「成長の期待 孫悟飯(幼年期)」
に専用エフェクトを追加することができる。",5,1
5,スペシャルステッカー(サイヤを継承する少年 超サイヤ人ベジータJr.),"スペシャルステッカーを使用することで、
「サイヤを継承する少年 超サイヤ人ベジータJr.」
に専用エフェクトを追加することができる。",5,1
6,スペシャルステッカー(勇気の覚醒 超サイヤ人孫悟空Jr.),"スペシャルステッカーを使用することで、
「勇気の覚醒 超サイヤ人孫悟空Jr.」
に専用エフェクトを追加することができる。",5,1
7,スペシャルステッカー(恐怖の嵐 フリーザ(第二形態)),"スペシャルステッカーを使用することで、
「恐怖の嵐 フリーザ(第二形態)」
に専用エフェクトを追加することができる。",5,1
8,スペシャルステッカー(怒りの神への変化 超サイヤ人ゴッドSS孫悟空),"スペシャルステッカーを使用することで、
「怒りの神への変化 超サイヤ人ゴッドSS孫悟空」
に専用エフェクトを追加することができる。",5,1
9,スペシャルステッカー(ナメック星人としての闘い ピッコロ),"スペシャルステッカーを使用することで、
「ナメック星人としての闘い ピッコロ」
に専用エフェクトを追加することができる。",5,1
10,スペシャルステッカー(最終局面への突入 ゴジータ),"スペシャルステッカーを使用することで、
「最終局面への突入 ゴジータ」
に専用エフェクトを追加することができる。",5,1
11,スペシャルステッカー(「悟飯・悟空・悟天」の日 2020),"スペシャルステッカーを使用することで、
名称に「孫悟飯」「孫悟空」「孫悟天」を含む一部キャラ
に専用エフェクトを追加することができる。",5,101
12,スペシャルステッカー(目覚めし者の新たなる極意 孫悟空(身勝手の極意“兆”)),"スペシャルステッカーを使用することで、
「目覚めし者の新たなる極意 孫悟空(身勝手の極意“兆”)」
に専用エフェクトを追加することができる。",5,1
13,スペシャルステッカー(「悟飯・悟空・悟天」の日 2021),"スペシャルステッカーを使用することで、
名称に「孫悟飯」「孫悟空」「孫悟天」を含む一部キャラ
に専用エフェクトを追加することができる。",5,101
15,スペシャルステッカー(「悟飯・悟空・悟天」の日 2022),"スペシャルステッカーを使用することで、
名称に「孫悟飯」「孫悟空」「孫悟天」を含む一部キャラ
に専用エフェクトを追加することができる。",5,101
16,スペシャルステッカー(「悟飯・悟空・悟天」の日 2023),"スペシャルステッカーを使用することで、
名称に「孫悟飯」「孫悟空」「孫悟天」を含む一部キャラ
に専用エフェクトを追加することができる。",5,101
17,スペシャルステッカー(「悟飯・悟空・悟天」の日 2024),"スペシャルステッカーを使用することで、
名称に「孫悟飯」「孫悟空」「孫悟天」を含む一部キャラ
に専用エフェクトを追加することができる。",5,101
