id,dialog_body_ids,dialog_icon_type
1000,[1000],default
1010,"[1010, 1011, 1012]",default
1020,"[1020, 1021]",default
1030,[1030],default
1100,"[1100, 1101, 1102]",default
1110,"[1110, 1111]",default
1120,[1120],default
2000,[2000],default
2010,[2010],default
2020,[2020],default
2030,[2030],default
2040,[2040],default
2050,[2050],default
2060,[2060],default
2070,[2070],default
2080,[2080],default
2090,[2090],default
2100,[2100],default
2110,"[2110, 2111]",default
2120,[2120],default
2200,"[2200, 2201]",default
2210,[2210],default
3000,[3000],default
3010,[3010],default
