id,equipment_skill_item_id,potential_skill_id,status_type,level,created_at,updated_at
100,1,,hp,1,2024-06-03 02:00:10,2024-06-03 02:00:10
200,2,,hp,2,2024-06-03 02:00:10,2024-06-03 02:00:10
300,3,,hp,3,2024-06-03 02:00:10,2024-06-03 02:00:10
400,4,,hp,4,2024-06-03 02:00:10,2024-06-03 02:00:10
500,5,,hp,5,2024-06-03 02:00:10,2024-06-03 02:00:10
600,6,,attack,1,2024-06-03 02:00:10,2024-06-03 02:00:10
700,7,,attack,2,2024-06-03 02:00:10,2024-06-03 02:00:10
800,8,,attack,3,2024-06-03 02:00:10,2024-06-03 02:00:10
900,9,,attack,4,2024-06-03 02:00:10,2024-06-03 02:00:10
1000,10,,attack,5,2024-06-03 02:00:10,2024-06-03 02:00:10
1100,11,,defense,1,2024-06-03 02:00:10,2024-06-03 02:00:10
1200,12,,defense,2,2024-06-03 02:00:10,2024-06-03 02:00:10
1300,13,,defense,3,2024-06-03 02:00:10,2024-06-03 02:00:10
1400,14,,defense,4,2024-06-03 02:00:10,2024-06-03 02:00:10
1500,15,,defense,5,2024-06-03 02:00:10,2024-06-03 02:00:10
1600,16,,hp,1,2024-06-03 02:00:10,2024-06-03 02:00:10
1700,17,,hp,2,2024-06-03 02:00:10,2024-06-03 02:00:10
1800,18,,hp,3,2024-06-03 02:00:10,2024-06-03 02:00:10
1900,19,,hp,4,2024-06-03 02:00:10,2024-06-03 02:00:10
2000,20,,hp,5,2024-06-03 02:00:10,2024-06-03 02:00:10
2100,21,,attack,1,2024-06-03 02:00:10,2024-06-03 02:00:10
2200,22,,attack,2,2024-06-03 02:00:10,2024-06-03 02:00:10
2300,23,,attack,3,2024-06-03 02:00:10,2024-06-03 02:00:10
2400,24,,attack,4,2024-06-03 02:00:10,2024-06-03 02:00:10
2500,25,,attack,5,2024-06-03 02:00:10,2024-06-03 02:00:10
2600,26,,defense,1,2024-06-03 02:00:10,2024-06-03 02:00:10
2700,27,,defense,2,2024-06-03 02:00:10,2024-06-03 02:00:10
2800,28,,defense,3,2024-06-03 02:00:10,2024-06-03 02:00:10
2900,29,,defense,4,2024-06-03 02:00:10,2024-06-03 02:00:10
3000,30,,defense,5,2024-06-03 02:00:10,2024-06-03 02:00:10
3100,31,,hp,1,2024-06-03 02:00:10,2024-06-03 02:00:10
3200,32,,hp,2,2024-06-03 02:00:10,2024-06-03 02:00:10
3300,33,,hp,3,2024-06-03 02:00:10,2024-06-03 02:00:10
3400,34,,hp,4,2024-06-03 02:00:10,2024-06-03 02:00:10
3500,35,,hp,5,2024-06-03 02:00:10,2024-06-03 02:00:10
3600,36,,attack,1,2024-06-03 02:00:10,2024-06-03 02:00:10
3700,37,,attack,2,2024-06-03 02:00:10,2024-06-03 02:00:10
3800,38,,attack,3,2024-06-03 02:00:10,2024-06-03 02:00:10
3900,39,,attack,4,2024-06-03 02:00:10,2024-06-03 02:00:10
4000,40,,attack,5,2024-06-03 02:00:10,2024-06-03 02:00:10
4100,41,,defense,1,2024-06-03 02:00:10,2024-06-03 02:00:10
4200,42,,defense,2,2024-06-03 02:00:10,2024-06-03 02:00:10
4300,43,,defense,3,2024-06-03 02:00:10,2024-06-03 02:00:10
4400,44,,defense,4,2024-06-03 02:00:10,2024-06-03 02:00:10
4500,45,,defense,5,2024-06-03 02:00:10,2024-06-03 02:00:10
4600,46,,hp,1,2024-06-03 02:00:10,2024-06-03 02:00:10
4700,47,,hp,2,2024-06-03 02:00:10,2024-06-03 02:00:10
4800,48,,hp,3,2024-06-03 02:00:10,2024-06-03 02:00:10
4900,49,,hp,4,2024-06-03 02:00:10,2024-06-03 02:00:10
5000,50,,hp,5,2024-06-03 02:00:10,2024-06-03 02:00:10
5100,51,,attack,1,2024-06-03 02:00:10,2024-06-03 02:00:10
5200,52,,attack,2,2024-06-03 02:00:10,2024-06-03 02:00:10
5300,53,,attack,3,2024-06-03 02:00:10,2024-06-03 02:00:10
5400,54,,attack,4,2024-06-03 02:00:10,2024-06-03 02:00:10
5500,55,,attack,5,2024-06-03 02:00:10,2024-06-03 02:00:10
5600,56,,defense,1,2024-06-03 02:00:10,2024-06-03 02:00:10
5700,57,,defense,2,2024-06-03 02:00:10,2024-06-03 02:00:10
5800,58,,defense,3,2024-06-03 02:00:10,2024-06-03 02:00:10
5900,59,,defense,4,2024-06-03 02:00:10,2024-06-03 02:00:10
6000,60,,defense,5,2024-06-03 02:00:10,2024-06-03 02:00:10
6100,61,,hp,1,2024-06-03 02:00:10,2024-06-03 02:00:10
6200,62,,hp,2,2024-06-03 02:00:10,2024-06-03 02:00:10
6300,63,,hp,3,2024-06-03 02:00:10,2024-06-03 02:00:10
6400,64,,hp,4,2024-06-03 02:00:10,2024-06-03 02:00:10
6500,65,,hp,5,2024-06-03 02:00:10,2024-06-03 02:00:10
6600,66,,attack,1,2024-06-03 02:00:10,2024-06-03 02:00:10
6700,67,,attack,2,2024-06-03 02:00:10,2024-06-03 02:00:10
6800,68,,attack,3,2024-06-03 02:00:10,2024-06-03 02:00:10
6900,69,,attack,4,2024-06-03 02:00:10,2024-06-03 02:00:10
7000,70,,attack,5,2024-06-03 02:00:10,2024-06-03 02:00:10
7100,71,,defense,1,2024-06-03 02:00:10,2024-06-03 02:00:10
7200,72,,defense,2,2024-06-03 02:00:10,2024-06-03 02:00:10
7300,73,,defense,3,2024-06-03 02:00:10,2024-06-03 02:00:10
7400,74,,defense,4,2024-06-03 02:00:10,2024-06-03 02:00:10
7500,75,,defense,5,2024-06-03 02:00:10,2024-06-03 02:00:10
7600,76,2.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
7700,77,2.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
7800,78,3.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
7900,79,3.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
8000,80,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
8100,81,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
8200,82,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
8300,83,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
8400,84,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
8500,85,6.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
8600,86,7.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
8700,87,7.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
8800,88,1.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
8900,89,1.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
9000,90,3.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
9100,91,3.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
9200,92,4.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
9300,93,4.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
9400,94,5.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
9500,95,5.0,,2,2024-06-03 02:00:10,2024-06-03 02:00:10
9600,96,6.0,,1,2024-06-03 02:00:10,2024-06-03 02:00:10
