id,finish_skill_set_id,target_type,target_type_values,sub_target_type_set_id,turn,efficacy_type,calc_option,efficacy_values,thumb_effect_id,effect_se_id,created_at,updated_at
1,1,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
2,1,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
3,1,1,{},0,1,117,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
4,1,1,{},0,1,118,,"[15, 435, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
5,2,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
6,2,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
7,2,1,{},0,1,117,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
8,2,1,{},0,1,118,,"[15, 4830, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
9,3,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
10,3,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
11,3,1,{},0,1,117,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
12,3,1,{},0,1,118,,"[15, 570, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
13,4,1,{},0,1,115,,"{""type"": ""charge"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
14,4,1,{},0,1,116,,"{""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
15,4,1,{},0,1,117,,"[0, 0, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
16,4,1,{},0,1,118,,"[20, 6440, 0]",,,2024-07-17 02:06:01,2024-07-17 02:06:01
17,5,1,{},0,1,115,,"{""type"": ""revival"", ""is_active"": false}",,,2024-07-17 02:06:01,2024-07-17 02:06:01
