id,help_id,image_path,description,created_at,updated_at
1,1,,"{color: #FFFF00}チーム編成{color}では冒険に連れて行くチームを
編成することができます。

{color: #FFFF00}最大6人{color}で一組のチームを編成することができます。",2024-04-15 01:18:20,2024-04-15 01:18:20
2,1,images/help/1_1_1_3.png,"キャラクター名と二つ名が完全に同じキャラクター
を同一チームに編成することはできません。
（一部を除く）",2024-04-15 01:18:20,2024-04-15 01:18:20
3,1,,"
キャラクターを編成していない枠には、緊急要員として
栽培マンがバトルに参加することになります。",2024-04-15 01:18:20,2024-04-15 01:18:20
4,2,,"『修業』を行うと、
キャラクターは経験値を獲得できます。
経験値の獲得でLvが上がり、
パラメータを強化することができます。

『修業』は、以下の流れで行います。

①：修業するキャラクターを選択
②：修業場所を選択（任意）
③：修業相手・修業アイテムを選択（どちらかは必須）",2024-04-15 01:18:20,2024-04-15 01:18:20
5,2,images/help/help_training_01_03_01.png,"『修業』に必要なゼニーについて
修業相手は修業キャラクターのLvに応じて
必要ゼニーが増加します。
修業アイテムは修業キャラクターのLvを問わず、
使用する修業アイテム毎に必要ゼニーが異なります。

{size : 24}{color : #FFFF00}{outline : #FF0000, 2}▼修業アイテムのみでも修業が可能{outline}{color}{size} ",2024-04-15 01:18:20,2024-04-15 01:18:20
6,3,,"{color: #FFFF00}覚醒{color}を行うとキャラクターの
パラメータを上昇させることができます。

覚醒には計５種類の覚醒方法があります。
①「覚醒」
②「Z覚醒」
③「ドッカン覚醒」
④「極限Z覚醒」
⑤「超極限Z覚醒」
※③④⑤は、一部キャラクターのみ行えます

この項目では、そのうちの通常の「覚醒」に
ついて説明します。

「覚醒」を行うには、キャラクター毎に決まっている
覚醒メダルとゼニーが必要です。",2024-04-15 01:18:20,2024-04-15 01:18:20
7,3,images/help/1_3_1_01.png,"使用したい覚醒メダルのアイコンをタップし
右下の「覚醒」ボタンを押すことで覚醒が行えます。

「覚醒」ではキャラクターに経験値が入りませんが
レベルに関係なく行えるので、必要なアイテムが
そろったら迷わず覚醒させましょう。",2024-04-15 01:18:20,2024-04-15 01:18:20
8,4,,"{color: #FFFF00}Z覚醒{color}を行うと
キャラクターのパラメータを大幅に
上昇させることができます。

またレアリティがアップし、属性もより強力なものに
変化し、レベル上限も上昇します。

Z覚醒は、
　１：キャラクターのレベルを最大にする
　２：必要な覚醒メダルを全てそろえる
　３：必要なゼニーをそろえる
ことで行えます。",2024-04-15 01:18:20,2024-04-15 01:18:20
9,4,images/help/1_4_1_01.png,Z覚醒後は必殺技レベルも持ち越されます。,2024-04-15 01:18:20,2024-04-15 01:18:20
10,5,,"{color: #FFFF00}ドッカン覚醒{color}を行うとより強力なキャラクターへと
パワーアップすることができます。",2024-04-15 01:18:20,2024-04-15 01:18:20
11,5,images/help/20160407-Help_04.png,"
ドッカン覚醒を行うには
　１：Z覚醒したキャラクターのレベルを最大にする
　２：必要な覚醒メダルを全てそろえる
　３：必要なゼニーをそろえる
ことで行えます。

ドッカン覚醒後は別キャラクターとして
あつかわれるため、レベルは１に戻ります。
（必殺技レベルは引き継がれます）

ドッカン覚醒をしたキャラクターは
再度、レベルアップやZ覚醒をして
大幅にパワーアップさせることができます。

ドッカン覚醒したキャラクターは、
基本的に覚醒前の状態に戻すことは
できないのでご注意下さい。

限界突破UR(最大Lv.120)・LRのキャラクターに限り、
「リバース」を使用することで
ドッカン覚醒前の状態に戻すことが可能です。

※ドッカン覚醒は全てのキャラクターが
　 行えるわけではありません。
　 また、一部ドッカン覚醒後に
　 Z覚醒できないキャラがいます。",2024-04-15 01:18:20,2024-04-15 01:18:20
12,5,,"※ドッカン覚醒前と後で、キャラクター名が異なる場合は
　修業相手に使用しても必殺技レベルは上昇しません。",2024-04-15 01:18:20,2024-04-15 01:18:20
13,6,,"{color: #FFFF00}リーダースキル{color}とは、リーダーに設定したキャラクターが
発揮する特殊な能力のことです。",2024-04-15 01:18:20,2024-04-15 01:18:20
14,6,images/help/1_5.png,"
冒険に連れて行ったフレンドのリーダーも
リーダースキルを発動します。

リーダースキルはそのキャラクターが攻撃に
参加していないターンでも効果を発揮します。

※一部「フレンドのリーダースキルが
発動しない」イベントもあります。",2024-04-15 01:18:20,2024-04-15 01:18:20
15,7,,"{color: #FFFF00}パッシブスキル{color}とは、バトル中特定の条件下において
発揮する特殊な能力です。

パッシブスキルは、そのパッシブスキルを所持している
キャラクターが攻撃に参加するターンで発動します。
発動条件や、効果の発動タイミングは
スキル毎に異なります。

発動効果と条件は「キャラクター詳細」の
「パッシブスキル」より確認できます。

※パッシブスキルなどの効果にて、
発動条件を満たしていても
(必ずと記載されている場合も含む)、
当該のスキルを無効化する敵に対しては
効果を発動できません。
※特定のキャラクター名を指定するスキルにおいて、
今後登場するキャラクターが対象外として
記載されていない場合でも、
対象外になることがあります。",2024-04-15 01:18:20,2024-04-15 01:18:20
16,7,images/help/passive_skill.png,,2024-04-15 01:18:20,2024-04-15 01:18:20
17,8,,"{color: #FFFF00}リンクスキル{color}とは、キャラクター毎に複数所持している
特殊なスキルです。

バトル中の攻撃順選択時、
リンクスキルの発動条件を満たした上で、
同じリンクスキルを持ったキャラクターが
隣同士に並ぶと発動します。

ただし、同名キャラクター同士が隣に並んでも、
リンクスキルは発動しません。",2024-04-15 01:18:20,2024-04-15 01:18:20
18,8,images/help/linkskill_newhelp.png,"
発動効果は「キャラクター詳細」の「リンクスキル」より
確認できます。",2024-04-15 01:18:20,2024-04-15 01:18:20
19,8,images/help/link_skill_02.png,"
また、それぞれのリンクスキルを
タップすると、同じリンクスキルを所持している
キャラクターの一覧を確認することができます。",2024-04-15 01:18:20,2024-04-15 01:18:20
20,9,,"キャラクターを{color: #FFFF00}「お気に入り」{color}に登録しておくと
誤って修業相手に使ったり、売却したり、
ババの交換所で交換ptに交換しないように
することができます。

キャラクター詳細画面の右上にある{color: #FFFF00}鍵のアイコン{color}を
タップすることでお気に入りと解除が切り替えられます。",2024-04-15 01:18:20,2024-04-15 01:18:20
21,9,images/help/favorite.png,"
お気に入りに登録しているキャラクターは
キャラクター一覧でアイコンに
鍵のマークが表示されます。

{size : 24}{color : #FFFF00}{outline : #FF0000, 2}▼特殊キャラクター{outline}{color}{size} 
条件を達成するまで、お気に入りをはずすことができない
キャラクターがいます。

条件は鍵アイコンをタップすることで確認することができます。",2024-04-15 01:18:20,2024-04-15 01:18:20
22,10,,"マップ上の敵を倒しながら進んでいき、
ゴールにたどり着くことが目的です。

画面下部の「スロットボタン」をタップすると
選んだ数字の数だけ進みます。
※「スロットボタン」の数字はランダムに決まります。",2024-04-15 01:18:20,2024-04-15 01:18:20
23,10,images/help/sugoroku_01.png,"
途中、道が分岐している箇所では
進む方向を自分で選択する必要があります。

先に何があるのか注意して進みましょう。",2024-04-15 01:18:20,2024-04-15 01:18:20
24,11,,"冒険の各ステージには
{color: #3366FF}「NORMAL」{color}{color: #FF9900}「HARD」{color}{color: #FF0000}「Z-HARD」{color}
{color}{color: #9966FF}「SUPER」{color}のうち３つの難易度が存在します。",2024-04-15 01:18:20,2024-04-15 01:18:20
25,11,images/help/boken_help1.png,"難易度の高いステージでは手強い敵が出現しますが
その分経験値やゼニーなどの報酬に期待できます。",2024-04-15 01:18:20,2024-04-15 01:18:20
26,12,,"すごろく状になっているマップには
さまざまなマスが存在します。

基本的には、{color: #FF0000}赤い{color}マスでは危険なできごとが起き、
{color: #0000FF}青い{color}マスでは報酬がえられ、
{color: #FFFF00}黄色い{color}マスではハプニングが起きます。

各マスごとの詳細は下記のとおりです。

",2024-04-15 01:18:20,2024-04-15 01:18:20
27,12,,{color: #FFFF00}▼「バトル」マス{color},2024-04-15 01:18:20,2024-04-15 01:18:20
28,12,images/help/MapIcon_s_01.png,"このマスに止まると
敵とのバトルが始まります。",2024-04-15 01:18:20,2024-04-15 01:18:20
29,12,,{color: #FFFF00}▼「STOP」マス{color},2024-04-15 01:18:20,2024-04-15 01:18:20
