id,optimal_awakening_grow_type,step,lv_max,skill_lv_max,passive_skill_set_id,leader_skill_set_id
1,1,1,125,10,438.0,100321
2,1,2,125,11,438.0,100321
3,1,3,130,11,438.0,100321
4,1,4,130,12,438.0,100321
5,1,5,130,13,438.0,1003211
6,1,6,135,14,438.0,1003211
7,1,7,140,15,1023.0,1003211
8,2,1,125,10,346.0,100380
9,2,2,125,11,346.0,100380
10,2,3,130,11,346.0,100380
11,2,4,130,12,346.0,100380
12,2,5,130,13,346.0,1003801
13,2,6,135,14,346.0,1003801
14,2,7,140,15,1071.0,1003801
15,3,1,125,10,1087.0,1013161
16,3,2,125,11,1087.0,1013161
17,3,3,130,11,1102.0,1013161
18,3,4,130,12,1102.0,1013161
19,3,5,130,13,1102.0,1013162
20,3,6,135,14,1102.0,1013162
21,3,7,140,15,1103.0,1013162
22,4,1,125,10,489.0,100425
23,4,2,125,11,489.0,100425
24,4,3,130,11,489.0,100425
25,4,4,130,12,489.0,100425
26,4,5,130,13,489.0,1004251
27,4,6,135,14,489.0,1004251
28,4,7,140,15,1148.0,1004251
29,5,1,125,10,719.0,100892
30,5,2,125,11,719.0,100892
31,5,3,130,11,719.0,100892
32,5,4,130,12,719.0,100892
33,5,5,130,13,719.0,1008921
34,5,6,135,14,719.0,1008921
35,5,7,140,15,1171.0,1008921
36,6,1,125,10,720.0,100893
37,6,2,125,11,720.0,100893
38,6,3,130,11,720.0,100893
39,6,4,130,12,720.0,100893
40,6,5,130,13,720.0,1008931
41,6,6,135,14,720.0,1008931
42,6,7,140,15,1172.0,1008931
43,7,1,125,10,721.0,100894
44,7,2,125,11,721.0,100894
45,7,3,130,11,721.0,100894
46,7,4,130,12,721.0,100894
47,7,5,130,13,721.0,1008941
48,7,6,135,14,721.0,1008941
49,7,7,140,15,1173.0,1008941
50,8,1,125,10,377.0,100465
51,8,2,125,11,377.0,100465
52,8,3,130,11,377.0,100465
53,8,4,130,12,377.0,100465
54,8,5,130,13,377.0,1004651
55,8,6,135,14,377.0,1004651
