id,script_name,lite_flicker_rate,bgm_id
1,pse0001,70,172.0
2,pse0002,70,175.0
3,pse0005,70,171.0
4,pse0003,70,181.0
5,pse0004,70,183.0
6,pse0006,70,186.0
7,pse0007,50,193.0
8,pse0008,50,195.0
9,pse0009,50,200.0
10,pse0010,30,197.0
11,pse0011,30,203.0
12,pse0015,30,215.0
13,pse0014,30,216.0
14,pse0013,30,217.0
15,pse0017,30,221.0
16,pse0016,50,226.0
17,pse0018,50,228.0
18,pse0019,30,239.0
19,pse0020,30,237.0
20,pse0022,50,258.0
21,pse0021,30,
22,pse0023,30,263.0
23,pse0024,30,268.0
24,pse0027,30,265.0
25,pse0025,70,270.0
26,pse0028,30,274.0
27,pse0026,30,272.0
28,pse0029,50,280.0
29,pse0031,30,285.0
30,pse0030,30,288.0
31,pse0032,30,290.0
32,pse0033,50,292.0
33,pse0034,50,295.0
34,pse0035,30,307.0
35,pse0037,50,314.0
36,pse0036,50,312.0
37,pse0038,50,316.0
38,pse0040,30,320.0
39,pse0039,50,329.0
40,pse0041,70,322.0
41,pse0042,70,327.0
42,pse0043,50,333.0
43,pse0048,30,
44,pse0044,50,335.0
45,pse0045,30,342.0
46,pse0046,30,346.0
47,pse0047,30,349.0
48,pse0055,30,361.0
49,pse0050,70,354.0
50,pse0049,50,356.0
51,pse0051,30,359.0
52,pse0054,30,
53,pse0052,30,363.0
54,pse0053,30,364.0
55,pse0056,30,366.0
56,pse0058,30,371.0
