id,name,description,rarity,selling_exchange_point,is_exclusive
1,速の潜在能力玉(小),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",0,1,0
2,技の潜在能力玉(小),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",0,1,0
3,知の潜在能力玉(小),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",0,1,0
4,力の潜在能力玉(小),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",0,1,0
5,体の潜在能力玉(小),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",0,1,0
6,速の潜在能力玉(中),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",1,2,0
7,技の潜在能力玉(中),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",1,2,0
8,知の潜在能力玉(中),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",1,2,0
9,力の潜在能力玉(中),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",1,2,0
10,体の潜在能力玉(中),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",1,2,0
11,速の潜在能力玉(大),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",2,20,0
12,技の潜在能力玉(大),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",2,20,0
13,知の潜在能力玉(大),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",2,20,0
14,力の潜在能力玉(大),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",2,20,0
15,体の潜在能力玉(大),"一部キャラクターの潜在能力を解放することができる、
不思議な力を秘めた気の塊。",2,20,0
16,潜在能力玉(小),"イベント「悟空外伝!勇気の証しは四星球」で仲間になる
「孫悟空Jr.」「超サイヤ人孫悟空Jr.」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
17,潜在能力玉(中),"イベント「悟空外伝!勇気の証しは四星球」で仲間になる
「孫悟空Jr.」「超サイヤ人孫悟空Jr.」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",1,1,1
18,潜在能力玉(大),"イベント「悟空外伝!勇気の証しは四星球」で仲間になる
「孫悟空Jr.」「超サイヤ人孫悟空Jr.」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",2,10,1
19,潜在能力玉(小),"イベント「レッツゴー！ステキな恋人さがし」で
仲間になる「ブルマ(少女期)」の潜在能力を
解放することができる不思議な力を秘めた気の塊。",0,1,1
