id,quest_id,type,card_category_id,quest_category_bonus_rarity_table_id
24,131001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,3,7
25,132001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,4,8
26,334001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,1,9
27,334002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,1,9
28,334003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,1,9
29,334004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,1,9
30,335001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
31,335002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
32,335003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
33,335004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
34,335005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
35,335006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
36,335007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
37,335008,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
38,335009,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
39,335010,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
40,335011,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
41,335012,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,10
42,336001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,11,11
43,336002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,11,11
44,336003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,11,11
45,336004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,11,11
46,160001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,4,12
47,160001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,12
48,160002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,4,12
49,160002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,12
50,160003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,4,12
51,160003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,12
52,341001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13
53,341002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13
54,341003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13
55,341004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13
56,341005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13
57,341006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13
58,341007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,13
59,344001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14
60,344002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14
61,344003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14
62,344004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14
63,344005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14
64,344006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14
65,344007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14
66,344008,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14
67,344009,QuestCategoryBonus::SugorokuStart::AdditionalDrop,6,14
68,602001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,15,15
69,602002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,15,15
70,602003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,15,15
71,602004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,15,15
72,343001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16
73,343002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16
74,343003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16
75,343004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16
76,343005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16
77,343006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,18,16
78,162001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17
79,162002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17
80,162003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17
81,162004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17
82,162005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17
83,162006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17
84,162007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17
85,162008,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17
86,162009,QuestCategoryBonus::SugorokuStart::AdditionalDrop,21,17
87,347001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18
88,347002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18
89,347003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18
90,347004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18
91,347005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18
92,347006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18
93,347007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18
94,347008,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18
95,347009,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18
96,347010,QuestCategoryBonus::SugorokuStart::AdditionalDrop,13,18
97,348001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,8,19
98,348002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,8,19
99,348003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,8,19
100,348004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,8,19
101,328001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20
102,328002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20
103,328003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20
104,328004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20
105,328005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20
106,328006,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20
107,328007,QuestCategoryBonus::SugorokuStart::AdditionalDrop,19,20
108,333001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,7,21
109,333002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,7,21
110,333003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,7,21
111,333004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,7,21
112,333005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,7,21
113,349001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,22
114,349002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,22
115,349003,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,22
116,349004,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,22
117,349005,QuestCategoryBonus::SugorokuStart::AdditionalDrop,24,22
118,352001,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,23
119,352002,QuestCategoryBonus::SugorokuStart::AdditionalDrop,25,23
