id,rmbattle_mission_id,item_id,item_type,quantity,card_exp_init,description,gift_description
1001,1001,11,Point::Stone,1,0,龍石1個,大乱戦に参加しよう
1002,1002,2000,TreasureItem,1500,0,激闘の記憶1500個,[ウィークリー]３ステージクリア
1003,1003,7,TrainingField,3,0,重力室(150倍） ×3,１ステージクリアしよう
1004,1004,11,Point::Stone,3,0,龍石3個,２ステージクリアしよう
1005,1005,1002630,Card,1,765122,【100万ゼニー】サタン像(金) × 1,３ステージクリアしよう
1006,1006,1002630,Card,1,765122,【100万ゼニー】サタン像(金) × 1,４ステージクリアしよう
1007,1007,11,Point::Stone,5,0,龍石5個,５ステージクリアしよう
1008,1008,1,PotentialItem,500,0,速の潜在能力玉（小） × 500,６ステージクリアしよう
1009,1008,2,PotentialItem,500,0,技の潜在能力玉（小） × 500,６ステージクリアしよう
1010,1008,3,PotentialItem,500,0,知の潜在能力玉（小） × 500,６ステージクリアしよう
1011,1008,4,PotentialItem,500,0,力の潜在能力玉（小） × 500,６ステージクリアしよう
1012,1008,5,PotentialItem,500,0,体の潜在能力玉（小） × 500,６ステージクリアしよう
1013,1009,6,PotentialItem,300,0,速の潜在能力玉（中） × 300,７ステージクリアしよう
1014,1009,7,PotentialItem,300,0,技の潜在能力玉（中） × 300,７ステージクリアしよう
1015,1009,8,PotentialItem,300,0,知の潜在能力玉（中） × 300,７ステージクリアしよう
1016,1009,9,PotentialItem,300,0,力の潜在能力玉（中） × 300,７ステージクリアしよう
1017,1009,10,PotentialItem,300,0,体の潜在能力玉（中） × 300,７ステージクリアしよう
1018,1010,11,PotentialItem,50,0,速の潜在能力玉（大） × 50,８ステージクリアしよう
1019,1010,12,PotentialItem,50,0,技の潜在能力玉（大） × 50,８ステージクリアしよう
1020,1010,13,PotentialItem,50,0,知の潜在能力玉（大） × 50,８ステージクリアしよう
1021,1010,14,PotentialItem,50,0,力の潜在能力玉（大） × 50,８ステージクリアしよう
1022,1010,15,PotentialItem,50,0,体の潜在能力玉（大） × 50,８ステージクリアしよう
1023,1011,9,AwakeningItem,20,0,神様 ×20,LEVEL1をクリアしよう
1024,1012,10,AwakeningItem,20,0,最長老 ×20,LEVEL1を2回クリアしよう
1025,1013,11,AwakeningItem,20,0,バビディ ×20,LEVEL1を3回クリアしよう
1026,1014,12,AwakeningItem,20,0,ビビディ ×20,LEVEL1を4回クリアしよう
1027,1015,13,AwakeningItem,20,0,カリン ×20,LEVEL1を5回クリアしよう
1028,1016,1002630,Card,1,765122,【100万ゼニー】サタン像(金) × 1,LEVEL2をクリアしよう
1029,1017,1002630,Card,1,765122,【100万ゼニー】サタン像(金) × 1,LEVEL2を2回クリアしよう
1030,1018,1005480,Card,1,765122,【150万ゼニー】サタン像（プラチナ） ×1,LEVEL2を3回クリアしよう
1031,1019,19,AwakeningItem,1,0,【覚醒メダル】東の界王神,LEVEL2を4回クリアしよう
1032,1020,20,AwakeningItem,1,0,【覚醒メダル】老界王神,LEVEL2を5回クリアしよう
1033,1021,11,Point::Stone,10,0,龍石10個,LEVEL3をクリアしよう
1034,1022,20,AwakeningItem,1,0,【覚醒メダル】老界王神,LEVEL3を2回クリアしよう
1035,1023,19,AwakeningItem,1,0,【覚醒メダル】東の界王神,LEVEL3を3回クリアしよう
1036,1024,20,AwakeningItem,1,0,【覚醒メダル】老界王神,LEVEL3を4回クリアしよう
1037,1025,1003970,Card,1,0,【不思議な儀式】老界王神,LEVEL3を5回クリアしよう
2001,2001,11,Point::Stone,1,0,龍石1個,大乱戦に参加しよう
2002,2002,2000,TreasureItem,5000,0,激闘の記憶5000個,[ウィークリー]３ステージクリア
2003,2003,900,TrainingItem,1,0,ゼットソード[速] ×1,１ステージクリアしよう
2004,2003,901,TrainingItem,1,0,ゼットソード[技] ×1,１ステージクリアしよう
2005,2003,902,TrainingItem,1,0,ゼットソード[知] ×1,１ステージクリアしよう
2006,2003,903,TrainingItem,1,0,ゼットソード[力] ×1,１ステージクリアしよう
2007,2003,904,TrainingItem,1,0,ゼットソード[体] ×1,１ステージクリアしよう
2008,2004,11,Point::Stone,3,0,龍石3個,２ステージクリアしよう
2009,2005,1002630,Card,1,765122,【100万ゼニー】サタン像(金) ×1,３ステージクリアしよう
2010,2006,1005480,Card,1,765122,【150万ゼニー】サタン像(プラチナ) ×1,４ステージクリアしよう
2011,2007,11,Point::Stone,5,0,龍石5個,５ステージクリアしよう
2012,2008,19,AwakeningItem,1,0,【覚醒メダル】東の界王神 ×1,６ステージクリアしよう
2013,2009,20,AwakeningItem,1,0,【覚醒メダル】老界王神 ×1,７ステージクリアしよう
