id,kind,description,conditions
1,1,ゼニーの獲得量が1%上昇する,"{""benefit_permil"": 10}"
2,0,修業アイテムのドロップ率が1%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 10}"
3,0,サポートアイテムのドロップ率が1%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 10}"
4,0,潜在能力玉のドロップ率が1%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 10}"
5,0,キャラクターのドロップ率が1%上昇する,"{""item_type"": ""Card"", ""benefit_permil"": 10}"
6,0,秘宝のドロップ率が1%上昇する,"{""item_type"": ""TreasureItem"", ""benefit_permil"": 10}"
7,0,覚醒メダルのドロップ率が1%上昇する,"{""item_type"": ""AwakeningItem"", ""benefit_permil"": 10}"
8,1,ゼニーの獲得量が2%上昇する,"{""benefit_permil"": 20}"
9,0,修業アイテムのドロップ率が2%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 20}"
10,0,サポートアイテムのドロップ率が2%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 20}"
11,0,潜在能力玉のドロップ率が2%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 20}"
12,0,キャラクターのドロップ率が2%上昇する,"{""item_type"": ""Card"", ""benefit_permil"": 20}"
13,0,秘宝のドロップ率が2%上昇する,"{""item_type"": ""TreasureItem"", ""benefit_permil"": 20}"
14,0,覚醒メダルのドロップ率が2%上昇する,"{""item_type"": ""AwakeningItem"", ""benefit_permil"": 20}"
15,1,ゼニーの獲得量が3%上昇する,"{""benefit_permil"": 30}"
16,0,修業アイテムのドロップ率が3%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 30}"
17,0,サポートアイテムのドロップ率が3%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 30}"
18,0,潜在能力玉のドロップ率が3%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 30}"
19,0,キャラクターのドロップ率が3%上昇する,"{""item_type"": ""Card"", ""benefit_permil"": 30}"
20,0,秘宝のドロップ率が3%上昇する,"{""item_type"": ""TreasureItem"", ""benefit_permil"": 30}"
21,0,覚醒メダルのドロップ率が3%上昇する,"{""item_type"": ""AwakeningItem"", ""benefit_permil"": 30}"
22,1,ゼニーの獲得量が4%上昇する,"{""benefit_permil"": 40}"
23,0,修業アイテムのドロップ率が4%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 40}"
24,0,サポートアイテムのドロップ率が4%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 40}"
25,0,潜在能力玉のドロップ率が4%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 40}"
26,0,キャラクターのドロップ率が4%上昇する,"{""item_type"": ""Card"", ""benefit_permil"": 40}"
27,0,秘宝のドロップ率が4%上昇する,"{""item_type"": ""TreasureItem"", ""benefit_permil"": 40}"
28,0,覚醒メダルのドロップ率が4%上昇する,"{""item_type"": ""AwakeningItem"", ""benefit_permil"": 40}"
29,1,ゼニーの獲得量が5%上昇する,"{""benefit_permil"": 50}"
30,0,修業アイテムのドロップ率が5%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 50}"
31,0,サポートアイテムのドロップ率が5%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 50}"
32,0,潜在能力玉のドロップ率が5%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 50}"
33,0,キャラクターのドロップ率が5%上昇する,"{""item_type"": ""Card"", ""benefit_permil"": 50}"
34,0,秘宝のドロップ率が5%上昇する,"{""item_type"": ""TreasureItem"", ""benefit_permil"": 50}"
35,0,覚醒メダルのドロップ率が5%上昇する,"{""item_type"": ""AwakeningItem"", ""benefit_permil"": 50}"
36,1,ゼニーの獲得量が6%上昇する,"{""benefit_permil"": 60}"
37,0,修業アイテムのドロップ率が6%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 60}"
38,0,サポートアイテムのドロップ率が6%上昇する,"{""item_type"": ""SupportItem"", ""benefit_permil"": 60}"
39,0,潜在能力玉のドロップ率が6%上昇する,"{""item_type"": ""PotentialItem"", ""benefit_permil"": 60}"
40,0,キャラクターのドロップ率が6%上昇する,"{""item_type"": ""Card"", ""benefit_permil"": 60}"
41,0,秘宝のドロップ率が6%上昇する,"{""item_type"": ""TreasureItem"", ""benefit_permil"": 60}"
42,0,覚醒メダルのドロップ率が6%上昇する,"{""item_type"": ""AwakeningItem"", ""benefit_permil"": 60}"
43,1,ゼニーの獲得量が7%上昇する,"{""benefit_permil"": 70}"
44,0,修業アイテムのドロップ率が7%上昇する,"{""item_type"": ""TrainingItem"", ""benefit_permil"": 70}"
