id,card_id,attack,hp,element,rarity,series,number,description,open_at,created_at,updated_at
1000020,1000020,7000,8400,21,2,2,44,ガシャで仲間にできる,2021-05-03 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000080,1000080,2450,3700,1,0,3,104,ガシャで仲間にできる,2021-07-26 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000210,1000210,3800,5700,22,1,2,55,ガシャで仲間にできる,2021-05-03 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000220,1000220,4050,6100,21,1,2,57,ガシャで仲間にできる,2021-05-03 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000230,1000230,4050,6100,23,1,3,93,ガシャで仲間にできる,2021-07-26 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000240,1000240,4150,6200,24,1,2,56,ガシャで仲間にできる,2021-05-03 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000260,1000260,4150,6200,20,1,11,387,ガシャで仲間にできる,2023-04-24 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000280,1000280,2550,3800,0,0,2,61,ガシャで仲間にできる,2021-05-03 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000360,1000360,2350,3500,4,0,1,33,ガシャで仲間にできる,2021-03-22 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000370,1000370,2800,4200,3,0,1,28,ガシャで仲間にできる,2021-03-22 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000390,1000390,2600,3900,1,0,2,67,ガシャで仲間にできる,2021-05-03 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000400,1000400,2750,4100,4,0,2,71,ガシャで仲間にできる,2021-05-03 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000410,1000410,2750,4100,0,0,2,70,ガシャで仲間にできる,2021-05-03 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000420,1000420,2800,4200,1,0,2,72,ガシャで仲間にできる,2021-05-03 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000450,1000450,2250,3400,2,0,11,405,ガシャで仲間にできる,2023-04-24 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000510,1000510,2250,3400,3,0,1,34,ガシャで仲間にできる,2021-03-22 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000520,1000520,2650,4000,4,0,1,29,ガシャで仲間にできる,2021-03-22 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000530,1000530,2400,3600,2,0,1,32,ガシャで仲間にできる,2021-03-22 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000540,1000540,2600,3900,0,0,1,30,ガシャで仲間にできる,2021-03-22 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000550,1000550,2550,3800,3,0,1,31,ガシャで仲間にできる,2021-03-22 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000580,1000580,2000,3000,2,0,4,140,ガシャで仲間にできる,2021-09-06 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000600,1000600,2600,3900,4,0,3,110,ガシャで仲間にできる,2021-07-26 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000610,1000610,2150,3200,1,0,4,144,友情ガシャで仲間にできる,2021-09-06 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000620,1000620,2150,3200,1,0,4,145,友情ガシャで仲間にできる,2021-09-06 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000710,1000710,2000,3000,3,0,1,36,冒険や友情ガシャで仲間にできる,2021-03-22 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000750,1000750,2100,3150,1,0,13,479,友情ガシャで仲間にできる,2023-08-19 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000790,1000790,2000,3000,1,0,1,37,冒険や友情ガシャで仲間にできる,2021-03-22 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000820,1000820,2350,3500,2,0,13,469,ガシャで仲間にできる,2023-08-19 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000850,1000850,3800,5700,10,1,1,10,ドラゴンボールZ ドッカンバトルのリリース時に配布,2021-03-22 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
1000970,1000970,2450,3700,4,0,2,68,ガシャで仲間にできる,2021-05-03 08:00:00,2024-07-17 02:09:15,2024-07-17 02:09:15
