id,sd_arena_id,sd_enemy_table_id,respawn_minutes,position_x,position_y,created_at,updated_at
1,1,1,60,0,2,2024-07-17 02:09:19,2024-07-17 02:09:19
2,1,4,60,-5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
3,1,2,60,5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
4,1,4,60,-7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
5,1,3,60,7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
6,2,7,60,0,2,2024-07-17 02:09:19,2024-07-17 02:09:19
7,2,5,60,-5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
8,2,8,60,5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
9,2,8,60,-7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
10,2,6,60,7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
11,3,12,60,0,2,2024-07-17 02:09:19,2024-07-17 02:09:19
12,3,12,60,-5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
13,3,10,60,5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
14,3,11,60,-7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
15,3,9,60,7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
16,4,15,60,0,2,2024-07-17 02:09:19,2024-07-17 02:09:19
17,4,16,60,-5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
18,4,16,60,5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
19,4,13,60,-7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
20,4,14,60,7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
21,5,17,60,0,2,2024-07-17 02:09:19,2024-07-17 02:09:19
22,5,20,60,-5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
23,5,18,60,5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
24,5,20,60,-7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
25,5,19,60,7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
26,6,23,60,0,2,2024-07-17 02:09:19,2024-07-17 02:09:19
27,6,21,60,-5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
28,6,24,60,5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
29,6,24,60,-7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
30,6,22,60,7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
31,7,28,60,0,2,2024-07-17 02:09:19,2024-07-17 02:09:19
32,7,28,60,-5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
33,7,26,60,5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
34,7,27,60,-7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
35,7,25,60,7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
36,8,31,60,0,2,2024-07-17 02:09:19,2024-07-17 02:09:19
37,8,32,60,-5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
38,8,32,60,5,10,2024-07-17 02:09:19,2024-07-17 02:09:19
39,8,29,60,-7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
40,8,30,60,7,2,2024-07-17 02:09:19,2024-07-17 02:09:19
