id,target_type,target_id,skill_group_id
1,ActiveSkillSet,13,1
2,ActiveSkillSet,13,7
130,LeaderSkillSet,100001,1
131,LeaderSkillSet,100001,8
132,LeaderSkillSet,100002,1
133,LeaderSkillSet,100002,8
134,LeaderSkillSet,100003,4
135,LeaderSkillSet,100003,8
136,LeaderSkillSet,100004,1
137,LeaderSkillSet,100004,7
138,LeaderSkillSet,100005,1
139,LeaderSkillSet,100005,7
140,LeaderSkillSet,100006,1
141,LeaderSkillSet,100006,8
142,LeaderSkillSet,100007,1
143,LeaderSkillSet,100007,8
144,LeaderSkillSet,100008,1
145,LeaderSkillSet,100008,8
146,LeaderSkillSet,100009,1
147,LeaderSkillSet,100009,8
148,LeaderSkillSet,100010,1
149,LeaderSkillSet,100010,8
150,LeaderSkillSet,100011,1
151,LeaderSkillSet,100011,7
152,LeaderSkillSet,100012,4
153,LeaderSkillSet,100012,7
154,LeaderSkillSet,100013,1
155,LeaderSkillSet,100013,7
156,LeaderSkillSet,100014,3
157,LeaderSkillSet,100014,8
158,LeaderSkillSet,100015,6
159,LeaderSkillSet,100016,1
160,LeaderSkillSet,100016,7
161,LeaderSkillSet,100017,1
162,LeaderSkillSet,100017,3
163,LeaderSkillSet,100017,8
164,LeaderSkillSet,100018,1
165,LeaderSkillSet,100018,8
166,LeaderSkillSet,100019,3
167,LeaderSkillSet,100019,7
168,LeaderSkillSet,100020,1
169,LeaderSkillSet,100020,7
170,LeaderSkillSet,100021,5
171,LeaderSkillSet,100022,5
172,LeaderSkillSet,100023,1
173,LeaderSkillSet,100023,8
174,LeaderSkillSet,100024,1
175,LeaderSkillSet,100024,3
176,LeaderSkillSet,100024,8
177,LeaderSkillSet,100025,4
178,LeaderSkillSet,100025,8
179,LeaderSkillSet,100026,4
180,LeaderSkillSet,100026,8
181,LeaderSkillSet,100027,1
182,LeaderSkillSet,100027,8
183,LeaderSkillSet,100028,4
184,LeaderSkillSet,100028,8
185,LeaderSkillSet,100029,1
186,LeaderSkillSet,100029,8
187,LeaderSkillSet,100030,3
188,LeaderSkillSet,100030,7
189,LeaderSkillSet,100031,3
