id,name,description,efficacy_type,target_type,calc_option,turn,probability,causality_conditions,eff_value1,eff_value2,eff_value3
1,必殺技＋20％,必殺技の威力が更にアップ!!,1,1,2,1,100,,20,0,0
2,必殺気力ー1,必殺技が出しやすくなる,63,0,0,0,0,,1,0,0
3,必殺気力ー4,気力メーター8以上で必殺技が発動!!,63,0,0,0,0,,4,0,0
4,必殺気力ー3,気力メーター9以上で必殺技が発動!!,63,0,0,0,0,,3,0,0
5,必殺技＋30％,必殺技の威力が更に大アップ!!,1,1,2,1,100,,30,0,0
6,必殺技変化,"必殺技が30%の確率で変化して
威力が更に特大アップ!!",1,1,2,0,30,,60,0,0
7,必殺技変化,"必殺技が50%の確率で変化して
さらに1ターンDEFダウン
&必殺技Lv.20〜威力が更に大アップ!!",2,1,3,0,50,,30,0,0
8,必殺技変化,"必殺技が30%の確率で変化して
さらに1ターンATKとDEFが大幅アップ!!
&必殺技Lv.20〜威力が更に大アップ!!",3,1,2,0,30,,50,50,0
10,必殺技変化,"必殺技が30%の確率で変化して
威力が更にアップ!!&必殺技Lv.10〜
気力メーター9以上で必殺技が発動!!",1,1,2,1,30,,20,0,0
11,必殺技変化,"必殺技が50%の確率で変化して
天津飯が登場し、
さらに3ターン威力が超特大アップ!!",1,1,2,3,50,,90,0,0
12,必殺気力-3と威力大アップ,"気力メーター9以上で必殺技が発動!!
&必殺技Lv.20〜威力が更に大アップ!!",63,0,0,0,0,,3,0,0
13,必殺気力-3と威力大アップ,"気力メーター15以上で超必殺技が発動!!
&必殺技Lv.20〜威力が更に大アップ!!",63,0,0,0,0,,3,0,0
14,必殺技変化,"必殺技が50%の確率で変化して
1ターンDEFダウン
&必殺技Lv.20〜威力が更に大アップ!!",2,1,3,0,50,,30,0,0
15,必殺技変化,"必殺技が50%の確率で変化して
さらに1ターンATKとDEFが大幅アップ!!
&必殺技Lv.20〜威力が更に大アップ!!",3,1,2,0,50,,50,50,0
16,必殺技変化,"必殺技が50%の確率で変化して
威力が更に大アップ!!&必殺技Lv.10〜
気力メーター9以上で必殺技が発動!!",1,1,2,1,50,,30,0,0
17,必殺技変化,"必殺技が50%の確率で変化して
天津飯が登場し、
さらに5ターン威力が超特大アップ!!",1,1,2,5,50,,90,0,0
18,必殺技変化,"必殺技が50%の確率で変化して
さらに1ターンATKが大幅アップ!!
&必殺技Lv.20〜威力が更に大アップ!!",1,1,2,1,50,,50,0,0
19,必殺技変化,"必殺技が50%の確率で変化して
さらにバトル中DEFが大幅アップ!!
&必殺技Lv.20〜威力が更に大アップ!!",2,1,2,99,50,,50,0,0
