id,name,description,causality_description,aim_target,increase_rate,lv_bonus,is_inactive
1,かめはめ波,相手に特大ダメージを与える,,0,120,15,0
2,ビッグ・バン・アタック,相手に特大ダメージを与える,,0,120,15,0
3,かめはめ波,相手に大ダメージを与える,,0,100,10,0
4,ギャリック砲,相手に大ダメージを与える,,0,100,10,0
5,デスビーム,相手に大ダメージを与え、ATKを低下させる,,0,100,10,0
6,かめはめ波,相手に大ダメージを与える,,0,100,10,0
7,魔閃光,相手に大ダメージを与え、まれに気絶させる,,0,100,10,0
8,かめはめ波,相手に大ダメージを与える,,0,100,10,0
9,シャイニングスラッシュ,相手に大ダメージを与える,,0,100,10,0
10,バーニングアタック,相手に大ダメージを与える,,0,100,10,0
11,気円斬,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
12,魔貫光殺砲,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
13,気功砲,相手に特大ダメージを与える,,0,120,15,0
14,どどん波,相手に大ダメージを与える,,0,100,10,0
15,どどん波,相手に大ダメージを与える,,0,100,10,0
16,超能力,相手に大ダメージを与える,,0,100,10,0
17,狼牙風風拳,相手に大ダメージを与え、DEFを低下させる,,0,100,10,0
18,かめはめ波,相手に大ダメージを与える,,0,100,10,0
19,ダブルサンデー,相手に大ダメージを与える,,0,100,10,0
20,ジャイアントストーム,相手に大ダメージを与える,,0,100,10,0
21,ブレイクキャノン,相手に大ダメージを与えDEFを大幅に下げる,,0,100,10,0
22,エレガントブラスター,相手に大ダメージを与える,,0,100,10,0
23,ミルキーキャノン,相手に大ダメージを与える,,0,100,10,0
24,アイビーム,相手に大ダメージを与える,,0,100,10,0
25,フォトンウェイブ,相手に大ダメージを与える,,0,100,10,0
26,フルパワーエネルギーボール,相手に大ダメージを与える,,0,100,10,0
27,インフィニットバレット,相手に大ダメージを与える,,0,100,10,0
28,ロケットパンチ,相手に大ダメージを与える,,0,100,10,0
29,ヘルズフラッシュ,相手に大ダメージを与える,,0,100,10,0
30,かめはめ波,相手に大ダメージを与える,,0,100,10,0
31,どどん波,相手に大ダメージを与え、まれに気絶させる,,0,100,10,0
32,ダブルバスター,相手に大ダメージを与える,,0,100,10,0
33,魔封波,相手に大ダメージを与える,,0,100,10,0
34,超魔口砲,相手に大ダメージを与える,,0,100,10,0
35,電磁波,相手に大ダメージを与える,,0,100,10,0
