id,standby_skill_set_id,finish_skill_set_id,created_at,updated_at
1,1,1,2024-07-17 02:09:34,2024-07-17 02:09:34
2,1,2,2024-07-17 02:09:34,2024-07-17 02:09:34
3,2,1,2024-07-17 02:09:34,2024-07-17 02:09:34
4,2,2,2024-07-17 02:09:34,2024-07-17 02:09:34
5,3,3,2024-07-17 02:09:34,2024-07-17 02:09:34
6,3,4,2024-07-17 02:09:34,2024-07-17 02:09:34
7,4,3,2024-07-17 02:09:34,2024-07-17 02:09:34
8,4,4,2024-07-17 02:09:34,2024-07-17 02:09:34
9,5,5,2024-07-17 02:09:34,2024-07-17 02:09:34
10,6,5,2024-07-17 02:09:34,2024-07-17 02:09:34
11,7,6,2024-07-17 02:09:34,2024-07-17 02:09:34
12,8,6,2024-07-17 02:09:34,2024-07-17 02:09:34
13,9,7,2024-07-17 02:09:34,2024-07-17 02:09:34
14,9,8,2024-07-17 02:09:34,2024-07-17 02:09:34
15,10,7,2024-07-17 02:09:34,2024-07-17 02:09:34
16,10,9,2024-07-17 02:09:34,2024-07-17 02:09:34
17,11,10,2024-07-17 02:09:34,2024-07-17 02:09:34
18,12,10,2024-07-17 02:09:34,2024-07-17 02:09:34
19,13,1,2024-07-17 02:09:34,2024-07-17 02:09:34
20,13,2,2024-07-17 02:09:34,2024-07-17 02:09:34
21,14,1,2024-07-17 02:09:34,2024-07-17 02:09:34
22,14,2,2024-07-17 02:09:34,2024-07-17 02:09:34
23,15,11,2024-07-17 02:09:34,2024-07-17 02:09:34
24,15,12,2024-07-17 02:09:34,2024-07-17 02:09:34
25,16,11,2024-07-17 02:09:34,2024-07-17 02:09:34
26,16,12,2024-07-17 02:09:34,2024-07-17 02:09:34
27,17,13,2024-07-17 02:09:34,2024-07-17 02:09:34
28,18,14,2024-07-17 02:09:34,2024-07-17 02:09:34
29,19,15,2024-07-17 02:09:34,2024-07-17 02:09:34
30,19,16,2024-07-17 02:09:34,2024-07-17 02:09:34
31,20,15,2024-07-17 02:09:34,2024-07-17 02:09:34
32,20,17,2024-07-17 02:09:34,2024-07-17 02:09:34
