id,sub_target_type_set_id,target_value_type,target_value,created_at,updated_at
1,1,1,1,2024-07-23 00:24:25,2024-07-23 00:24:25
2,2,1,2,2024-07-23 00:24:25,2024-07-23 00:24:25
5,4,2,1,2024-07-23 00:24:25,2024-07-23 00:24:25
6,5,2,2,2024-07-23 00:24:25,2024-07-23 00:24:25
10,8,1,5,2024-07-23 00:24:25,2024-07-23 00:24:25
11,9,1,3,2024-07-23 00:24:25,2024-07-23 00:24:25
12,10,1,4,2024-07-23 00:24:25,2024-07-23 00:24:25
13,11,1,6,2024-07-23 00:24:25,2024-07-23 00:24:25
14,12,1,7,2024-07-23 00:24:25,2024-07-23 00:24:25
15,13,2,7,2024-07-23 00:24:25,2024-07-23 00:24:25
16,14,1,8,2024-07-23 00:24:25,2024-07-23 00:24:25
17,15,2,8,2024-07-23 00:24:25,2024-07-23 00:24:25
19,17,1,9,2024-07-23 00:24:25,2024-07-23 00:24:25
20,18,1,10,2024-07-23 00:24:25,2024-07-23 00:24:25
21,19,1,11,2024-07-23 00:24:25,2024-07-23 00:24:25
22,20,1,12,2024-07-23 00:24:25,2024-07-23 00:24:25
23,21,2,12,2024-07-23 00:24:25,2024-07-23 00:24:25
24,22,1,13,2024-07-23 00:24:25,2024-07-23 00:24:25
25,23,3,1,2024-07-23 00:24:25,2024-07-23 00:24:25
26,24,3,2,2024-07-23 00:24:25,2024-07-23 00:24:25
27,25,3,4,2024-07-23 00:24:25,2024-07-23 00:24:25
28,26,1,14,2024-07-23 00:24:25,2024-07-23 00:24:25
29,27,2,14,2024-07-23 00:24:25,2024-07-23 00:24:25
30,28,2,10,2024-07-23 00:24:25,2024-07-23 00:24:25
31,29,1,15,2024-07-23 00:24:25,2024-07-23 00:24:25
32,30,2,6,2024-07-23 00:24:25,2024-07-23 00:24:25
33,31,1,16,2024-07-23 00:24:25,2024-07-23 00:24:25
34,32,2,16,2024-07-23 00:24:25,2024-07-23 00:24:25
35,33,1,17,2024-07-23 00:24:25,2024-07-23 00:24:25
36,34,2,4,2024-07-23 00:24:25,2024-07-23 00:24:25
37,35,1,18,2024-07-23 00:24:25,2024-07-23 00:24:25
38,36,2,13,2024-07-23 00:24:25,2024-07-23 00:24:25
39,37,1,19,2024-07-23 00:24:25,2024-07-23 00:24:25
40,38,1,20,2024-07-23 00:24:25,2024-07-23 00:24:25
41,39,2,20,2024-07-23 00:24:25,2024-07-23 00:24:25
42,40,1,21,2024-07-23 00:24:25,2024-07-23 00:24:25
43,41,2,21,2024-07-23 00:24:25,2024-07-23 00:24:25
44,42,2,18,2024-07-23 00:24:25,2024-07-23 00:24:25
45,43,1,22,2024-07-23 00:24:25,2024-07-23 00:24:25
46,44,2,22,2024-07-23 00:24:25,2024-07-23 00:24:25
47,45,1,23,2024-07-23 00:24:25,2024-07-23 00:24:25
48,46,2,23,2024-07-23 00:24:25,2024-07-23 00:24:25
49,47,1,24,2024-07-23 00:24:25,2024-07-23 00:24:25
50,48,2,24,2024-07-23 00:24:25,2024-07-23 00:24:25
51,49,1,25,2024-07-23 00:24:25,2024-07-23 00:24:25
52,50,2,25,2024-07-23 00:24:25,2024-07-23 00:24:25
53,51,1,26,2024-07-23 00:24:25,2024-07-23 00:24:25
54,52,2,26,2024-07-23 00:24:25,2024-07-23 00:24:25
57,54,1,6,2024-07-23 00:24:25,2024-07-23 00:24:25
58,54,2,27,2024-07-23 00:24:25,2024-07-23 00:24:25
59,55,1,27,2024-07-23 00:24:25,2024-07-23 00:24:25
60,56,2,27,2024-07-23 00:24:25,2024-07-23 00:24:25
61,57,1,28,2024-07-23 00:24:25,2024-07-23 00:24:25
62,58,2,28,2024-07-23 00:24:25,2024-07-23 00:24:25
63,59,1,29,2024-07-23 00:24:25,2024-07-23 00:24:25
64,60,2,29,2024-07-23 00:24:25,2024-07-23 00:24:25
65,61,1,1,2024-07-23 00:24:25,2024-07-23 00:24:25
66,61,2,29,2024-07-23 00:24:25,2024-07-23 00:24:25
67,62,1,20,2024-07-23 00:24:25,2024-07-23 00:24:25
68,62,2,16,2024-07-23 00:24:25,2024-07-23 00:24:25
69,63,1,28,2024-07-23 00:24:25,2024-07-23 00:24:25
70,63,2,17,2024-07-23 00:24:25,2024-07-23 00:24:25
71,64,2,17,2024-07-23 00:24:25,2024-07-23 00:24:25
72,65,1,30,2024-07-23 00:24:25,2024-07-23 00:24:25
73,66,2,30,2024-07-23 00:24:25,2024-07-23 00:24:25
74,67,1,31,2024-07-23 00:24:25,2024-07-23 00:24:25
75,68,2,31,2024-07-23 00:24:25,2024-07-23 00:24:25
76,69,2,5,2024-07-23 00:24:25,2024-07-23 00:24:25
77,70,1,32,2024-07-23 00:24:25,2024-07-23 00:24:25
78,71,2,32,2024-07-23 00:24:25,2024-07-23 00:24:25
79,72,1,33,2024-07-23 00:24:25,2024-07-23 00:24:25
80,73,2,33,2024-07-23 00:24:25,2024-07-23 00:24:25
81,74,1,34,2024-07-23 00:24:25,2024-07-23 00:24:25
82,75,2,34,2024-07-23 00:24:25,2024-07-23 00:24:25
83,76,1,33,2024-07-23 00:24:25,2024-07-23 00:24:25
84,76,2,34,2024-07-23 00:24:25,2024-07-23 00:24:25
85,77,1,35,2024-07-23 00:24:25,2024-07-23 00:24:25
86,78,2,35,2024-07-23 00:24:25,2024-07-23 00:24:25
87,79,1,30,2024-07-23 00:24:25,2024-07-23 00:24:25
88,79,2,35,2024-07-23 00:24:25,2024-07-23 00:24:25
89,80,1,4,2024-07-23 00:24:25,2024-07-23 00:24:25
90,80,2,27,2024-07-23 00:24:25,2024-07-23 00:24:25
91,81,1,4,2024-07-23 00:24:25,2024-07-23 00:24:25
92,81,2,17,2024-07-23 00:24:25,2024-07-23 00:24:25
93,82,2,19,2024-07-23 00:24:25,2024-07-23 00:24:25
94,83,1,36,2024-07-23 00:24:25,2024-07-23 00:24:25
95,83,2,14,2024-07-23 00:24:25,2024-07-23 00:24:25
96,84,1,38,2024-07-23 00:24:25,2024-07-23 00:24:25
97,85,2,38,2024-07-23 00:24:25,2024-07-23 00:24:25
98,86,1,39,2024-07-23 00:24:25,2024-07-23 00:24:25
99,87,2,39,2024-07-23 00:24:25,2024-07-23 00:24:25
100,88,1,37,2024-07-23 00:24:25,2024-07-23 00:24:25
101,88,2,18,2024-07-23 00:24:25,2024-07-23 00:24:25
102,89,1,23,2024-07-23 00:24:25,2024-07-23 00:24:25
103,89,2,4,2024-07-23 00:24:25,2024-07-23 00:24:25
104,90,1,40,2024-07-23 00:24:25,2024-07-23 00:24:25
105,90,2,5,2024-07-23 00:24:25,2024-07-23 00:24:25
106,91,1,40,2024-07-23 00:24:25,2024-07-23 00:24:25
107,92,2,40,2024-07-23 00:24:25,2024-07-23 00:24:25
108,93,1,41,2024-07-23 00:24:25,2024-07-23 00:24:25
109,93,2,23,2024-07-23 00:24:25,2024-07-23 00:24:25
110,94,1,41,2024-07-23 00:24:25,2024-07-23 00:24:25
111,95,2,41,2024-07-23 00:24:25,2024-07-23 00:24:25
112,96,1,37,2024-07-23 00:24:25,2024-07-23 00:24:25
113,97,2,37,2024-07-23 00:24:25,2024-07-23 00:24:25
114,98,1,5,2024-07-23 00:24:25,2024-07-23 00:24:25
115,98,2,17,2024-07-23 00:24:25,2024-07-23 00:24:25
116,99,1,22,2024-07-23 00:24:25,2024-07-23 00:24:25
117,99,2,6,2024-07-23 00:24:25,2024-07-23 00:24:25
