id,root_support_memory_id,level,support_memory_id,enhanced_support_memory_id,created_at,updated_at
1,10001,2,10001,100012,2024-05-13 02:07:25,2024-05-13 02:07:25
2,10001,3,100012,100013,2024-05-13 02:07:25,2024-05-13 02:07:25
3,20001,2,20001,200012,2024-05-13 02:07:25,2024-05-13 02:07:25
4,20001,3,200012,200013,2024-05-13 02:07:25,2024-05-13 02:07:25
5,30001,2,30001,300012,2024-05-13 02:07:25,2024-05-13 02:07:25
6,30001,3,300012,300013,2024-05-13 02:07:25,2024-05-13 02:07:25
7,40001,2,40001,400012,2024-05-13 02:07:25,2024-05-13 02:07:25
8,40001,3,400012,400013,2024-05-13 02:07:25,2024-05-13 02:07:25
9,50001,2,50001,500012,2024-05-13 02:07:25,2024-05-13 02:07:25
10,50001,3,500012,500013,2024-05-13 02:07:25,2024-05-13 02:07:25
11,20008,2,20008,200082,2024-05-13 02:07:25,2024-05-13 02:07:25
12,20008,3,200082,200083,2024-05-13 02:07:25,2024-05-13 02:07:25
13,20008,4,200083,200084,2024-05-13 02:07:25,2024-05-13 02:07:25
14,20008,5,200084,200085,2024-05-13 02:07:25,2024-05-13 02:07:25
15,30005,2,30005,300052,2024-05-13 02:07:25,2024-05-13 02:07:25
16,30005,3,300052,300053,2024-05-13 02:07:25,2024-05-13 02:07:25
17,30005,4,300053,300054,2024-05-13 02:07:25,2024-05-13 02:07:25
18,30005,5,300054,300055,2024-05-13 02:07:25,2024-05-13 02:07:25
19,20011,2,20011,200112,2024-05-13 02:07:25,2024-05-13 02:07:25
20,20011,3,200112,200113,2024-05-13 02:07:25,2024-05-13 02:07:25
21,20011,4,200113,200114,2024-05-13 02:07:25,2024-05-13 02:07:25
22,20011,5,200114,200115,2024-05-13 02:07:25,2024-05-13 02:07:25
23,40005,2,40005,400052,2024-05-13 02:07:25,2024-05-13 02:07:25
24,40005,3,400052,400053,2024-05-13 02:07:25,2024-05-13 02:07:25
25,40005,4,400053,400054,2024-05-13 02:07:25,2024-05-13 02:07:25
26,40005,5,400054,400055,2024-05-13 02:07:25,2024-05-13 02:07:25
27,40004,2,40004,400042,2024-05-13 02:07:25,2024-05-13 02:07:25
28,40004,3,400042,400043,2024-05-13 02:07:25,2024-05-13 02:07:25
29,40004,4,400043,400044,2024-05-13 02:07:25,2024-05-13 02:07:25
30,40004,5,400044,400045,2024-05-13 02:07:25,2024-05-13 02:07:25
31,10002,2,10002,100022,2024-05-13 02:07:25,2024-05-13 02:07:25
32,10002,3,100022,100023,2024-05-13 02:07:25,2024-05-13 02:07:25
33,50007,2,50007,500072,2024-05-13 02:07:25,2024-05-13 02:07:25
34,50007,3,500072,500073,2024-05-13 02:07:25,2024-05-13 02:07:25
35,50007,4,500073,500074,2024-05-13 02:07:25,2024-05-13 02:07:25
36,50007,5,500074,500075,2024-05-13 02:07:25,2024-05-13 02:07:25
37,20004,2,20004,200042,2024-05-13 02:07:25,2024-05-13 02:07:25
38,20004,3,200042,200043,2024-05-13 02:07:25,2024-05-13 02:07:25
39,20004,4,200043,200044,2024-05-13 02:07:25,2024-05-13 02:07:25
40,20004,5,200044,200045,2024-05-13 02:07:25,2024-05-13 02:07:25
41,50004,2,50004,500042,2024-05-13 02:07:25,2024-05-13 02:07:25
42,50004,3,500042,500043,2024-05-13 02:07:25,2024-05-13 02:07:25
43,50004,4,500043,500044,2024-05-13 02:07:25,2024-05-13 02:07:25
44,50004,5,500044,500045,2024-05-13 02:07:25,2024-05-13 02:07:25
45,50003,2,50003,500032,2024-05-13 02:07:25,2024-05-13 02:07:25
46,50003,3,500032,500033,2024-05-13 02:07:25,2024-05-13 02:07:25
47,40002,2,40002,400022,2024-05-13 02:07:25,2024-05-13 02:07:25
48,40002,3,400022,400023,2024-05-13 02:07:25,2024-05-13 02:07:25
49,40002,4,400023,400024,2024-05-13 02:07:25,2024-05-13 02:07:25
50,40002,5,400024,400025,2024-05-13 02:07:25,2024-05-13 02:07:25
51,50005,2,50005,500052,2024-05-13 02:07:25,2024-05-13 02:07:25
52,50005,3,500052,500053,2024-05-13 02:07:25,2024-05-13 02:07:25
53,50005,4,500053,500054,2024-05-13 02:07:25,2024-05-13 02:07:25
54,50005,5,500054,500055,2024-05-13 02:07:25,2024-05-13 02:07:25
