id,bg_anime,chara_anime,bgm_id,start_at,end_at
1,ef_006,ef_005,,2016-06-30 15:00:00,2016-08-01 02:59:59
2,ef_008,ef_007,,2016-08-01 03:00:00,2016-10-25 07:59:59
3,ef_010,ef_009,,2016-10-25 08:00:00,2016-11-01 07:59:59
4,ef_011,ef_009,,2016-11-01 08:00:00,2016-11-17 07:59:59
5,ef_012,ef_009,,2016-11-17 08:00:00,2016-12-05 07:59:59
6,ef_013,ef_009,,2016-12-05 08:00:00,2016-12-13 07:59:59
7,ef_015,ef_014,,2017-01-29 03:00:00,2017-01-30 02:05:00
8,ef_006,ef_005,,2017-01-30 02:10:00,2017-03-01 02:59:59
9,ef_017,ef_016,,2017-03-31 15:50:00,2017-04-01 14:59:59
10,ef_019,ef_018,,2017-07-06 19:00:00,2017-08-04 05:59:59
11,ef_021,ef_020,,2017-08-04 06:00:00,2017-11-14 02:59:59
12,ef_023,ef_022,,2017-11-14 03:00:00,2018-01-29 05:59:59
13,ef_025,ef_024,,2018-01-29 06:00:00,2018-03-31 14:59:59
14,ef_026,ef_027,,2018-03-31 15:00:00,2018-04-01 14:59:59
15,ef_025,ef_024,,2018-04-01 15:00:00,2018-06-30 14:59:59
16,ef_029,ef_028,,2019-10-03 08:00:00,2020-01-29 05:59:59
17,ef_031,ef_030,,2018-08-28 05:00:00,2018-09-13 04:59:59
18,ef_033,ef_032,,2018-09-13 05:00:00,2018-10-04 07:59:59
19,ef_035,ef_034,,2018-12-14 05:00:00,2019-01-29 05:59:59
20,ef_037,ef_036,,2019-01-29 06:00:00,2019-03-05 14:59:59
21,ef_039,ef_038,83.0,2019-03-31 15:00:00,2019-04-01 14:59:59
22,ef_041,ef_040,,2019-06-30 15:00:00,2019-08-27 04:59:59
23,ef_043,ef_042,,2019-08-27 05:00:00,2019-09-13 04:59:59
24,ef_045,ef_044,,2019-09-13 05:00:00,2019-10-03 07:59:59
25,ef_047,ef_046,,2020-04-01 15:00:00,2020-06-28 14:59:59
26,ef_049,ef_048,,2020-03-31 15:00:00,2020-04-01 14:59:59
27,ef_051,ef_050,,2020-10-05 08:00:00,2021-01-29 05:59:59
28,ef_053,ef_052,,2020-08-28 05:00:00,2020-09-15 04:59:59
29,ef_055,ef_054,,2020-09-15 05:00:00,2020-10-05 07:59:59
30,ef_057,ef_056,,2021-04-01 15:00:00,2021-06-29 14:59:59
31,ef_059,ef_058,138.0,2021-03-31 15:00:00,2021-04-01 14:59:59
32,ef_061,ef_060,,2021-06-29 15:00:00,2021-08-26 05:59:59
33,ef_063,ef_062,,2021-08-26 06:00:00,2021-11-17 05:59:59
34,ef_067,ef_066,167.0,2022-01-29 06:00:00,2022-03-01 05:59:59
35,ef_069,ef_068,167.0,2022-03-01 06:00:00,2022-03-08 14:59:59
36,ef_071,ef_070,169.0,2022-03-31 15:00:00,2022-04-01 14:59:59
37,ef_069,ef_068,,2023-10-05 08:00:00,2024-03-31 14:59:59
38,ef_069,ef_068,,2024-07-31 15:00:00,2025-06-27 14:59:59
39,ef_073,ef_072,,2022-06-29 15:00:00,2022-08-26 05:59:59
40,ef_075,ef_074,212.0,2022-08-26 06:00:00,2022-09-09 05:59:59
41,ef_077,ef_076,213.0,2022-09-09 06:00:00,2022-10-04 07:59:59
42,ef_079,ef_078,230.0,2022-12-27 15:00:00,2023-01-29 05:59:59
43,ef_081,ef_080,167.0,2023-01-29 06:00:00,2023-02-28 07:59:59
44,ef_081,ef_080,253.0,2023-02-28 08:00:00,2023-03-06 07:59:59
45,ef_083,ef_082,,2023-03-31 15:00:00,2023-04-01 14:59:59
46,ef_085,ef_084,,2023-06-28 15:00:00,2023-07-31 14:59:59
47,ef_087,ef_086,304.0,2023-08-25 06:00:00,2023-09-14 23:59:59
48,ef_087,ef_086,306.0,2023-09-15 00:00:00,2023-09-22 05:59:59
49,ef_089,ef_088,306.0,2023-09-22 06:00:00,2023-10-05 07:59:59
50,ef_091,ef_090,178.0,2024-01-29 04:00:00,2024-02-03 14:59:59
51,ef_093,ef_092,230.0,2024-02-11 06:00:00,2024-02-22 05:59:59
52,ef_091,ef_090,353.0,2024-02-03 15:00:00,2024-02-11 05:59:59
53,ef_095,ef_094,,2024-03-31 15:00:00,2024-04-01 14:59:59
54,ef_093,ef_092,305.0,2024-02-22 06:00:00,2024-02-28 14:59:59
55,ef_093,ef_092,352.0,2024-02-28 15:00:00,2024-03-05 14:59:59
56,ef_097,ef_096,305.0,2024-06-27 15:00:00,2024-07-18 07:59:59
58,ef_097,ef_096,352.0,2024-07-18 08:00:00,2024-07-31 14:59:59
