id,phase_id,is_resume_point,number,created_at,updated_at
1,1,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
2,1,1,2,2021-11-17 00:26:13,2021-11-17 00:26:13
1000,1000,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
1010,1010,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
1020,1020,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
2000,2000,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
2010,2010,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
3000,3000,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
4000,4000,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
5000,5000,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
6000,6000,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
6010,6010,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
7000,7000,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
7010,7010,0,1,2021-11-17 00:26:13,2021-11-17 00:26:13
7020,7020,0,1,2021-11-17 00:26:13,2021-11-17 00:26:13
8000,8000,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
9000,9000,1,1,2021-11-17 00:26:13,2021-11-17 00:26:13
