id,z_battle_stage_id,level,act,eventkagi_num,z_battle_normal_reward_table_group_id,main_reward_id
2,1,5,3,1,1,1
3,1,10,5,2,2,2
4,1,15,5,2,3,3
5,1,20,7,3,4,4
6,1,25,10,3,5,5
7,1,30,15,3,6,6
9,2,5,3,1,8,8
10,2,10,5,2,9,9
11,2,15,5,2,10,10
12,2,20,7,3,11,11
13,2,25,10,3,12,12
14,2,30,15,3,13,13
16,3,5,3,1,14,14
17,3,10,5,2,15,15
18,3,15,5,2,16,16
19,3,20,7,3,17,17
20,3,25,10,3,18,18
21,3,30,15,3,19,19
22,4,5,3,1,20,20
23,4,10,5,2,21,21
24,4,15,5,2,22,22
25,4,20,7,3,23,23
26,4,25,10,3,24,24
27,4,30,15,3,25,25
34,5,5,3,1,32,44
35,5,10,5,2,33,47
36,5,15,5,2,34,50
37,5,20,7,3,35,53
38,5,25,10,3,36,56
39,5,30,15,3,37,59
40,6,5,3,1,38,62
41,6,10,5,2,39,63
42,6,15,5,2,40,64
43,6,20,7,3,41,65
44,6,25,10,3,42,66
45,6,30,15,3,43,67
46,7,5,3,1,44,80
47,7,10,5,2,45,81
48,7,15,5,2,46,82
49,7,20,7,3,47,83
50,7,25,10,3,48,84
51,7,30,15,3,49,85
52,9,5,3,1,50,86
53,9,10,5,2,51,87
54,9,15,5,2,52,88
55,9,20,7,3,53,89
56,9,25,10,3,54,90
57,9,30,15,3,55,91
58,10,101,5,0,56,92
59,10,200,5,0,56,92
60,10,300,5,0,56,92
61,10,400,5,0,56,92
62,10,500,5,0,56,92
63,10,600,5,0,56,92
64,10,700,5,0,56,92
65,10,800,5,0,56,92
66,10,900,5,0,56,92
68,11,5,3,1,57,97
69,11,10,5,2,58,98
70,11,15,5,2,59,99
71,11,20,7,3,60,100
72,11,25,10,3,61,101
73,11,30,15,3,62,102
74,12,5,3,1,63,103
75,12,10,5,2,64,104
76,12,15,5,2,65,105
77,12,20,7,3,66,106
78,12,25,10,3,67,107
79,12,30,15,3,68,108
80,13,5,3,1,69,109
81,13,10,5,2,70,110
82,13,15,5,2,71,111
83,13,20,7,3,72,112
84,13,25,10,3,73,113
85,13,30,15,3,74,114
86,14,5,3,1,75,115
87,14,10,5,2,76,116
88,14,15,5,2,77,117
89,14,20,7,3,78,118
90,14,25,10,3,79,119
91,14,30,15,3,80,120
92,15,5,3,1,81,121
93,15,10,5,2,82,124
94,15,15,5,2,83,127
95,15,20,7,3,84,130
96,15,25,10,3,85,133
97,15,30,15,3,86,136
98,16,5,3,1,87,139
99,16,10,5,2,88,140
100,16,15,5,2,89,141
101,16,20,7,3,90,142
102,16,25,10,3,91,143
103,16,30,15,3,92,144
104,17,5,3,1,93,145
105,17,10,5,2,94,146
106,17,15,5,2,95,147
107,17,20,7,3,96,148
108,17,25,10,3,97,149
109,17,30,15,3,98,150
110,18,5,3,1,99,151
111,18,10,5,2,100,152
112,18,15,5,2,101,153
113,18,20,7,3,102,154
114,18,25,10,3,103,155
115,18,30,15,3,104,156
116,19,101,5,0,105,157
117,19,200,5,0,105,157
118,19,300,5,0,105,157
119,19,400,5,0,105,157
120,19,500,5,0,105,157
121,19,600,5,0,105,157
122,19,700,5,0,105,157
123,19,800,5,0,105,157
124,19,900,5,0,105,157
125,21,5,3,1,106,162
126,21,10,5,2,107,164
127,21,15,5,2,108,166
128,21,20,7,3,109,168
129,21,25,10,3,110,170
130,21,30,15,3,111,172
131,20,5,3,1,112,174
132,20,10,5,2,113,175
133,20,15,5,2,114,176
134,20,20,7,3,115,177
135,20,25,10,3,116,178
136,20,30,15,3,117,179
137,22,5,3,1,118,180
138,22,10,5,2,119,181
139,22,15,5,2,120,182
140,22,20,7,3,121,183
141,22,25,10,3,122,184
142,22,30,15,3,123,185
143,23,5,3,1,124,186
144,23,10,5,2,125,187
145,23,15,5,2,126,188
146,23,20,7,3,127,189
147,23,25,10,3,128,190
148,23,30,15,3,129,191
149,24,5,3,1,130,192
150,24,10,5,2,131,193
151,24,15,5,2,132,194
152,24,20,7,3,133,195
153,24,25,10,3,134,196
154,24,30,15,3,135,197
155,25,5,3,1,136,198
156,25,10,5,2,137,199
157,25,15,5,2,138,200
158,25,20,7,3,139,201
159,25,25,10,3,140,202
160,25,30,15,3,141,203
161,26,5,3,1,142,204
162,26,10,5,2,143,205
163,26,15,5,2,144,206
164,26,20,7,3,145,207
165,26,25,10,3,146,208
166,26,30,15,3,147,209
167,27,5,3,1,148,215
168,27,10,5,2,149,222
169,27,15,5,2,150,229
170,27,20,7,3,151,236
