id,z_battle_normal_reward_table_id,item_id,item_type,quantity,card_exp_init,created_at,updated_at
1,1,100001,AwakeningItem,1,0,2017-11-08 10:30:55,2017-11-08 10:30:55
2,2,100001,AwakeningItem,2,0,2017-11-08 10:30:55,2017-11-08 10:30:55
3,3,100002,AwakeningItem,2,0,2017-11-08 10:30:55,2017-11-08 10:30:55
4,4,100002,AwakeningItem,4,0,2017-11-08 10:30:55,2017-11-08 10:30:55
5,5,100003,AwakeningItem,4,0,2017-11-08 10:30:55,2017-11-08 10:30:55
6,6,100004,AwakeningItem,4,0,2017-11-08 10:30:55,2017-11-08 10:30:55
8,8,100011,AwakeningItem,1,0,2017-11-28 04:30:57,2017-12-06 05:05:58
9,9,100011,AwakeningItem,2,0,2017-11-28 04:30:57,2017-12-06 05:05:58
10,10,100012,AwakeningItem,2,0,2017-11-28 04:30:57,2017-12-06 05:05:58
11,11,100012,AwakeningItem,4,0,2017-11-28 04:30:57,2017-12-06 05:05:58
12,12,100013,AwakeningItem,4,0,2017-11-28 04:30:57,2017-12-06 05:05:58
13,13,100014,AwakeningItem,4,0,2017-11-28 04:30:57,2017-12-06 05:05:58
14,14,100021,AwakeningItem,1,0,2018-01-12 01:44:29,2018-01-12 01:44:29
15,15,100021,AwakeningItem,2,0,2018-01-12 01:44:29,2018-01-12 01:44:29
16,16,100022,AwakeningItem,2,0,2018-01-12 01:44:29,2018-01-12 01:44:29
17,17,100022,AwakeningItem,4,0,2018-01-12 01:44:30,2018-01-12 01:44:30
18,18,100023,AwakeningItem,4,0,2018-01-12 01:44:30,2018-01-12 01:44:30
19,19,100024,AwakeningItem,4,0,2018-01-12 01:44:30,2018-01-12 01:44:30
20,20,100031,AwakeningItem,1,0,2018-02-13 09:58:42,2018-02-13 09:58:42
21,21,100031,AwakeningItem,2,0,2018-02-13 09:58:42,2018-02-13 09:58:42
22,22,100032,AwakeningItem,2,0,2018-02-13 09:58:42,2018-02-13 09:58:42
23,23,100032,AwakeningItem,4,0,2018-02-13 09:58:42,2018-02-13 09:58:42
24,24,100033,AwakeningItem,4,0,2018-02-13 09:58:42,2018-02-13 09:58:42
25,25,100034,AwakeningItem,4,0,2018-02-13 09:58:42,2018-02-13 09:58:42
44,32,100041,AwakeningItem,1,0,2018-04-09 09:04:51,2018-04-09 09:04:51
47,33,100041,AwakeningItem,2,0,2018-04-09 09:04:51,2018-04-09 09:04:51
50,34,100042,AwakeningItem,2,0,2018-04-09 09:04:51,2018-04-09 09:04:51
53,35,100042,AwakeningItem,4,0,2018-04-09 09:04:51,2018-04-09 09:04:51
56,36,100043,AwakeningItem,4,0,2018-04-09 09:04:51,2018-04-09 09:04:51
